id,collection_unique_id,card_id,event_id,priority,created_at,updated_at
1000010,39,1000010,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000020,51,1000020,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000030,60,1000030,,950,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000040,109,1000040,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000050,101,1000050,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000060,101,1000060,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000070,56,1000070,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000080,56,1000080,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000090,65,1000090,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000100,83,1000100,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000110,13,1000110,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000120,96,1000120,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000130,77,1000130,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000140,74,1000140,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000150,126,1000150,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000160,127,1000160,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000170,86,1000170,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000180,19,1000180,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000190,10,1000190,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000200,37,1000200,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000210,79,1000210,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000220,33,1000220,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000230,35,1000230,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000240,32,1000240,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000250,7,1000250,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000260,69,1000260,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000270,65,1000270,,960,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000280,83,1000280,,960,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000290,13,1000290,,950,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000300,96,1000300,,940,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000310,77,1000310,,950,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000320,74,1000320,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000330,126,1000330,,950,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000340,127,1000340,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000350,86,1000350,,950,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000360,19,1000360,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000370,10,1000370,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000380,37,1000380,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000390,79,1000390,,960,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000400,33,1000400,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000410,35,1000410,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000420,32,1000420,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000430,7,1000430,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000440,69,1000440,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000450,6,1000450,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000460,24,1000460,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000470,71,1000470,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000480,38,1000480,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000490,82,1000490,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000500,72,1000500,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000510,81,1000510,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000520,128,1000520,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000530,15,1000530,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000540,88,1000540,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000550,23,1000550,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000560,124,1000560,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000570,87,1000570,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000580,120,1000580,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000590,95,1000590,,970,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000600,115,1000600,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000610,54,1000610,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000620,125,1000620,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000630,123,1000630,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000640,120,1000640,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000650,95,1000650,,960,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000660,115,1000660,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000670,54,1000670,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000680,125,1000680,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000690,123,1000690,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000700,99,1000700,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000710,1,1000710,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000720,12,1000720,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000730,93,1000730,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000740,108,1000740,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000750,28,1000750,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000760,9,1000760,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000770,4,1000770,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000780,20,1000780,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000790,105,1000790,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000800,129,1000800,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000810,83,1000810,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000820,120,1000820,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000830,39,1000830,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000840,51,1000840,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000850,60,1000850,,960,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000860,109,1000860,,980,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000870,65,1000870,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000880,83,1000880,,990,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
1000890,13,1000890,,1000,2024-07-08 11:03:32.702262,2024-07-08 11:03:32.702262
