id,name,description,created_at,updated_at
1,Please enter a name.,Z-Awakening Route,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
2,Please enter a name.,Z-Awakening Route,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
3,<STR> Super Saiyan Goku (SSR),Z-Awakening Route,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
4,<PHY> Super Saiyan Vegeta (SSR),Z-Awakening Route,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
5,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
6,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
7,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
8,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
9,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
10,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
11,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
12,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
13,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
14,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
15,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
16,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
17,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
18,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
19,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
20,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
21,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
22,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
23,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
24,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
25,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
26,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
27,Please enter a name.,N/A,2024-07-08 11:02:57.562484,2024-07-08 11:02:57.562484
