id,sd_help_id,image_path,description,created_at,updated_at
1,1,,"{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= What Are Sticker Cards? ={outline}{color}{size} 
You can obtain Sticker Cards by opening Sticker Card Packs. 
Any new Sticker Cards you get will be registered in ""Collection"". 

Sticker Cards can be used in battles within Pettan Battle. 
{color : #FFFF00}Once a Sticker Card has been used, it will disappear.{color} 
{color : #FFFF00}* Used Sticker Cards will NOT disappear from Collection.{color} 

{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= Sticker Card Details ={outline}{color}{size}",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
2,1,images/en/help/sdb_help_001.png,"Power, second name and character name are 
displayed on the front of each Sticker Card. 
To view the Sticker Card details, go to ""Collection"" 
then tap on any Sticker Card. You can toggle 
between its front and back. 

The information available on the rear side is as follows: 
Type, power, second name, character name, where to 
recruit the displayed character in Dokkan Battle and 
Sticker Card number. 

Many more Sticker Cards will be released in the future.",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
3,2,,"There are three main ways to get a Sticker Card Pack. 
1. By winning battles. 
2. Through daily login bonuses in Pettan Battle. 
3. By completing specific missions.",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
4,2,images/en/help/sdb_help_002.png,"Sticker Card Packs will be opened automatically when 
you enter Pettan Battle. Please note they cannot be 
opened at any other time. One Sticker Card can be 
obtained at random from a Sticker Card Pack.",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
5,3,,"{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= What Is Collection? ={outline}{color}{size} 
New Sticker Cards you obtain are registered in your Collection. 
They are added automatically to Collection when you get them. 
{color : #FFFF00}* Used Sticker Cards will not disappear from Collection.{color}",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
6,3,images/en/help/sdb_help_003.png,"Collection is categorized by series. 
Additional series will be released in the future. 

Tap on the icon of a registered Sticker Card to view 
its details. The following information can be viewed: 
Type, rarity, power, second name, character name, 
where to recruit the displayed character in 
Dokkan Battle and Sticker Card number. 

The Sticker Cards you have collected will be 
displayed, while the uncollected ones will be 
shown with their corresponding number.",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
7,3,images/en/help/sdb_help_004.png,"You can check ""Progress"" to see your Sticker Card 
collection status. Once all the available Sticker Cards 
have been obtained, the corresponding collection will 
be marked as ""COMPLETE!"".",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
8,4,,"{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= About Battles ={outline}{color}{size} 
To engage in a battle, deploy any number of 
your Sticker Cards to confront an enemy 
Sticker Card that appears on the battlefield. 

You do not need to defeat the enemy in one go. 
If a battle ends before you win, the enemy's status 
will be carried over into your next attempt. 

Battles can be continued at a later time as follows: 
- If you retire from a battle you have started. 
- If you lose a battle. 
{color : #FFFF00}* Note that if you return to the map from a battlefield, 
you will not be able to return to that same battle again. {color} 

{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= How to Engage in Battles ={outline}{color}{size} 
Up to 5 Sticker Cards can be deployed in a single stage at 
a time. Sticker Cards used in a battle will disappear when 
the battle ends, regardless of whether you win or lose. 
During a battle, Sticker Cards that have finished 
their attack will be grayed out.",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
9,4,images/en/help/sdb_help_005_2.png,"Once the battle timer reaches zero, you can view the result 
by tapping the ""Battle Ended"" button. If you lose, enemies 
will remain in the state they were in from the last battle. 
You can view the remaining time of a battle from the 
battlefield screen or the battle details screen. 

There are four enemy difficulties: 
SUPER, Z-HARD, HARD and NORMAL. 
Enemy strength varies by difficulty, so keep this 
in mind before engaging in a battle. Enemy HP, 
the sum of each enemy Sticker Card's HP, 
will be displayed on the bar located at the top. 

{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= Over Damage ={outline}{color}{size} 
Over Damage occurs when the total power of 
your deployed Sticker Card characters exceeds 
the total HP of the enemy Sticker Card(s). 
{color : #FFFF00}Even if you can defeat the enemy with Over Damage alone, 
1 hour's worth of enemy HP will still remain.{color}",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
10,5,,"There are two ways to end a battle: 
1. View the battle result after your Sticker Cards 
have finished attacking. 
2. Tap ""Retire"" on the battle details screen 
to end the ongoing battle.",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
11,5,images/en/help/sdb_help_006.png,"You will earn rewards once you clear a stage. 
Rewards cannot be obtained if you retire. 
There are two types of rewards: 
Guaranteed Items and Random Drop Items. 

{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= Guaranteed Items ={outline}{color}{size} 
You will earn all the items displayed under 
Guaranteed Items if you win a battle. 

{size: 24}{outline: #FF0000, 2}{color: #FFFF00}= Random Drop Items ={outline}{color}{size} 
Items on the list are rewarded at random 
if you win a battle.",2024-07-24 07:36:37.283774,2024-07-24 07:36:37.283774
