id,card_id,standby_skill_set_id,created_at,updated_at
1,1026390,1,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
2,1026391,2,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
3,1025730,3,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
4,1025731,4,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
5,1025770,5,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
6,1025771,6,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
7,1026530,7,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
8,1026531,8,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
9,1026900,9,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
10,1026901,10,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
11,1027290,11,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
12,1027291,12,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
13,9526390,13,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
14,9526391,14,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
15,1027620,15,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
16,1027621,16,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
17,1028370,17,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
18,1028371,18,2024-07-30 10:30:46.029322,2024-07-30 10:30:46.029322
