id,grow_type,lv,coef
1,1,1,0.0
2,1,2,0.004
3,1,3,0.011
4,1,4,0.021
5,1,5,0.036
6,1,6,0.055
7,1,7,0.08
8,1,8,0.109
9,1,9,0.145
10,1,10,0.186
11,1,11,0.234
12,1,12,0.289
13,1,13,0.351
14,1,14,0.42
15,1,15,0.496
16,1,16,0.581
17,1,17,0.673
18,1,18,0.773
19,1,19,0.882
20,1,20,1.0
21,2,1,0.0
22,2,2,0.001
23,2,3,0.002
24,2,4,0.005
25,2,5,0.01
26,2,6,0.018
27,2,7,0.029
28,2,8,0.046
29,2,9,0.067
30,2,10,0.096
31,2,11,0.132
32,2,12,0.177
33,2,13,0.231
34,2,14,0.297
35,2,15,0.376
36,2,16,0.468
37,2,17,0.575
38,2,18,0.698
39,2,19,0.839
40,2,20,1.0
41,3,1,0.0
42,3,2,0.0
43,3,3,0.0
44,3,4,0.0
45,3,5,0.001
46,3,6,0.003
47,3,7,0.006
48,3,8,0.012
49,3,9,0.021
50,3,10,0.035
51,3,11,0.055
52,3,12,0.084
53,3,13,0.124
54,3,14,0.177
55,3,15,0.247
56,3,16,0.337
57,3,17,0.453
58,3,18,0.598
59,3,19,0.779
60,3,20,1.0
61,10,1,0.0
62,10,2,0.001
63,10,3,0.002
64,10,4,0.004
65,10,5,0.007
66,10,6,0.01
67,10,7,0.014
68,10,8,0.02
69,10,9,0.026
70,10,10,0.034
71,10,11,0.043
72,10,12,0.053
73,10,13,0.064
74,10,14,0.076
75,10,15,0.09
76,10,16,0.106
77,10,17,0.122
78,10,18,0.141
79,10,19,0.161
80,10,20,0.182
81,10,21,0.205
82,10,22,0.23
83,10,23,0.256
84,10,24,0.284
85,10,25,0.314
86,10,26,0.346
87,10,27,0.38
88,10,28,0.415
89,10,29,0.453
90,10,30,0.492
91,10,31,0.533
92,10,32,0.577
93,10,33,0.622
94,10,34,0.67
95,10,35,0.719
96,10,36,0.771
97,10,37,0.825
98,10,38,0.881
99,10,39,0.939
100,10,40,1.0
101,11,1,0.0
102,11,2,0.0
103,11,3,0.0
104,11,4,0.0
105,11,5,0.001
106,11,6,0.002
107,11,7,0.003
108,11,8,0.004
109,11,9,0.006
110,11,10,0.009
111,11,11,0.012
112,11,12,0.016
113,11,13,0.021
114,11,14,0.027
115,11,15,0.035
116,11,16,0.043
117,11,17,0.053
118,11,18,0.064
119,11,19,0.077
120,11,20,0.092
121,11,21,0.109
122,11,22,0.128
123,11,23,0.149
124,11,24,0.172
125,11,25,0.198
126,11,26,0.227
127,11,27,0.258
128,11,28,0.292
129,11,29,0.33
130,11,30,0.371
131,11,31,0.415
132,11,32,0.463
133,11,33,0.515
134,11,34,0.57
135,11,35,0.63
136,11,36,0.695
137,11,37,0.764
138,11,38,0.838
139,11,39,0.916
140,11,40,1.0
141,12,1,0.0
142,12,2,0.0
143,12,3,0.0
144,12,4,0.0
145,12,5,0.0
146,12,6,0.0
147,12,7,0.0
148,12,8,0.0
149,12,9,0.001
150,12,10,0.001
151,12,11,0.002
152,12,12,0.003
153,12,13,0.004
154,12,14,0.006
155,12,15,0.008
156,12,16,0.011
157,12,17,0.015
158,12,18,0.02
159,12,19,0.026
160,12,20,0.033
161,12,21,0.042
162,12,22,0.053
163,12,23,0.066
164,12,24,0.081
165,12,25,0.099
166,12,26,0.12
167,12,27,0.144
168,12,28,0.172
169,12,29,0.205
170,12,30,0.242
171,12,31,0.285
172,12,32,0.333
173,12,33,0.387
174,12,34,0.448
175,12,35,0.517
176,12,36,0.594
177,12,37,0.681
178,12,38,0.776
179,12,39,0.882
180,12,40,1.0
181,13,1,0.0
182,13,2,0.026
183,13,3,0.051
184,13,4,0.077
185,13,5,0.103
186,13,6,0.128
187,13,7,0.154
188,13,8,0.179
189,13,9,0.205
190,13,10,0.231
191,13,11,0.256
192,13,12,0.282
193,13,13,0.308
194,13,14,0.333
195,13,15,0.359
196,13,16,0.385
197,13,17,0.41
198,13,18,0.436
199,13,19,0.462
200,13,20,0.487
201,13,21,0.513
202,13,22,0.538
203,13,23,0.564
204,13,24,0.59
205,13,25,0.615
206,13,26,0.641
207,13,27,0.667
208,13,28,0.692
209,13,29,0.718
210,13,30,0.744
211,13,31,0.769
212,13,32,0.795
213,13,33,0.821
214,13,34,0.846
215,13,35,0.872
216,13,36,0.897
217,13,37,0.923
218,13,38,0.949
219,13,39,0.974
220,13,40,1.0
221,20,1,0.0
222,20,2,0.0
223,20,3,0.001
224,20,4,0.001
225,20,5,0.002
226,20,6,0.004
227,20,7,0.005
228,20,8,0.007
229,20,9,0.01
230,20,10,0.012
231,20,11,0.016
232,20,12,0.019
233,20,13,0.023
234,20,14,0.028
235,20,15,0.033
236,20,16,0.039
237,20,17,0.045
238,20,18,0.052
239,20,19,0.059
240,20,20,0.067
241,20,21,0.075
242,20,22,0.084
243,20,23,0.094
244,20,24,0.104
245,20,25,0.115
246,20,26,0.127
247,20,27,0.139
248,20,28,0.152
249,20,29,0.166
250,20,30,0.18
251,20,31,0.196
252,20,32,0.211
253,20,33,0.228
254,20,34,0.245
255,20,35,0.264
256,20,36,0.283
257,20,37,0.302
258,20,38,0.323
259,20,39,0.344
260,20,40,0.367
261,20,41,0.39
262,20,42,0.414
263,20,43,0.438
264,20,44,0.464
265,20,45,0.49
266,20,46,0.518
267,20,47,0.546
268,20,48,0.575
269,20,49,0.605
270,20,50,0.637
271,20,51,0.669
272,20,52,0.701
273,20,53,0.735
274,20,54,0.77
275,20,55,0.806
276,20,56,0.843
277,20,57,0.881
278,20,58,0.919
279,20,59,0.959
280,20,60,1.0
281,21,1,0.0
282,21,2,0.0
283,21,3,0.0
284,21,4,0.0
285,21,5,0.0
286,21,6,0.0
287,21,7,0.001
288,21,8,0.001
289,21,9,0.002
290,21,10,0.002
291,21,11,0.003
292,21,12,0.004
293,21,13,0.005
294,21,14,0.007
295,21,15,0.008
296,21,16,0.011
297,21,17,0.013
298,21,18,0.016
299,21,19,0.019
300,21,20,0.023
301,21,21,0.027
302,21,22,0.031
303,21,23,0.037
304,21,24,0.042
305,21,25,0.049
306,21,26,0.056
307,21,27,0.063
308,21,28,0.072
309,21,29,0.081
310,21,30,0.091
311,21,31,0.102
312,21,32,0.114
313,21,33,0.126
314,21,34,0.14
315,21,35,0.155
316,21,36,0.171
317,21,37,0.187
318,21,38,0.206
319,21,39,0.225
320,21,40,0.245
321,21,41,0.267
322,21,42,0.291
323,21,43,0.315
324,21,44,0.341
325,21,45,0.369
326,21,46,0.398
327,21,47,0.429
328,21,48,0.461
329,21,49,0.495
330,21,50,0.531
331,21,51,0.569
332,21,52,0.609
333,21,53,0.65
334,21,54,0.694
335,21,55,0.739
336,21,56,0.787
337,21,57,0.837
338,21,58,0.889
339,21,59,0.943
340,21,60,1.0
341,22,1,0.0
342,22,2,0.0
343,22,3,0.0
344,22,4,0.0
345,22,5,0.0
346,22,6,0.0
347,22,7,0.0
348,22,8,0.0
349,22,9,0.0
350,22,10,0.0
351,22,11,0.0
352,22,12,0.0
353,22,13,0.001
354,22,14,0.001
355,22,15,0.001
356,22,16,0.002
357,22,17,0.002
358,22,18,0.003
359,22,19,0.003
360,22,20,0.004
361,22,21,0.006
362,22,22,0.007
363,22,23,0.009
364,22,24,0.011
365,22,25,0.013
366,22,26,0.016
367,22,27,0.019
368,22,28,0.023
369,22,29,0.028
370,22,30,0.033
371,22,31,0.038
372,22,32,0.045
373,22,33,0.052
374,22,34,0.06
375,22,35,0.07
376,22,36,0.08
377,22,37,0.091
378,22,38,0.104
379,22,39,0.119
380,22,40,0.134
381,22,41,0.152
382,22,42,0.171
383,22,43,0.192
384,22,44,0.215
385,22,45,0.241
386,22,46,0.268
387,22,47,0.298
388,22,48,0.331
389,22,49,0.367
390,22,50,0.405
391,22,51,0.447
392,22,52,0.492
393,22,53,0.541
394,22,54,0.593
395,22,55,0.65
396,22,56,0.71
397,22,57,0.775
398,22,58,0.845
399,22,59,0.92
400,22,60,1.0
401,23,1,0.0
402,23,2,0.017
403,23,3,0.034
404,23,4,0.051
405,23,5,0.068
406,23,6,0.085
407,23,7,0.102
408,23,8,0.119
409,23,9,0.136
410,23,10,0.153
411,23,11,0.169
412,23,12,0.186
413,23,13,0.203
414,23,14,0.22
415,23,15,0.237
416,23,16,0.254
417,23,17,0.271
418,23,18,0.288
419,23,19,0.305
420,23,20,0.322
421,23,21,0.339
422,23,22,0.356
423,23,23,0.373
424,23,24,0.39
425,23,25,0.407
426,23,26,0.424
427,23,27,0.441
428,23,28,0.458
429,23,29,0.475
430,23,30,0.492
431,23,31,0.508
432,23,32,0.525
433,23,33,0.542
434,23,34,0.559
435,23,35,0.576
436,23,36,0.593
437,23,37,0.61
438,23,38,0.627
439,23,39,0.644
440,23,40,0.661
441,23,41,0.678
442,23,42,0.695
443,23,43,0.712
444,23,44,0.729
445,23,45,0.746
446,23,46,0.763
447,23,47,0.78
448,23,48,0.797
449,23,49,0.814
450,23,50,0.831
451,23,51,0.847
452,23,52,0.864
453,23,53,0.881
454,23,54,0.898
455,23,55,0.915
456,23,56,0.932
457,23,57,0.949
458,23,58,0.966
459,23,59,0.983
460,23,60,1.0
461,30,1,0.0
462,30,2,0.0
463,30,3,0.0
464,30,4,0.001
465,30,5,0.001
466,30,6,0.002
467,30,7,0.003
468,30,8,0.004
469,30,9,0.005
470,30,10,0.006
471,30,11,0.008
472,30,12,0.009
473,30,13,0.011
474,30,14,0.014
475,30,15,0.016
476,30,16,0.019
477,30,17,0.022
478,30,18,0.025
479,30,19,0.029
480,30,20,0.033
481,30,21,0.037
482,30,22,0.041
483,30,23,0.046
484,30,24,0.051
485,30,25,0.056
486,30,26,0.062
487,30,27,0.068
488,30,28,0.075
489,30,29,0.081
490,30,30,0.088
491,30,31,0.096
492,30,32,0.104
493,30,33,0.112
494,30,34,0.12
495,30,35,0.129
496,30,36,0.138
497,30,37,0.148
498,30,38,0.158
499,30,39,0.169
500,30,40,0.179
501,30,41,0.191
502,30,42,0.202
503,30,43,0.215
504,30,44,0.227
505,30,45,0.24
506,30,46,0.254
507,30,47,0.267
508,30,48,0.282
509,30,49,0.296
510,30,50,0.312
511,30,51,0.327
512,30,52,0.343
513,30,53,0.36
514,30,54,0.377
515,30,55,0.395
516,30,56,0.413
517,30,57,0.431
518,30,58,0.45
519,30,59,0.47
520,30,60,0.49
521,30,61,0.51
522,30,62,0.531
523,30,63,0.553
524,30,64,0.575
525,30,65,0.597
526,30,66,0.62
527,30,67,0.644
528,30,68,0.668
529,30,69,0.693
530,30,70,0.718
531,30,71,0.743
532,30,72,0.77
533,30,73,0.797
534,30,74,0.824
535,30,75,0.852
536,30,76,0.88
537,30,77,0.909
538,30,78,0.939
539,30,79,0.969
540,30,80,1.0
541,31,1,0.0
542,31,2,0.0
543,31,3,0.0
544,31,4,0.0
545,31,5,0.0
546,31,6,0.0
547,31,7,0.0
548,31,8,0.0
549,31,9,0.001
550,31,10,0.001
551,31,11,0.001
552,31,12,0.001
553,31,13,0.002
554,31,14,0.002
555,31,15,0.003
556,31,16,0.004
557,31,17,0.005
558,31,18,0.006
559,31,19,0.007
560,31,20,0.008
561,31,21,0.01
562,31,22,0.012
563,31,23,0.013
564,31,24,0.016
565,31,25,0.018
566,31,26,0.02
567,31,27,0.023
568,31,28,0.026
569,31,29,0.03
570,31,30,0.033
571,31,31,0.037
572,31,32,0.042
573,31,33,0.046
574,31,34,0.052
575,31,35,0.057
576,31,36,0.063
577,31,37,0.069
578,31,38,0.076
579,31,39,0.083
580,31,40,0.09
581,31,41,0.098
582,31,42,0.107
583,31,43,0.116
584,31,44,0.126
585,31,45,0.136
586,31,46,0.146
587,31,47,0.158
588,31,48,0.17
589,31,49,0.182
590,31,50,0.196
591,31,51,0.209
592,31,52,0.224
593,31,53,0.239
594,31,54,0.255
595,31,55,0.272
596,31,56,0.29
597,31,57,0.308
598,31,58,0.327
599,31,59,0.347
600,31,60,0.368
601,31,61,0.39
602,31,62,0.412
603,31,63,0.436
604,31,64,0.46
605,31,65,0.486
606,31,66,0.512
607,31,67,0.54
608,31,68,0.568
609,31,69,0.598
610,31,70,0.629
611,31,71,0.66
612,31,72,0.693
613,31,73,0.727
614,31,74,0.763
615,31,75,0.799
616,31,76,0.837
617,31,77,0.876
618,31,78,0.916
619,31,79,0.957
620,31,80,1.0
621,32,1,0.0
622,32,2,0.0
623,32,3,0.0
624,32,4,0.0
625,32,5,0.0
626,32,6,0.0
627,32,7,0.0
628,32,8,0.0
629,32,9,0.0
630,32,10,0.0
631,32,11,0.0
632,32,12,0.0
633,32,13,0.0
634,32,14,0.0
635,32,15,0.0
636,32,16,0.0
637,32,17,0.0
638,32,18,0.001
639,32,19,0.001
640,32,20,0.001
641,32,21,0.001
642,32,22,0.002
643,32,23,0.002
644,32,24,0.003
645,32,25,0.003
646,32,26,0.004
647,32,27,0.005
648,32,28,0.006
649,32,29,0.007
650,32,30,0.008
651,32,31,0.009
652,32,32,0.011
653,32,33,0.012
654,32,34,0.014
655,32,35,0.017
656,32,36,0.019
657,32,37,0.022
658,32,38,0.025
659,32,39,0.028
660,32,40,0.032
661,32,41,0.036
662,32,42,0.041
663,32,43,0.046
664,32,44,0.052
665,32,45,0.058
666,32,46,0.064
667,32,47,0.072
668,32,48,0.079
669,32,49,0.088
670,32,50,0.097
671,32,51,0.107
672,32,52,0.118
673,32,53,0.13
674,32,54,0.142
675,32,55,0.156
676,32,56,0.17
677,32,57,0.186
678,32,58,0.203
679,32,59,0.221
680,32,60,0.24
681,32,61,0.26
682,32,62,0.282
683,32,63,0.305
684,32,64,0.33
685,32,65,0.357
686,32,66,0.385
687,32,67,0.414
688,32,68,0.446
689,32,69,0.48
690,32,70,0.515
691,32,71,0.553
692,32,72,0.593
693,32,73,0.635
694,32,74,0.679
695,32,75,0.726
696,32,76,0.775
697,32,77,0.827
698,32,78,0.882
699,32,79,0.939
700,32,80,1.0
701,33,1,0.0
702,33,2,0.013
703,33,3,0.025
704,33,4,0.038
705,33,5,0.051
706,33,6,0.063
707,33,7,0.076
708,33,8,0.089
709,33,9,0.101
710,33,10,0.114
711,33,11,0.127
712,33,12,0.139
713,33,13,0.152
714,33,14,0.165
715,33,15,0.177
716,33,16,0.19
717,33,17,0.203
718,33,18,0.215
719,33,19,0.228
720,33,20,0.241
721,33,21,0.253
722,33,22,0.266
723,33,23,0.278
724,33,24,0.291
725,33,25,0.304
726,33,26,0.316
727,33,27,0.329
728,33,28,0.342
729,33,29,0.354
730,33,30,0.367
731,33,31,0.38
732,33,32,0.392
733,33,33,0.405
734,33,34,0.418
735,33,35,0.43
736,33,36,0.443
737,33,37,0.456
738,33,38,0.468
739,33,39,0.481
740,33,40,0.494
741,33,41,0.506
