id,name,description,causality_description,aim_target,increase_rate,lv_bonus,is_inactive
1,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
2,Big Bang Attack,Causes extreme damage to enemy,,0,120,15,0
3,Kamehameha,Causes huge damage to enemy,,0,100,10,0
4,Galick Gun,Causes huge damage to enemy,,0,100,10,0
5,Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
6,Kamehameha,Causes huge damage to enemy,,0,100,10,0
7,Masenko,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0
8,Kamehameha,Causes huge damage to enemy,,0,100,10,0
9,Shining Slash,Causes huge damage to enemy,,0,100,10,0
10,Burning Attack,Causes huge damage to enemy,,0,100,10,0
11,Destructo-Disc,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
12,Special Beam Cannon,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
13,Tri-Beam,Causes extreme damage to enemy,,0,120,15,0
14,Dodon Ray,Causes huge damage to enemy,,0,100,10,0
15,Dodon Ray,Causes huge damage to enemy,,0,100,10,0
16,Telekinesis,Causes huge damage to enemy,,0,100,10,0
17,Wolf Fang Fist,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
18,Kamehameha,Causes huge damage to enemy,,0,100,10,0
19,Double Sunday,Causes huge damage to enemy,,0,100,10,0
20,Giant Storm,Causes huge damage to enemy,,0,100,10,0
21,Break Cannon,"Causes huge damage to enemy 
and greatly lowers DEF",,0,100,10,0
22,Elegant Blaster,Causes huge damage to enemy,,0,100,10,0
23,Milky Cannon,Causes huge damage to enemy,,0,100,10,0
24,Eye Beam,Causes huge damage to enemy,,0,100,10,0
25,Photon Wave,Causes huge damage to enemy,,0,100,10,0
26,Full Power Energy Ball,Causes huge damage to enemy,,0,100,10,0
27,Infinity Bullet,Causes huge damage to enemy,,0,100,10,0
28,Rocket Punch,Causes huge damage to enemy,,0,100,10,0
29,Hell Flash,Causes huge damage to enemy,,0,100,10,0
30,Kamehameha,Causes huge damage to enemy,,0,100,10,0
31,Dodon Ray,"Huge damage 
and rare chance to stun the enemy",,0,100,10,0
32,Double Buster,Causes huge damage to enemy,,0,100,10,0
33,Evil Containment Wave,Causes huge damage to enemy,,0,100,10,0
34,Super Breath Cannon,Causes huge damage to enemy,,0,100,10,0
35,Electromagnetic Wave,Causes huge damage to enemy,,0,100,10,0
36,Power Rush,Causes huge damage to enemy,,0,100,10,0
37,Maximum Buster,Causes huge damage to enemy,,0,100,10,0
38,Recoome Eraser Gun,Causes extreme damage to enemy,,0,120,15,0
39,Psycho Javelin,Causes huge damage to enemy,,0,100,10,0
40,Paralysis Technique,Causes huge damage to enemy,,0,100,10,0
41,Blue Impulse,Causes huge damage to enemy,,0,100,10,0
42,Crusher Ball,Causes huge damage to enemy,,0,100,10,0
43,Reclining Slicer,Causes huge damage to enemy,,0,100,10,0
44,Assault Flash,Causes huge damage to enemy,,0,100,10,0
45,No Forgiveness!,Causes huge damage to enemy,,0,100,10,0
46,Dynamite Kick,Causes huge damage to enemy,,0,100,10,0
47,Eagle Kick,Causes huge damage to enemy,,0,100,10,0
48,Kamehameha,Causes huge damage to enemy,,0,100,10,0
49,Crash Launcher,Causes huge damage to enemy,,0,100,10,0
50,Energy Drain,Causes huge damage to enemy,,0,100,10,0
51,Light Absorber,Causes huge damage to enemy,,0,100,10,0
52,Snipe Shot,Causes huge damage to enemy,,0,100,10,0
53,High Speed Rush,Causes huge damage to enemy,,0,100,10,0
54,Dastard Impact,Causes huge damage to enemy,,0,100,10,0
55,Evil Beam,Causes huge damage to enemy,,0,100,10,0
56,Powered Tackle,Causes huge damage to enemy,,0,100,10,0
57,Diamond Chop,Causes huge damage to enemy,,0,100,10,0
58,Knuckle Blow,Causes huge damage to enemy,,0,100,10,0
59,Killer Machine Gun,Causes huge damage to enemy,,0,100,10,0
60,Acid,Causes huge damage to enemy,,0,100,10,0
61,Beam Strike,Causes huge damage to enemy,,0,100,10,0
62,R2 Gun,Causes huge damage to enemy,,0,100,10,0
63,Dynamite Kick,Causes huge damage to enemy,,0,100,10,0
64,Light Grenade,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
65,Dodon Ray,Causes huge damage to enemy,,0,100,10,0
66,Burning Slash,Causes huge damage to enemy,,0,100,10,0
67,Heat Dome Attack,Causes huge damage to enemy,,0,100,10,0
68,Leave My Dad Alone!,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
