id,chain_battle_id,percentile
1,1,1
2,1,3
3,1,5
4,1,10
5,1,20
6,1,35
7,1,50
8,1,75
9,1,100
10,2,1
11,2,3
12,2,5
13,2,10
14,2,20
15,2,35
16,2,50
17,2,75
18,2,100
19,3,1
20,3,3
21,3,5
22,3,10
23,3,20
24,3,35
25,3,50
26,3,75
27,3,100
28,4,1
29,4,3
30,4,5
31,4,10
32,4,20
33,4,35
34,4,50
35,4,75
36,4,100
37,5,1
38,5,3
39,5,5
40,5,10
41,5,20
42,5,35
43,5,50
44,5,75
45,5,100
46,6,1
47,6,3
48,6,5
49,6,10
50,6,20
51,6,35
52,6,50
53,6,75
54,6,100
55,7,1
56,7,3
57,7,5
58,7,10
59,7,20
60,7,35
61,7,50
62,7,75
63,7,100
64,8,1
65,8,3
66,8,5
67,8,10
68,8,20
69,8,35
70,8,50
71,8,75
72,8,100
73,9,1
74,9,3
75,9,5
76,9,10
77,9,20
78,9,35
79,9,50
80,9,75
81,9,100
82,10,1
83,10,3
84,10,5
85,10,10
86,10,20
87,10,35
88,10,50
89,10,75
90,10,100
91,11,1
92,11,3
93,11,5
94,11,10
95,11,20
96,11,35
97,11,50
98,11,75
99,11,100
100,12,1
101,12,3
102,12,5
103,12,10
104,12,20
105,12,35
106,12,50
107,12,75
108,12,100
109,13,1
110,13,3
111,13,5
112,13,10
113,13,20
114,13,35
115,13,50
116,13,75
117,13,100
118,14,1
119,14,3
120,14,5
121,14,10
122,14,20
123,14,35
124,14,50
125,14,75
126,14,100
127,15,1
128,15,3
129,15,5
130,15,10
131,15,20
132,15,35
133,15,50
134,15,75
135,15,100
136,16,1
137,16,3
138,16,5
139,16,10
140,16,20
141,16,35
142,16,50
143,16,75
144,16,100
145,17,1
146,17,3
147,17,5
148,17,10
149,17,20
150,17,35
151,17,50
152,17,75
153,17,100
154,18,1
155,18,3
156,18,5
157,18,10
158,18,20
159,18,35
160,18,50
161,18,75
162,18,100
163,19,1
164,19,3
165,19,5
166,19,10
167,19,20
168,19,35
169,19,50
170,19,75
171,19,100
172,20,1
173,20,3
174,20,5
175,20,10
176,20,20
177,20,35
178,20,50
179,20,75
180,20,100
181,21,1
182,21,3
183,21,5
184,21,10
185,21,20
186,21,35
187,21,50
188,21,75
189,21,100
190,22,1
191,22,3
192,22,5
193,22,10
194,22,20
195,22,35
196,22,50
197,22,75
198,22,100
199,23,1
200,23,3
201,23,5
202,23,10
203,23,20
204,23,35
205,23,50
206,23,75
207,23,100
208,24,1
209,24,3
210,24,5
211,24,10
212,24,20
213,24,35
214,24,50
215,24,75
216,24,100
217,25,1
218,25,3
219,25,5
220,25,10
221,25,20
222,25,35
223,25,50
224,25,75
225,25,100
226,26,1
227,26,3
228,26,5
229,26,10
230,26,20
231,26,35
232,26,50
233,26,75
234,26,100
235,27,1
236,27,3
237,27,5
238,27,10
239,27,20
240,27,35
241,27,50
242,27,75
243,27,100
244,28,1
245,28,3
246,28,5
247,28,10
248,28,20
249,28,35
250,28,50
251,28,75
252,28,100
253,29,1
254,29,3
255,29,5
256,29,10
257,29,20
258,29,35
259,29,50
260,29,75
261,29,100
262,30,1
263,30,3
264,30,5
265,30,10
266,30,20
267,30,35
268,30,50
269,30,75
270,30,100
271,31,1
272,31,3
273,31,5
274,31,10
275,31,20
276,31,35
277,31,50
278,31,75
279,31,100
280,32,1
281,32,3
282,32,5
283,32,10
284,32,20
285,32,35
286,32,50
287,32,75
288,32,100
289,33,1
290,33,3
291,33,5
292,33,10
293,33,20
294,33,35
295,33,50
296,33,75
297,33,100
298,34,1
299,34,3
300,34,5
301,34,10
302,34,20
303,34,35
304,34,50
305,34,75
306,34,100
307,35,1
308,35,3
309,35,5
310,35,10
311,35,20
312,35,35
313,35,50
314,35,75
315,35,100
316,36,1
317,36,3
318,36,5
319,36,10
320,36,20
321,36,35
322,36,50
323,36,75
324,36,100
325,37,1
326,37,3
327,37,5
328,37,10
329,37,20
330,37,35
331,37,50
332,37,75
333,37,100
334,38,1
335,38,3
336,38,5
337,38,10
338,38,20
339,38,35
340,38,50
341,38,75
342,38,100
343,39,1
344,39,3
345,39,5
346,39,10
347,39,20
348,39,35
349,39,50
350,39,75
351,39,100
