id,name,description,efficacy_type,target_type,calc_option,turn,probability,causality_conditions,eff_value1,eff_value2,eff_value3,created_at,updated_at
1,Super Attack power +20% ,Super Attacks will become more powerful!,1,1,2,1,100,,20,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
2,Required Ki -1 for launching Super ATK,Launching a Super Attack will become easier!,63,0,0,0,0,,1,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
3,Required Ki -4 for launching Super ATK,Launches Super Attack when Ki is 8 or more!,63,0,0,0,0,,4,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
4,Required Ki -3 for launching Super ATK,Launches Super Attack when Ki is 9 or more!,63,0,0,0,0,,3,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
5,Super Attack +30%,Super Attack power will be increased even more!,1,1,2,1,100,,30,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
6,Super Attack Transformation ,"30% chance of Super Attack transforming 
for greater power!",1,1,2,0,30,,60,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
7,Super Attack Transformation ,"50% chance of Super Attack transforming 
and DEF being reduced for 1 turn! 
Power will increase more if Super Attack level reaches 20!",2,1,3,0,50,,30,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
8,Super Attack Transformation ,"30% chance of Super Attack transforming 
and ATK & DEF being greatly raised for 1 turn! 
Power will increase more if Super Attack level reaches 20!",3,1,2,0,30,,50,50,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
10,Super Attack Transformation ,"30% chance of Super Attack transforming 
for more power! Launches Super Attack when 
Ki is 9 or more if Super Attack level reaches 10!",1,1,2,1,30,,20,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
11,Super Attack Transformation ,"50% chance of Super Attack transforming 
and Tien appearing! 
Power will be supremely boosted for 3 turns!",1,1,2,3,50,,90,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
12,"Required Ki -3 for launching Super Attack 
and a great power boost","Launches Super Attack when Ki is 9 or more! 
Power will increase more if Super Attack level reaches 20!",63,0,0,0,0,,3,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
13,"Required Ki -3 for launching Super Attack 
and a great power boost","Launches Ultra Super Attack when Ki is 15 or more! 
Power will increase more if Super Attack level reaches 20!",63,0,0,0,0,,3,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
14,Super Attack Transformation,"50% chance of Super Attack transforming 
and DEF being reduced for 1 turn! 
Power will increase more if Super Attack level reaches 20!",2,1,3,0,50,,30,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
15,Super Attack Transformation,"50% chance of Super Attack transforming 
and ATK & DEF being greatly raised for 1 turn! 
Power will increase more if Super Attack level reaches 20!",3,1,2,0,50,,50,50,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
16,Super Attack Transformation,"50% chance of Super Attack transforming 
for even more power! Launches Super Attack 
when Ki is 9 or more if Super Attack level reaches 10!",1,1,2,1,50,,30,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
17,Super Attack Transformation,"50% chance of Super Attack transforming 
and Tien appearing! 
Power will be supremely boosted for 5 turns!",1,1,2,5,50,,90,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
18,Super Attack Transformation,"50% chance of Super Attack transforming 
and ATK being greatly raised for 1 turn! 
Power will increase more if Super Attack level reaches 20!",1,1,2,1,50,,50,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
19,Super Attack Transformation,"50% chance of Super Attack transforming 
and DEF being greatly raised for the rest of battle! 
Power will increase more if Super Attack level reaches 20!",2,1,2,99,50,,50,0,0,2024-07-24 07:39:18.130640,2024-07-24 07:39:18.130640
