id,z_battle_stage_id,enemy_name,enemy_nickname,enemy_resource_id,params,created_at,updated_at
1,1,Super Saiyan 3 Goku,Mystery Super Technique,1003210,"{""lwf"":{""event_top_chara"":{""x"":-18,""y"":218,""scale"":0.78},""anime_start"":{""x"":-18,""y"":218,""scale"":0.78},""anime_end"":{""x"":130,""y"":132,""scale"":0.78},""shadow"":{""x"":-268,""y"":978,""scale"":0.62},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
2,2,Legendary Super Saiyan Broly ,Super Warrior of Destruction,1003800,"{""lwf"":{""event_top_chara"":{""x"":24,""y"":176,""scale"":0.95},""anime_start"":{""x"":24,""y"":176,""scale"":0.95},""anime_end"":{""x"":174,""y"":114,""scale"":0.95},""shadow"":{""x"":-150,""y"":906,""scale"":0.76},""start_chara"":{""x"":-8,""y"":0,""scale"":1.0}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
3,3,Planet Namek Saga,Extreme Z-Battle,1013460,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":42,""scale"":0.72},""anime_start"":{""x"":0,""y"":42,""scale"":0.72},""anime_end"":{""x"":0,""y"":42,""scale"":0.72},""shadow"":{""x"":10000,""y"":10000,""scale"":0.76},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
4,4,Frieza (Full Power),Emperor's Devotion,1004251,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":224,""scale"":0.73},""anime_start"":{""x"":-4,""y"":224,""scale"":0.73},""anime_end"":{""x"":126,""y"":132,""scale"":0.75},""shadow"":{""x"":-258,""y"":1008,""scale"":0.63},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
6,5,Family Kamehameha,Extreme Z-Battle,1013610,"{""lwf"":{""event_top_chara"":{""x"":2,""y"":36,""scale"":0.7},""anime_start"":{""x"":2,""y"":36,""scale"":0.7},""anime_end"":{""x"":2,""y"":36,""scale"":0.7},""shadow"":{""x"":10000,""y"":10000,""scale"":1.0},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
7,6,Perfect Cell,Surpassing All,1004651,"{""lwf"":{""event_top_chara"":{""x"":76,""y"":290,""scale"":0.97},""anime_start"":{""x"":76,""y"":290,""scale"":0.97},""anime_end"":{""x"":190,""y"":228,""scale"":0.97},""shadow"":{""x"":-42,""y"":1102,""scale"":0.6},""start_chara"":{""x"":0,""y"":-8,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
8,7,Ultimate Gohan,Ultimate Power Surge,1006701,"{""lwf"":{""event_top_chara"":{""x"":94,""y"":-14,""scale"":1.0},""anime_start"":{""x"":94,""y"":-14,""scale"":1.0},""anime_end"":{""x"":194,""y"":-56,""scale"":1.0},""shadow"":{""x"":24,""y"":578,""scale"":0.69},""start_chara"":{""x"":-4,""y"":-4,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
9,8,Broly,Saiyan Outcast,1014511,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":118,""scale"":0.67},""anime_start"":{""x"":-4,""y"":118,""scale"":0.67},""anime_end"":{""x"":124,""y"":48,""scale"":0.67},""shadow"":{""x"":-176,""y"":880,""scale"":0.51},""start_chara"":{""x"":0,""y"":38,""scale"":1.0}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
10,9,Piccolo,Battle as a Namekian,1014681,"{""lwf"":{""event_top_chara"":{""x"":54,""y"":120,""scale"":1.07},""anime_start"":{""x"":54,""y"":120,""scale"":1.07},""anime_end"":{""x"":162,""y"":40,""scale"":1.07},""shadow"":{""x"":-102,""y"":832,""scale"":0.76},""start_chara"":{""x"":0,""y"":-12,""scale"":1.17}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
12,10,Jiren,Burning Ultimate Warrior,1013961,"{""lwf"":{""event_top_chara"":{""x"":-200,""y"":-18,""scale"":1.16},""anime_start"":{""x"":-200,""y"":-18,""scale"":1.16},""anime_end"":{""x"":-200,""y"":-18,""scale"":1.16},""shadow"":{""x"":-1500,""y"":1500,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-66,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
13,11,Buu (Kid),Heartless Destruction,1003311,"{""lwf"":{""event_top_chara"":{""x"":-36,""y"":-118,""scale"":1.13},""anime_start"":{""x"":-36,""y"":-118,""scale"":1.13},""anime_end"":{""x"":124,""y"":-148,""scale"":1.09},""shadow"":{""x"":-278,""y"":300,""scale"":0.86},""start_chara"":{""x"":0,""y"":2,""scale"":1.05}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
14,12,Beerus,Devastating Punishment,1005301,"{""lwf"":{""event_top_chara"":{""x"":8,""y"":-222,""scale"":1.15},""anime_start"":{""x"":8,""y"":-222,""scale"":1.15},""anime_end"":{""x"":124,""y"":-348,""scale"":1.38},""shadow"":{""x"":-68,""y"":32,""scale"":0.97},""start_chara"":{""x"":0,""y"":0,""scale"":1.05}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
15,13,Super Saiyan 3 Vegeta,Warrior's True Value,1005731,"{""lwf"":{""event_top_chara"":{""x"":78,""y"":70,""scale"":1.15},""anime_start"":{""x"":78,""y"":70,""scale"":1.15},""anime_end"":{""x"":218,""y"":12,""scale"":1.3},""shadow"":{""x"":134,""y"":701,""scale"":0.89},""start_chara"":{""x"":0,""y"":0,""scale"":1.05}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
16,14,Super Janemba,Netherworld Demon,1005051,"{""lwf"":{""event_top_chara"":{""x"":6,""y"":-10,""scale"":0.99},""anime_start"":{""x"":6,""y"":-10,""scale"":0.99},""anime_end"":{""x"":192,""y"":-134,""scale"":0.99},""shadow"":{""x"":-106,""y"":620,""scale"":0.63},""start_chara"":{""x"":-16,""y"":-26,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
17,15,Broly,Saiyan Outcast,1016131,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":64,""scale"":0.74},""anime_start"":{""x"":-2,""y"":64,""scale"":0.74},""anime_end"":{""x"":124,""y"":-2,""scale"":0.74},""shadow"":{""x"":-178,""y"":782,""scale"":0.56},""start_chara"":{""x"":-6,""y"":-70,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
18,16,Super Gogeta,The Supreme Warrior,1005281,"{""lwf"":{""event_top_chara"":{""x"":14,""y"":46,""scale"":0.99},""anime_start"":{""x"":14,""y"":46,""scale"":0.99},""anime_end"":{""x"":152,""y"":-52,""scale"":1.06},""shadow"":{""x"":-110,""y"":698,""scale"":0.76},""start_chara"":{""x"":0,""y"":0,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
19,17,Super Saiyan Goku Jr.,Courage Awakened,1010361,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":112,""scale"":0.89},""anime_start"":{""x"":-6,""y"":112,""scale"":0.89},""anime_end"":{""x"":134,""y"":6,""scale"":0.92},""shadow"":{""x"":-180,""y"":828,""scale"":0.6},""start_chara"":{""x"":0,""y"":0,""scale"":1.2}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
20,18,Super Saiyan Vegeta Jr.,Young Saiyan Descendant,1011341,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":204,""scale"":0.8},""anime_start"":{""x"":-2,""y"":204,""scale"":0.8},""anime_end"":{""x"":140,""y"":112,""scale"":0.8},""shadow"":{""x"":-182,""y"":1004,""scale"":0.45},""start_chara"":{""x"":-14,""y"":-30,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
21,19,Omega Shenron,The Omnipotent Shadow Dragon,1016471,"{""lwf"":{""event_top_chara"":{""x"":124,""y"":54,""scale"":0.95},""anime_start"":{""x"":124,""y"":54,""scale"":0.95},""anime_end"":{""x"":248,""y"":-38,""scale"":0.95},""shadow"":{""x"":46,""y"":710,""scale"":0.62},""start_chara"":{""x"":0,""y"":38,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
22,21,Father-Son Galick Gun,Extreme Z-Battle,1016700,"{""lwf"":{""event_top_chara"":{""x"":52,""y"":-20,""scale"":1.0},""anime_start"":{""x"":52,""y"":-20,""scale"":1.0},""anime_end"":{""x"":52,""y"":-20,""scale"":1.0},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":0,""y"":-26,""scale"":1.1}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
23,20,Super Saiyan 3 Gotenks,Grim Reaper of Justice's Rampage,1006211,"{""lwf"":{""event_top_chara"":{""x"":42,""y"":42,""scale"":0.79},""anime_start"":{""x"":42,""y"":42,""scale"":0.79},""anime_end"":{""x"":184,""y"":26,""scale"":0.79},""shadow"":{""x"":-64,""y"":782,""scale"":0.52},""start_chara"":{""x"":-2,""y"":-14,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
24,22,Golden Frieza,Fire of Vengeance,1007391,"{""lwf"":{""event_top_chara"":{""x"":56,""y"":238,""scale"":0.87},""anime_start"":{""x"":56,""y"":238,""scale"":0.87},""anime_end"":{""x"":226,""y"":142,""scale"":0.87},""shadow"":{""x"":12,""y"":1050,""scale"":0.51},""start_chara"":{""x"":0,""y"":-18,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
25,23,Goku Black,Dark Menace,1008851,"{""lwf"":{""event_top_chara"":{""x"":-48,""y"":-56,""scale"":1.1},""anime_start"":{""x"":-48,""y"":-56,""scale"":1.1},""anime_end"":{""x"":124,""y"":-170,""scale"":1.08},""shadow"":{""x"":-352,""y"":530,""scale"":0.88},""start_chara"":{""x"":0,""y"":0,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
