id,script_id
1,1001
2,1002
3,1003
4,2001
5,2002
6,2003
7,2005
8,2006
9,2007
10,2008
11,2009
12,2010
13,2011
14,2012
15,2013
16,2014
17,2015
18,2016
19,2017
20,2019
21,2018
22,2020
23,1001021
24,1001033
25,1001040
26,1001041
27,1001050
28,1002013
29,1002020
30,1002023
31,1002030
32,1002033
33,1002040
34,1002053
35,1003023
36,1010044
37,1010045
38,1010046
39,1011035
40,1011036
41,1012045
42,1012046
43,1012085
44,1012086
45,1013015
46,1013016
47,1013035
48,1013036
49,1014085
50,1014086
51,2403011
52,2403012
53,2403021
54,2403022
55,2403031
56,2403032
57,2403041
58,2403042
59,2403051
60,2403052
61,4000000
62,4000001
63,4000010
64,4000011
65,4000020
66,4000021
67,4000030
68,4000031
69,4000040
70,4000041
71,4000050
72,4000051
73,4000060
74,4000061
75,4000070
76,4000071
77,4000080
78,4000081
79,4000090
80,4000091
81,4000100
82,4000101
83,4000110
84,4000111
85,4000120
86,4000121
87,2133024
88,2319092
89,2319102
90,2319112
91,2319202
92,2320062
93,2320082
94,2320092
95,2320132
96,2320172
97,2320182
98,2320192
99,2320202
100,2503013
101,2503023
102,2503024
103,2503025
104,2503026
105,2503027
106,2503028
107,2504022
108,2504024
109,2505012
110,2505022
111,2506022
112,2321064
113,2321074
114,2321094
115,2321104
116,2401024
117,2507012
118,2507022
119,2507023
120,2404024
121,1016014
122,1016015
123,1016016
124,1017064
125,1017065
126,1017066
127,1018054
128,1018055
129,1018056
130,2320222
131,2320232
132,2322024
133,2322054
134,2322064
135,2322084
136,2322085
137,2322094
138,2322095
139,2508012
140,2508022
141,2508023
142,2509013
143,2509014
144,2509023
145,2509024
146,2408024
147,2319212
148,2319222
149,2319232
150,2319233
151,2405024
152,2323034
153,2323044
154,2323084
155,2323094
156,2323095
157,2323104
158,2510012
159,2510022
160,2510024
161,2412024
162,2406034
163,1019014
164,1019015
165,1019016
166,1020074
167,1020075
168,1020076
169,2324044
170,2324064
171,2324074
172,2409024
173,2511012
174,2511022
175,2511024
176,2511025
177,2511026
178,2414024
179,2411024
180,2415024
181,2601023
182,2601033
183,2601034
184,2512012
185,2512022
186,2512023
187,2501031
188,2501032
189,2135013
190,2135014
191,2135015
192,2325034
193,2325064
194,2325084
195,2513012
196,2513022
197,2513023
198,2513024
199,2513025
200,2514012
201,2514013
202,2514014
203,2420024
204,2315111
205,2515012
206,2515020
207,2515021
208,2515022
209,2515023
210,2515024
211,2515025
212,2515026
213,2418024
214,2418034
215,2516012
216,2516013
217,2516014
218,2516015
219,2517010
220,2517027
221,2422024
222,2518022
223,2518023
224,2327064
225,2416024
226,2326034
227,2326064
228,2326065
229,2519012
230,2519013
231,2520012
232,2520013
233,2502031
234,2502032
235,2521011
236,2521012
237,2521013
238,2417024
239,2328054
240,2328074
241,2602023
242,2602033
243,2602034
244,2320242
245,2522012
246,2522013
247,2522014
248,2522015
249,2523011
250,2523022
251,2523023
252,2524012
253,2524013
254,2524014
255,2413024
256,2526012
257,2526013
258,2526014
259,2525012
260,2525013
261,2330054
262,2527012
263,2527013
264,2527014
265,2421024
266,2528012
267,2528013
268,2528014
269,2529012
270,2529013
271,2530012
272,2530013
273,2529019
274,2529018
275,1022075
276,2503032
277,2503033
278,2503034
279,2506032
280,2506033
281,2506034
282,2505033
283,2505034
284,1022074
285,1022076
286,2332044
287,2513032
288,2513033
289,2513034
290,2513035
291,2531012
292,2531013
293,2531014
294,1026024
295,1026025
296,1026026
297,2532012
298,2532013
299,2532014
300,2517033
301,2517034
302,2517035
303,2508032
304,2508033
305,2508034
306,2335034
307,2335094
308,2533022
309,2533023
310,2533024
311,2135023
312,2512032
313,2512033
314,2512034
315,2336014
316,2336034
317,2534012
318,2534013
319,2534014
320,2534015
321,2534016
322,2338054
323,2535022
324,2535023
325,2535024
326,2535025
327,2520022
328,2520023
329,2520024
330,2519022
331,2519023
332,2519024
333,2339064
334,2339065
335,2536012
336,2536013
337,2536014
338,2537012
339,2537013
340,2537014
341,2341024
342,2341054
343,2341064
344,2341074
345,2341075
346,2538012
347,2538013
348,2538014
349,2538015
350,2538016
351,2539012
352,2539013
353,2539014
354,2343054
355,2524022
356,2524023
357,2524024
358,2344014
359,2344064
360,2540022
361,2540023
362,2540024
363,2540025
364,2603023
365,2603033
366,2603034
367,2541012
368,2541013
369,2541014
370,2542012
371,2542013
372,2542014
373,2543012
374,2543013
375,2543014
376,2162064
377,2346024
378,2346084
379,2544012
380,2544013
381,2544014
382,2544015
383,2545012
384,2545013
385,2545014
386,2545015
387,2711014
388,2515032
389,2515033
390,2515034
391,2515035
392,2515036
393,2604023
394,2604033
395,2604034
396,2546012
397,2546013
398,2546014
399,2518032
400,2518033
401,2518034
402,2547012
403,2547013
404,2547014
405,2355054
406,2548012
407,2548013
408,2548014
409,2549012
410,2549013
411,2549014
412,2355114
413,2525022
414,2525023
415,2525024
416,2526022
417,2526023
418,2526024
419,2357044
420,2357074
421,2551012
422,2551013
423,2551014
424,2551015
425,2550012
426,2550013
427,2550014
428,2364044
429,2361044
430,2552012
431,2552013
432,2552014
433,2522022
434,2522023
435,2522024
436,2523032
437,2523033
438,2523034
440,5355054
441,5355114
442,2553012
443,2553013
444,2553015
445,2181034
446,2181064
447,2181074
448,2181084
449,2365034
450,2365064
451,2365074
452,2605023
453,2605033
454,2605034
455,2368074
456,2554012
457,2554013
458,2554014
459,2183014
460,2555012
461,2555013
462,2555014
463,2502042
464,2502043
465,2502044
466,2801013
467,2801014
468,2369034
469,2369064
470,2371064
471,2371074
472,2371094
473,2371104
474,2541022
475,2541023
476,2541024
477,2171024
478,2527022
479,2527023
480,2527024
481,2373064
482,2373074
483,2514022
484,2514023
485,2514024
486,2372044
487,2372045
488,2372064
489,2556012
490,2556013
491,2556014
492,2528022
493,2528023
494,2528024
495,2557012
496,2557013
497,2557014
498,2192014
499,2549022
