id,name,effect_description,condition_description,turn,exec_limit,causality_conditions,ultimate_special_id,special_view_id,costume_special_view_id,bgm_id
13,Leave it to Pan!,All allies' ATK +33% for 1 turn,"Can be activated starting from the 3rd turn 
from start of battle (once only)",1,1,"{""source"":""4"",""compiled"":4}",,4774,0,70.0
14,10x Kamehameha,"Massively raises ATK temporarily and 
causes ultimate damage to enemy","Can be activated starting from the 4th turn 
from start of battle (once only)",1,1,"{""source"":""5"",""compiled"":5}",2.0,4821,0,58.0
15,Final Shine Attack,"Massively raises ATK temporarily and 
causes ultimate damage to enemy","Can be activated starting from the 4th turn 
from start of battle (once only)",1,1,"{""source"":""5"",""compiled"":5}",2.0,4822,0,76.0
16,Take This!,Causes ultimate damage to enemy,"Can be activated when HP is 59% or less 
(once only)",1,1,"{""source"":""6"",""compiled"":6}",3.0,4945,0,82.0
17,Family Kamehameha,"Massively raises ATK temporarily 
and causes ultimate damage to enemy","Can be activated when HP is 59% or less and 
facing only 1 enemy starting from the 3rd turn 
from start of battle (once only)",1,1,"{""source"":""4 \u00266 \u00269"",""compiled"":[""\u0026"",4,6,9]}",4.0,5044,0,88.0
18,Kakarot,Ki +24 and ATK +48% for 1 turn,"Can be activated after Transformation 
 (once only)",1,1,"{""source"":""10"",""compiled"":10}",,5065,0,87.0
19,Miraculous Power,Powers up,"Can be activated starting from 
next attacking turn (once only)",1,1,"{""source"":""11"",""compiled"":11}",,5096,0,86.0
20,Miraculous Power,Powers up,"Can be activated starting from 
next attacking turn (once only)",1,1,"{""source"":""11"",""compiled"":11}",,5096,0,86.0
21,Monstrous God,Mutates,"Can be activated starting from 
next attacking turn (once only)",1,1,"{""source"":""11"",""compiled"":11}",,5105,0,85.0
22,Monstrous God,Mutates,"Can be activated starting from 
next attacking turn (once only)",1,1,"{""source"":""11"",""compiled"":11}",,5105,0,85.0
23,Rage,Rages,"Can be activated when HP is 50% or less 
starting from the 5th turn from the start 
of battle (once only)",1,1,"{""source"":""200 \u0026 27"",""compiled"":[""\u0026"",200,27]}",,5214,0,79.0
24,Rage,Rages,"Can be activated when HP is 50% or less 
starting from the 5th turn from the start 
of battle (once only)",1,1,"{""source"":""200 \u0026 27"",""compiled"":[""\u0026"",200,27]}",,5214,0,79.0
25,HAIL Frieza,"Causes supreme damage to enemy and 
greatly lowers ATK & DEF","Can be activated when facing 3 or more 
enemies starting from the 3rd turn 
from the start of battle (once only)",3,1,"{""source"":""4 \u0026 18"",""compiled"":[""\u0026"",4,18]}",5.0,5215,0,61.0
26,Solar Kamehameha,"Greatly raises ATK temporarily, 
causes ultimate damage to enemy 
and massively lowers DEF","Can be activated when facing only 1 enemy 
starting from the 3rd turn after Evolution 
(once only)",3,1,"{""source"":""9 \u0026 296"",""compiled"":[""\u0026"",9,296]}",6.0,5439,0,90.0
27,Awakening,Awakens,"Can be activated when HP is 58% or less 
with ""Android #16"" on the team, or when 
HP is 58% or less with an existing ""Androids"" 
Category ally or enemy starting from the 5th turn 
from the start of battle (once only)",1,1,"{""source"":""(239\u0026354)|(200\u0026239\u0026(93|139))"",""compiled"":[""|"",[""\u0026"",239,354],[""\u0026"",200,239,[""|"",93,139]]]}",,5422,0,91.0
28,Awakening,Awakens,"Can be activated when HP is 58% or less 
with ""Android #16"" on the team, or when 
HP is 58% or less with an existing ""Androids"" 
Category ally or enemy starting from the 5th turn 
from the start of battle (once only)",1,1,"{""source"":""(239\u0026354)|(200\u0026239\u0026(93|139))"",""compiled"":[""|"",[""\u0026"",239,354],[""\u0026"",200,239,[""|"",93,139]]]}",,5422,0,91.0
29,Fusion with Kami,Fuses with Kami,"Can be activated when HP is 70% or more 
with another ""Namekians"" Category ally 
on the team starting from the 4th turn 
from the start of battle (once only)",1,1,"{""source"":""5\u0026252\u0026165"",""compiled"":[""\u0026"",5,252,165]}",,5356,0,73.0
30,Fusion with Kami,Fuses with Kami,"Can be activated when HP is 70% or more 
with another ""Namekians"" Category ally 
on the team starting from the 4th turn 
from the start of battle (once only)",1,1,"{""source"":""5\u0026252\u0026165"",""compiled"":[""\u0026"",5,252,165]}",,5356,0,73.0
31,Exchange,Exchange with Super Trunks,"Can be activated starting from the 3rd turn 
from the start of battle (once only)",1,1,"{""source"":""4"",""compiled"":4}",,5371,0,
32,Exchange,Exchange with Super Trunks,"Can be activated starting from the 3rd turn 
from the start of battle (once only)",1,1,"{""source"":""4"",""compiled"":4}",,5371,0,
33,Exchange,Exchange with Super Saiyan Gohan (Youth),"Can be activated starting from the 3rd turn 
from the start of battle (once only)",1,1,"{""source"":""4"",""compiled"":4}",,5704,0,
34,Exchange,Exchange with Super Saiyan Gohan (Youth),"Can be activated starting from the 3rd turn 
from the start of battle (once only)",1,1,"{""source"":""4"",""compiled"":4}",,5704,0,
35,Exchange,Exchange with Android #16 for 3 turns,"Can be activated when HP is 66% or less with 
another 2 or more ""Androids"" Category allies 
on the team, or can be activated at any time 
when facing an enemy whose name includes 
""Cell"" (characters such as Cell Jr. excluded) 
(once only)",1,1,"{""source"":""(286\u0026287)|355"",""compiled"":[""|"",[""\u0026"",286,287],355]}",,5765,0,92.0
36,Exchange,Exchange with Android #16 for 3 turns,"Can be activated when HP is 66% or less with 
another 2 or more ""Androids"" Category allies 
on the team, or can be activated at any time 
when facing an enemy whose name includes 
""Cell"" (characters such as Cell Jr. excluded) 
(once only)",1,1,"{""source"":""(286\u0026287)|355"",""compiled"":[""|"",[""\u0026"",286,287],355]}",,5765,0,92.0
37,Transformation,Transforms,"Can be activated when there is a ""Pure Saiyans"" 
or ""Hybrid Saiyans"" Category enemy starting from 
the 3rd turn from the start of battle, or when facing 
only 1 enemy starting from the 6th turn from 
the start of battle (once only)",1,1,"{""source"":""(385\u0026(386|387))|(388\u00269)"",""compiled"":[""|"",[""\u0026"",385,[""|"",386,387]],[""\u0026"",388,9]]}",,5894,0,93.0
38,Transformation,Transforms,"Can be activated when there is a ""Pure Saiyans"" 
or ""Hybrid Saiyans"" Category enemy starting from 
the 3rd turn from the start of battle, or when facing 
only 1 enemy starting from the 6th turn from 
the start of battle (once only)",1,1,"{""source"":""(385\u0026(386|387))|(388\u00269)"",""compiled"":[""|"",[""\u0026"",385,[""|"",386,387]],[""\u0026"",388,9]]}",,5894,0,93.0
39,Spirit Bomb,"Causes ultimate damage to enemy and 
raises allies' ATK by 30% for 1 turn","Can be activated when HP is 59% or less 
with another 3 or more ""Representatives 
of Universe 7"" Category allies on the team 
(once only)",1,1,"{""source"":""401 \u0026 402"",""compiled"":[""\u0026"",401,402]}",7.0,6047,0,98.0
40,Final Kamehameha,"Greatly raises ATK temporarily and 
causes ultimate damage to enemy","Can be activated when facing only 1 enemy, 
whose HP is 50% or less, starting from 
next attacking turn (once only)",1,1,"{""source"":""11\u0026476\u0026477"",""compiled"":[""\u0026"",11,476,477]}",8.0,6322,0,255.0
41,Ultimate Kamehameha,"Greatly raises ATK temporarily and 
causes ultimate damage to enemy","Can be activated when facing only 1 enemy, 
whose HP is 50% or less, starting from 
next attacking turn (once only)",1,1,"{""source"":""11\u0026476\u0026477"",""compiled"":[""\u0026"",11,476,477]}",9.0,6323,0,256.0
42,Evil Containment Wave,"Raises ATK by 628% temporarily then causes 
damage to enemy and, within the turn activated, 
all attacks become critical hits and stuns the 
attacked enemy while reducing own DEF by half","Can be activated when there is another ally 
whose name includes ""Trunks (Teen) (Future)"", 
""Trunks (Future)"" or ""Mai (Future)"" attacking 
in the same turn starting from the 3rd turn 
from the start of battle (once only)",1,1,"{""source"":""494\u0026(479|480|481)"",""compiled"":[""\u0026"",494,[""|"",479,480,481]]}",10.0,6324,0,
43,Gine's Encouragement,"Removes all allies' status effects and 
raises all allies' ATK by 22% for 2 turns","Can be activated when HP is 80% or less starting 
from the 4th turn from the start of battle (once only)",2,1,"{""source"":""492\u0026493"",""compiled"":[""\u0026"",492,493]}",,6325,0,
