id,enemy_skill_id,link_skill_id
100,1,1000
200,2,1001
300,3,1003
600,6,50
700,7,29
1200,12,1004
20000,200,109
30000,300,1000
65000,650,103
70000,700,95
71000,710,95
72000,720,95
96000,96001,125
96001,96008,125
96002,96014,125
96003,96017,125
100000,100001,125
100001,100008,125
100002,100014,125
100003,100017,125
101000,101001,125
101001,101008,125
101002,101015,125
101003,101018,125
102000,102001,125
102001,102008,125
102002,102014,125
102003,102017,125
105000,105001,125
105001,105008,125
105002,105014,125
105003,105017,125
107000,107001,125
107001,107008,125
107002,107014,125
107003,107017,125
108000,108001,125
108001,108008,125
108002,108014,125
108003,108017,125
109001,109001,125
109002,109008,125
109003,109014,125
109004,109017,125
110000,1100,1001
111000,1110,1001
111001,111001,125
111002,111008,125
111003,111014,125
111004,111017,125
113001,113001,125
113002,113008,125
113003,113014,125
113004,113017,125
118001,118001,125
118002,118008,125
118003,118014,125
118004,118017,125
120000,1200,19
121000,1210,30
122000,1220,42
124000,1240,34
124001,124001,125
124002,124008,125
124003,124014,125
124004,124017,125
126000,1260,52
127000,1270,52
127001,127001,125
127002,127008,125
127003,127014,125
127004,127017,125
128001,128001,125
128002,128008,125
128003,128014,125
128004,128017,125
130000,1300,66
130001,130001,125
130002,130008,125
130003,130014,125
130004,130017,125
131000,1310,66
131001,131001,125
131002,131008,125
131003,131014,125
131004,131017,125
132000,1320,66
133000,1330,66
133001,133001,125
133002,133008,125
133003,133014,125
133004,133017,125
134001,134001,125
134002,134008,125
134003,134014,125
134004,134017,125
135001,135001,125
135002,135008,125
135003,135014,125
135004,135017,125
137001,137001,125
137002,137008,125
137003,137014,125
137004,137017,125
140000,1400,40
140001,140001,125
140002,140008,125
140003,140014,125
140004,140017,125
141000,1410,40
141001,141001,125
141002,141008,125
141003,141014,125
141004,141017,125
142000,1420,40
143000,1430,40
145001,145001,125
145002,145008,125
145003,145014,125
145004,145017,125
146001,146001,125
146002,146008,125
146003,146014,125
146004,146017,125
148001,148001,125
148002,148008,125
148003,148014,125
148004,148017,125
160000,1600,79
161000,1610,79
162000,1620,79
163000,1630,79
164000,1640,79
170000,1700,127
171000,1710,127
172000,1720,127
173000,1730,127
174000,1740,127
180000,1800,115
181000,1810,115
182000,1820,115
183000,1830,115
230000,2300,1003
232000,2320,1003
233000,2330,1003
234000,2340,1003
235000,2350,1003
240000,2400,29
254000,2540,50
273000,2720,116
274000,2730,116
275000,2740,116
276000,2750,116
290000,2900,95
291000,2910,95
292000,2920,95
293000,2930,95
314000,3130,1004
315000,3140,1004
328000,3280,109
329000,3290,109
350000,3500,59
351000,3510,59
352000,3520,59
353000,3530,59
430000,4300,79
431000,4310,79
432000,4320,79
433000,4330,79
434000,4340,79
511000,5110,103
580000,5800,115
581000,5810,115
582000,5820,115
583000,5830,115
590000,5900,127
591000,5910,127
592000,5920,127
593000,5930,127
640000,6400,66
641000,6410,66
642000,6420,66
643000,6430,66
644000,6440,66
650000,6500,40
651000,6510,40
652000,6520,40
653000,6530,40
654000,6540,40
658000,6580,40
724000,7240,1001
1000007,1000596,125
1000008,1000597,125
1000009,1000598,125
1000010,1000599,125
1000011,1000677,125
1000012,1000678,125
1000013,1000754,125
1000016,1000858,125
1000017,1000859,125
1000019,1000861,125
1000020,1000907,125
1000021,1000908,125
1000022,1000993,125
1000027,1001032,125
1000028,1001033,125
1000029,1001034,125
1000030,1001035,125
1006000,10060,103
1115000,11150,1004
1159000,11590,103
1160000,11600,103
1373000,13730,79
1434000,14340,1000
1435000,14350,1000
1793000,17930,1003
3064000,30640,40
