id,rmbattle_help_id,image_path,description,created_at,updated_at
1,2,,"Virtual Dokkan Ultimate Clash is a new battle mode 
available to players {color: #FFFF00}ranking 150 and above{color}.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
2,2,images/en/help/rmb_help_001_2.png,"Neither Continues nor Support Items are allowed in this mode. 
However, {color: #FFFF00}challenging this mode does not consume STA.{color}",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
3,3,,"Characters eligible for use in Virtual Dokkan Ultimate Clash mode 
{color: #FFFF00}must have a rarity of UR or higher. 
Up to 112 characters can be selected{color}.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
4,3,images/en/help/rmb_help_002_2.png,"By tapping the ""Auto"" button, 
112 characters will be automatically selected 
in the order of highest total stats. 

You are {color: #FFFF00}allowed to include multiple characters 
of the same name{color}.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
5,4,images/en/help/rmb_help_003.png,"Defeat the enemies to clear a stage and receive rewards. 

After you clear all the stages 
in the vicinity of the question mark, 
you will gain access to the boss stage. 

Clear the boss stage to clear the level. 

Conquer every level to clear the game mode!",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
6,5,,You can select up to 7 characters to take into battle.,2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
7,5,images/en/help/rmb_help_004.png,"Of these 7 characters, the first selected becomes the leader, 
while the second will become the {color: #FFFF00}sub-leader{color}. 
Both characters {color: #FFFF00}can activate 
their Leader Skills{color} in the battle.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
8,5,images/en/help/rmb_help_005.png,"Identical characters cannot be brought into the same battle. 
However, {color: #FFFF00}characters with the same character name 
but different second names can{color}.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
9,6,,"Unlike regular battles, 
Continues and Support Items are not allowed.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
10,6,images/en/help/rmb_help_006.png,"Characters that have participated in a battle 
cannot be used again as long as you do not get a Game Over. 

Even if you lose, the enemy's HP will be carried over 
into the next battle as long as you do not get a Game Over.

When the indicator for the remaining charges in 
the bottom-right corner of the battle screen reaches 0, 
the battle will end with a ""Failed"" after the turn concludes.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
11,7,,"Once the number of remaining characters reaches 0, 
it's Game Over. 

Even if you win the battle, 
it will still be counted as Game Over 
if you do not have any remaining characters. 

*The final boss battle is the sole exception
—allowing for completion even with 0 characters left.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
12,7,images/en/help/rmb_help_007.png,"Please refer to the bottom of the screen 
or ""Check Progress"" page to check 
the number of remaining characters.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
13,7,images/en/help/rmb_help_008.png,"Use the ""Retire"" button on the main screen of the mode 
to instantly quit the Ultimate Clash.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
14,7,images/en/help/rmb_help_009.png,"If you retire, or lose and get a Game Over, 
rewards for the incomplete stage will be forfeited.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
15,8,,"You can receive ""Mission Rewards"" 
by meeting certain requirements.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
16,8,images/en/help/rmb_help_010.png,"Check details such as mission objectives 
and rewards via the ""Mission"" page on the main screen.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
17,1,,"{size : 24}{color : #FFFF00}{outline : #FF0000, 2}Conquer the new battle mode 
""Ultimate Clash""!{outline}{color}{size}",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
18,1,images/en/help/rmb_help_011.png,"{size : 24}{color : #FFFF00}{outline : #FF0000, 2}What is Virtual Dokkan Ultimate Clash?{outline}{color}{size}
Virtual Dokkan Ultimate Clash is a new battle mode 
open exclusively to {color: #FFFF00}UR or higher{color} characters! 
Up to {color: #FFFF00}112{color} fighters can join the fray!",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
19,1,,"Continues and Support Items are NOT allowed in this mode. 
On the other hand, {color: #FFFF00}no STA will be consumed{color}! 

{size : 24}{color : #FFFF00}{outline : #FF0000, 2}Battles{outline}{color}{size}

Up to 7 characters can join each battle.",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
20,1,images/en/help/rmb_help_012.png,"Though friends can't be selected, you are allowed to 
designate one of your characters as {color: #FFFF00}sub-leader{color}. 
Together with the leader, 
{color: #FFFF00}you can activate a total of 2 Leader Skills{color} in battles!",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
21,1,,"Vanquish the enemy from each stage 
to complete the stages and reap the rewards. 

Clear all the stages surrounding the question mark 
and the boss stage will reveal itself! 

Conquer it to clear the level. 

There are many levels awaiting you. 
Clear them all to beat the game!",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
22,1,images/en/help/rmb_help_003.png,"Expect to go up against only the strongest of the strong! 

Survival can hinge on your choice of characters, 
so choose wisely!",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
23,1,images/en/help/rmb_help_006.png,Unleash powerful Leader Skills and scatter your foes!,2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
24,9,,"You can acquire the Treasure Item ""Battlefield Memory"" 
in various ways, including as a reward for clearing 
each stage for the first time. They will remain after 
the event period ends, allowing you to use them 
in subsequent events! 

If you need a lot of ""Battlefield Memories"" 
to make an exchange, don't use them after 
an Ultimate Clash ends. Instead, try to collect 
the rest that you need in subsequent Ultimate Clashes!",2024-06-18 10:26:17.277819,2024-06-18 10:26:17.277819
