id,budokai_opponent_attack_weight_id,ball_count,rate
1,1,1,100
2,1,2,75
3,1,5,75
4,1,12,15
5,2,1,100
6,2,2,75
7,2,5,75
8,2,12,15
9,3,1,100
10,3,2,75
11,3,5,50
12,3,12,25
13,4,1,100
14,4,2,75
15,4,5,50
16,4,12,25
17,5,1,100
18,5,2,75
19,5,5,50
20,5,12,25
21,6,1,100
22,6,2,75
23,6,5,50
24,6,12,25
25,7,1,50
26,7,3,75
27,7,5,100
28,7,7,100
29,7,9,75
30,7,11,50
31,7,12,0
32,8,1,50
33,8,3,75
34,8,5,100
35,8,7,100
36,8,9,75
37,8,11,50
38,8,12,0
39,9,1,50
40,9,3,75
41,9,5,100
42,9,7,100
43,9,9,75
44,9,11,50
45,9,12,4
46,10,1,50
47,10,3,75
48,10,5,100
49,10,7,100
50,10,9,75
51,10,11,50
52,10,12,7
53,11,1,50
54,11,3,75
55,11,5,100
56,11,7,100
57,11,9,75
58,11,11,50
59,11,12,10
60,12,1,50
61,12,3,75
62,12,5,100
63,12,7,100
64,12,9,75
65,12,11,50
66,12,12,0
67,13,1,50
68,13,3,75
69,13,5,100
70,13,7,100
71,13,9,75
72,13,11,50
73,13,12,4
74,14,1,50
75,14,3,75
76,14,5,100
77,14,7,100
78,14,9,75
79,14,11,50
80,14,12,7
81,15,1,50
82,15,3,75
83,15,5,100
84,15,7,100
85,15,9,75
86,15,11,50
87,15,12,10
88,16,1,50
89,16,3,75
90,16,5,100
91,16,7,100
92,16,9,75
93,16,11,50
94,16,12,0
95,17,1,50
96,17,3,75
97,17,5,100
98,17,7,100
99,17,9,75
100,17,11,50
101,17,12,4
102,18,1,50
103,18,3,75
104,18,5,100
105,18,7,100
106,18,9,75
107,18,11,50
108,18,12,7
109,19,1,50
110,19,3,75
111,19,5,100
112,19,7,100
113,19,9,75
114,19,11,50
115,19,12,10
116,20,1,50
117,20,3,75
118,20,5,100
119,20,7,100
120,20,9,75
121,20,11,50
122,20,12,0
123,21,1,50
124,21,3,75
125,21,5,100
126,21,7,100
127,21,9,75
128,21,11,50
129,21,12,4
130,22,1,50
131,22,3,75
132,22,5,100
133,22,7,100
134,22,9,75
135,22,11,50
136,22,12,7
137,23,1,50
138,23,3,75
139,23,5,100
140,23,7,100
141,23,9,75
142,23,11,50
143,23,12,10
144,24,1,50
145,24,3,75
146,24,5,100
147,24,7,100
148,24,9,75
149,24,11,50
150,24,12,0
151,25,1,50
152,25,3,75
153,25,5,100
154,25,7,100
155,25,9,75
156,25,11,50
157,25,12,4
158,26,1,50
159,26,3,75
160,26,5,100
161,26,7,100
162,26,9,75
163,26,11,50
164,26,12,7
165,27,1,50
166,27,3,75
167,27,5,100
168,27,7,100
169,27,9,75
170,27,11,50
171,27,12,10
172,28,1,50
173,28,3,75
174,28,5,100
175,28,7,100
176,28,9,75
177,28,11,50
178,28,12,0
