id,name,description,created_at,updated_at
1,Barrage,"Deliver the final blow for ATK +25% in the 
next attack",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
2,Hero's Call,ATK +50% for 3 turns,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
3,The Saiyan Among Us,ATK and DEF +100% for 3 turns,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
4,Saiyan's Pride,"Ki +2 and ATK +2000 when HP is 30% or 
below",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
5,Hope,Ki +3 for 3 turns,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
6,Prince's Pride,ATK +40% when HP is 30% or less,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
7,Miracle Growth,Deliver the final blow for ATK +1000,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
8,Beginner's Blow,ATK +900 on the first attack,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
9,Diversion Attack,"Disable enemy's guard as the 1st attacker 
in a turn",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
10,Rapid,AGL & PHY Types Ki +1,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
11,Resolved Choice,"Ki +3 and ATK +2000 when HP is 20% or 
below",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
12,Psychokinesis,Disable enemy's guard,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
13,First Attack,"Enemy's DEF -50% 
as the 1st attacker in a turn",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
14,Hidden Power,With a chance that ATK + 25%,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
15,Captain's Character,Rare chance of ATK & DEF +50%,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
16,Pride Abandoned,ATK +3000 and ignore enemy's DEF,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
17,Kill Them All,ATK +50% when facing 3 or more enemies,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
18,Energy Absorption,"Recover 15% of damage dealt as HP 
when Ki >= 5",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
19,Energy Absorption,"Recover 25% of damage dealt as HP 
when Ki >= 8",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
20,Full Power,ATK +25% when HP is 50% or more,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
21,Full Power,ATK +2000 when Ki is 5 or more,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
22,United We Stand,With a chance to reduce enemy's DEF to 0,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
23,Master's Teachings,All allies' Ki +1 when HP is 50% or more,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
24,Assassin's Pride,Ki +1 at start of turn,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
25,Pinky Swear,PHY Type enemy's ATK -30%,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
26,Eliminate Them!,Ki +2 when facing 2 or more enemies,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
27,Full Power,ATK +2500 when HP is 10% or below,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
28,Paralysis,"Briefly lower all enemies' DEF to 0 upon 
being attacked",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
29,Fastest Thing Alive,Ki +2 when 1st to attack,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
30,Teamwork,"Being the 2nd attacker in a turn for allies’ 
ATK +1000",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
31,Buying Time,"Recover 10% HP when HP is 50% or 
below",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
32,Unexpected Attack,With a chance that all enemies' DEF - 50 %,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
33,Perspiration,ATK +1500 when Ki is 5 or more,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
34,Perfect Guard,"Damage received -30% 
when guard is activated",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
35,Super Power,Rare chance of increasing ATK by 50 %,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
36,Dormant Saiyan Power,ATK +1500 when HP is 30 % or below,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
37,Earthling's Pride,DEF +2000 when facing only 1 enemy,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
38,Playing Dead,With a chance to recover HP by 10 %,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
39,Restraint,Rare chance of stunning all enemies,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
40,Supernatural Power,"Rare chance of reducing all enemies' 
ATK by 15%",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
41,Somber Premonition,With a chance that all enemies' DEF - 50%,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
42,Latent Power,ATK +1500 when Ki is 10 or more,2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
43,Teamwork,"ATK +1000 for all allies when 3 attacks in 
a row",2024-06-26 10:48:08.062961,2024-06-26 10:48:08.062961
