id,type,chain_battle_mission_id
1,ChainBattleMissionPeriod::DailyMissionPeriod,1
2,ChainBattleMissionPeriod::DailyMissionPeriod,2
3,ChainBattleMissionPeriod::DailyMissionPeriod,3
4,ChainBattleMissionPeriod::DailyMissionPeriod,4
5,ChainBattleMissionPeriod::DailyMissionPeriod,5
6,ChainBattleMissionPeriod::DailyMissionPeriod,6
7,ChainBattleMissionPeriod::DailyMissionPeriod,23
8,ChainBattleMissionPeriod::DailyMissionPeriod,24
9,ChainBattleMissionPeriod::DailyMissionPeriod,25
10,ChainBattleMissionPeriod::DailyMissionPeriod,26
11,ChainBattleMissionPeriod::DailyMissionPeriod,27
12,ChainBattleMissionPeriod::DailyMissionPeriod,28
13,ChainBattleMissionPeriod::DailyMissionPeriod,45
14,ChainBattleMissionPeriod::DailyMissionPeriod,46
15,ChainBattleMissionPeriod::DailyMissionPeriod,47
16,ChainBattleMissionPeriod::DailyMissionPeriod,48
17,ChainBattleMissionPeriod::DailyMissionPeriod,49
18,ChainBattleMissionPeriod::DailyMissionPeriod,50
19,ChainBattleMissionPeriod::DailyMissionPeriod,67
20,ChainBattleMissionPeriod::DailyMissionPeriod,68
21,ChainBattleMissionPeriod::DailyMissionPeriod,69
22,ChainBattleMissionPeriod::DailyMissionPeriod,70
23,ChainBattleMissionPeriod::DailyMissionPeriod,71
24,ChainBattleMissionPeriod::DailyMissionPeriod,72
25,ChainBattleMissionPeriod::DailyMissionPeriod,89
26,ChainBattleMissionPeriod::DailyMissionPeriod,90
27,ChainBattleMissionPeriod::DailyMissionPeriod,91
28,ChainBattleMissionPeriod::DailyMissionPeriod,92
29,ChainBattleMissionPeriod::DailyMissionPeriod,93
30,ChainBattleMissionPeriod::DailyMissionPeriod,94
31,ChainBattleMissionPeriod::DailyMissionPeriod,111
32,ChainBattleMissionPeriod::DailyMissionPeriod,112
33,ChainBattleMissionPeriod::DailyMissionPeriod,113
34,ChainBattleMissionPeriod::DailyMissionPeriod,114
35,ChainBattleMissionPeriod::DailyMissionPeriod,115
36,ChainBattleMissionPeriod::DailyMissionPeriod,116
37,ChainBattleMissionPeriod::DailyMissionPeriod,133
38,ChainBattleMissionPeriod::DailyMissionPeriod,134
39,ChainBattleMissionPeriod::DailyMissionPeriod,135
40,ChainBattleMissionPeriod::DailyMissionPeriod,136
41,ChainBattleMissionPeriod::DailyMissionPeriod,137
42,ChainBattleMissionPeriod::DailyMissionPeriod,138
43,ChainBattleMissionPeriod::DailyMissionPeriod,155
44,ChainBattleMissionPeriod::DailyMissionPeriod,156
45,ChainBattleMissionPeriod::DailyMissionPeriod,157
46,ChainBattleMissionPeriod::DailyMissionPeriod,158
47,ChainBattleMissionPeriod::DailyMissionPeriod,159
48,ChainBattleMissionPeriod::DailyMissionPeriod,160
49,ChainBattleMissionPeriod::DailyMissionPeriod,177
50,ChainBattleMissionPeriod::DailyMissionPeriod,178
51,ChainBattleMissionPeriod::DailyMissionPeriod,179
52,ChainBattleMissionPeriod::DailyMissionPeriod,180
53,ChainBattleMissionPeriod::DailyMissionPeriod,197
54,ChainBattleMissionPeriod::DailyMissionPeriod,198
55,ChainBattleMissionPeriod::DailyMissionPeriod,199
56,ChainBattleMissionPeriod::DailyMissionPeriod,200
57,ChainBattleMissionPeriod::DailyMissionPeriod,217
58,ChainBattleMissionPeriod::DailyMissionPeriod,218
59,ChainBattleMissionPeriod::DailyMissionPeriod,219
60,ChainBattleMissionPeriod::DailyMissionPeriod,220
61,ChainBattleMissionPeriod::DailyMissionPeriod,237
62,ChainBattleMissionPeriod::DailyMissionPeriod,238
63,ChainBattleMissionPeriod::DailyMissionPeriod,239
64,ChainBattleMissionPeriod::DailyMissionPeriod,240
65,ChainBattleMissionPeriod::DailyMissionPeriod,257
66,ChainBattleMissionPeriod::DailyMissionPeriod,258
67,ChainBattleMissionPeriod::DailyMissionPeriod,259
68,ChainBattleMissionPeriod::DailyMissionPeriod,260
69,ChainBattleMissionPeriod::DailyMissionPeriod,277
70,ChainBattleMissionPeriod::DailyMissionPeriod,278
71,ChainBattleMissionPeriod::DailyMissionPeriod,279
72,ChainBattleMissionPeriod::DailyMissionPeriod,280
73,ChainBattleMissionPeriod::DailyMissionPeriod,297
74,ChainBattleMissionPeriod::DailyMissionPeriod,298
75,ChainBattleMissionPeriod::DailyMissionPeriod,299
76,ChainBattleMissionPeriod::DailyMissionPeriod,300
77,ChainBattleMissionPeriod::DailyMissionPeriod,317
78,ChainBattleMissionPeriod::DailyMissionPeriod,318
79,ChainBattleMissionPeriod::DailyMissionPeriod,319
80,ChainBattleMissionPeriod::DailyMissionPeriod,320
81,ChainBattleMissionPeriod::DailyMissionPeriod,337
82,ChainBattleMissionPeriod::DailyMissionPeriod,338
83,ChainBattleMissionPeriod::DailyMissionPeriod,339
84,ChainBattleMissionPeriod::DailyMissionPeriod,340
