id,z_battle_normal_reward_table_id,item_id,item_type,quantity,card_exp_init
1,1,100001,AwakeningItem,1,0
2,2,100001,AwakeningItem,2,0
3,3,100002,AwakeningItem,2,0
4,4,100002,AwakeningItem,4,0
5,5,100003,AwakeningItem,4,0
6,6,100004,AwakeningItem,4,0
8,8,100011,AwakeningItem,1,0
9,9,100011,AwakeningItem,2,0
10,10,100012,AwakeningItem,2,0
11,11,100012,AwakeningItem,4,0
12,12,100013,AwakeningItem,4,0
13,13,100014,AwakeningItem,4,0
14,14,100021,AwakeningItem,1,0
15,15,100021,AwakeningItem,2,0
16,16,100022,AwakeningItem,2,0
17,17,100022,AwakeningItem,4,0
18,18,100023,AwakeningItem,4,0
19,19,100024,AwakeningItem,4,0
20,20,100031,AwakeningItem,1,0
21,21,100031,AwakeningItem,2,0
22,22,100032,AwakeningItem,2,0
23,23,100032,AwakeningItem,4,0
24,24,100033,AwakeningItem,4,0
25,25,100034,AwakeningItem,4,0
44,32,100041,AwakeningItem,1,0
47,33,100041,AwakeningItem,2,0
50,34,100042,AwakeningItem,2,0
53,35,100042,AwakeningItem,4,0
56,36,100043,AwakeningItem,4,0
59,37,100044,AwakeningItem,4,0
62,38,100071,AwakeningItem,1,0
63,39,100071,AwakeningItem,2,0
64,40,100072,AwakeningItem,2,0
65,41,100072,AwakeningItem,4,0
66,42,100073,AwakeningItem,4,0
67,43,100074,AwakeningItem,4,0
68,44,100051,AwakeningItem,1,0
69,45,100061,AwakeningItem,1,0
70,46,100051,AwakeningItem,2,0
71,47,100061,AwakeningItem,2,0
72,48,100052,AwakeningItem,2,0
73,49,100062,AwakeningItem,2,0
74,50,100052,AwakeningItem,4,0
75,51,100062,AwakeningItem,4,0
76,52,100053,AwakeningItem,4,0
77,53,100063,AwakeningItem,4,0
78,54,100054,AwakeningItem,4,0
79,55,100064,AwakeningItem,4,0
80,56,100081,AwakeningItem,1,0
81,57,100081,AwakeningItem,2,0
82,58,100082,AwakeningItem,2,0
83,59,100082,AwakeningItem,4,0
84,60,100083,AwakeningItem,4,0
85,61,100084,AwakeningItem,4,0
86,62,100091,AwakeningItem,1,0
87,63,100091,AwakeningItem,2,0
88,64,100092,AwakeningItem,2,0
89,65,100092,AwakeningItem,4,0
90,66,100093,AwakeningItem,4,0
91,67,100094,AwakeningItem,4,0
92,68,400,TrainingItem,1,0
93,69,401,TrainingItem,1,0
94,70,402,TrainingItem,1,0
95,71,403,TrainingItem,1,0
96,72,404,TrainingItem,1,0
97,73,100101,AwakeningItem,1,0
98,74,100101,AwakeningItem,2,0
99,75,100102,AwakeningItem,2,0
100,76,100102,AwakeningItem,4,0
101,77,100103,AwakeningItem,4,0
102,78,100104,AwakeningItem,4,0
103,79,100111,AwakeningItem,1,0
104,80,100111,AwakeningItem,2,0
105,81,100112,AwakeningItem,2,0
106,82,100112,AwakeningItem,4,0
107,83,100113,AwakeningItem,4,0
108,84,100114,AwakeningItem,4,0
109,85,100121,AwakeningItem,1,0
110,86,100121,AwakeningItem,2,0
111,87,100122,AwakeningItem,2,0
112,88,100122,AwakeningItem,4,0
113,89,100123,AwakeningItem,4,0
114,90,100124,AwakeningItem,4,0
115,91,100131,AwakeningItem,1,0
116,92,100131,AwakeningItem,2,0
117,93,100132,AwakeningItem,2,0
118,94,100132,AwakeningItem,4,0
119,95,100133,AwakeningItem,4,0
120,96,100134,AwakeningItem,4,0
121,97,100141,AwakeningItem,1,0
122,98,100151,AwakeningItem,1,0
123,99,100161,AwakeningItem,1,0
124,100,100141,AwakeningItem,2,0
125,101,100151,AwakeningItem,2,0
126,102,100161,AwakeningItem,2,0
127,103,100142,AwakeningItem,2,0
128,104,100152,AwakeningItem,2,0
129,105,100162,AwakeningItem,2,0
130,106,100142,AwakeningItem,4,0
131,107,100152,AwakeningItem,4,0
132,108,100162,AwakeningItem,4,0
133,109,100143,AwakeningItem,4,0
134,110,100153,AwakeningItem,4,0
135,111,100163,AwakeningItem,4,0
136,112,100144,AwakeningItem,4,0
137,113,100154,AwakeningItem,4,0
138,114,100164,AwakeningItem,4,0
139,115,100171,AwakeningItem,1,0
140,116,100171,AwakeningItem,2,0
141,117,100172,AwakeningItem,2,0
142,118,100172,AwakeningItem,4,0
143,119,100173,AwakeningItem,4,0
144,120,100174,AwakeningItem,4,0
145,121,100181,AwakeningItem,1,0
146,122,100181,AwakeningItem,2,0
147,123,100182,AwakeningItem,2,0
148,124,100182,AwakeningItem,4,0
149,125,100183,AwakeningItem,4,0
150,126,100184,AwakeningItem,4,0
151,127,100191,AwakeningItem,1,0
152,128,100191,AwakeningItem,2,0
153,129,100192,AwakeningItem,2,0
154,130,100192,AwakeningItem,4,0
155,131,100193,AwakeningItem,4,0
156,132,100194,AwakeningItem,4,0
157,133,500,TrainingItem,1,0
158,134,501,TrainingItem,1,0
159,135,502,TrainingItem,1,0
160,136,503,TrainingItem,1,0
161,137,504,TrainingItem,1,0
162,138,100221,AwakeningItem,1,0
163,139,100231,AwakeningItem,1,0
164,140,100221,AwakeningItem,2,0
165,141,100231,AwakeningItem,2,0
166,142,100222,AwakeningItem,2,0
167,143,100232,AwakeningItem,2,0
168,144,100222,AwakeningItem,4,0
169,145,100232,AwakeningItem,4,0
170,146,100223,AwakeningItem,4,0
171,147,100233,AwakeningItem,4,0
172,148,100224,AwakeningItem,4,0
173,149,100234,AwakeningItem,4,0
174,150,100241,AwakeningItem,1,0
175,151,100241,AwakeningItem,2,0
176,152,100242,AwakeningItem,2,0
177,153,100242,AwakeningItem,4,0
178,154,100243,AwakeningItem,4,0
179,155,100244,AwakeningItem,4,0
180,156,100251,AwakeningItem,1,0
181,157,100251,AwakeningItem,2,0
182,158,100252,AwakeningItem,2,0
183,159,100252,AwakeningItem,4,0
184,160,100253,AwakeningItem,4,0
185,161,100254,AwakeningItem,4,0
186,162,100261,AwakeningItem,1,0
187,163,100261,AwakeningItem,2,0
188,164,100262,AwakeningItem,2,0
189,165,100262,AwakeningItem,4,0
190,166,100263,AwakeningItem,4,0
191,167,100264,AwakeningItem,4,0
192,168,100271,AwakeningItem,1,0
193,169,100271,AwakeningItem,2,0
194,170,100272,AwakeningItem,2,0
195,171,100272,AwakeningItem,4,0
196,172,100273,AwakeningItem,4,0
197,173,100274,AwakeningItem,4,0
198,174,100281,AwakeningItem,1,0
199,175,100281,AwakeningItem,2,0
200,176,100282,AwakeningItem,2,0
201,177,100282,AwakeningItem,4,0
202,178,100283,AwakeningItem,4,0
203,179,100284,AwakeningItem,4,0
204,180,100291,AwakeningItem,1,0
205,181,100291,AwakeningItem,2,0
206,182,100292,AwakeningItem,2,0
207,183,100292,AwakeningItem,4,0
208,184,100293,AwakeningItem,4,0
209,185,100294,AwakeningItem,4,0
210,186,100301,AwakeningItem,1,0
211,187,100311,AwakeningItem,1,0
212,188,100321,AwakeningItem,1,0
213,189,100331,AwakeningItem,1,0
214,190,100341,AwakeningItem,1,0
215,191,100351,AwakeningItem,1,0
216,192,100361,AwakeningItem,1,0
217,193,100301,AwakeningItem,2,0
218,194,100311,AwakeningItem,2,0
219,195,100321,AwakeningItem,2,0
220,196,100331,AwakeningItem,2,0
221,197,100341,AwakeningItem,2,0
222,198,100351,AwakeningItem,2,0
223,199,100361,AwakeningItem,2,0
224,200,100302,AwakeningItem,2,0
225,201,100312,AwakeningItem,2,0
226,202,100322,AwakeningItem,2,0
227,203,100332,AwakeningItem,2,0
228,204,100342,AwakeningItem,2,0
229,205,100352,AwakeningItem,2,0
230,206,100362,AwakeningItem,2,0
231,207,100302,AwakeningItem,4,0
232,208,100312,AwakeningItem,4,0
233,209,100322,AwakeningItem,4,0
234,210,100332,AwakeningItem,4,0
235,211,100342,AwakeningItem,4,0
236,212,100352,AwakeningItem,4,0
237,213,100362,AwakeningItem,4,0
238,214,100303,AwakeningItem,4,0
239,215,100313,AwakeningItem,4,0
240,216,100323,AwakeningItem,4,0
241,217,100333,AwakeningItem,4,0
242,218,100343,AwakeningItem,4,0
243,219,100353,AwakeningItem,4,0
244,220,100363,AwakeningItem,4,0
245,221,100304,AwakeningItem,4,0
246,222,100314,AwakeningItem,4,0
247,223,100324,AwakeningItem,4,0
248,224,100334,AwakeningItem,4,0
249,225,100344,AwakeningItem,4,0
250,226,100354,AwakeningItem,4,0
251,227,100364,AwakeningItem,4,0
252,228,100371,AwakeningItem,1,0
253,229,100371,AwakeningItem,2,0
254,230,100372,AwakeningItem,2,0
255,231,100372,AwakeningItem,4,0
256,232,100373,AwakeningItem,4,0
257,233,100374,AwakeningItem,4,0
258,234,100381,AwakeningItem,1,0
