id,escalation_type,level,card_id
1,5,1,1004220
2,5,15,1003210
3,12,1,2000641
4,12,15,9000041
5,19,1,9401361
6,19,6,9400511
7,19,11,1000361
8,19,16,9401531
9,19,21,9410221
10,26,1,1003321
11,26,15,1004251
18,40,1,1004361
19,40,6,1008941
20,40,11,1004351
21,40,16,1008931
22,40,21,1004341
23,40,26,1008921
24,47,1,1003301
25,47,15,1004651
26,54,1,1006681
27,54,15,1006701
28,61,1,9014531
29,61,21,9014511
30,68,1,1014671
31,68,15,1014681
37,82,1,1012711
38,82,11,1013481
39,82,21,1013941
40,82,31,9014701
41,82,41,9013961
42,89,1,1003771
43,89,15,1003311
44,96,1,1005631
45,96,15,1005301
46,103,1,1003071
47,103,15,1005731
48,110,1,1002801
49,110,15,1005051
50,117,1,9016061
51,117,15,9016131
52,124,1,1005271
53,124,15,1005281
54,131,1,1010351
55,131,15,1010361
56,138,1,1011331
57,138,15,1011341
58,145,1,1006411
59,145,11,1008711
60,145,21,1011311
61,145,31,1011321
62,145,41,9016471
63,152,1,1009761
64,152,6,1009541
65,152,11,9009701
66,152,16,9009711
67,152,21,9016701
68,159,1,1009711
69,159,21,9009711
70,166,1,1007931
71,166,15,1006211
72,173,1,1008731
73,173,15,1007391
74,180,1,1008841
75,180,15,1008851
76,187,1,1017151
77,187,15,9017161
78,194,1,1008101
79,194,15,1008091
80,201,1,1007451
81,201,15,1007461
82,208,1,1010801
83,208,3,1010791
84,208,6,1009931
85,208,11,9009901
86,208,16,9009911
87,208,21,1009921
88,208,26,1009891
89,215,1,9008811
90,215,15,9008821
91,222,1,1003761
92,222,11,1003301
93,222,21,1001691
94,222,31,1004651
95,222,41,9018081
96,229,1,9007921
97,229,15,9008631
98,236,1,1006411
99,236,15,1008711
102,250,1,1008411
103,250,15,1006791
104,257,1,1009601
105,257,15,1009791
106,264,1,9013171
107,264,6,9013181
108,264,11,9015891
109,264,16,9015901
110,264,21,9019181
111,271,1,9015901
112,271,21,9015901
113,278,1,1009321
114,278,15,1009331
115,285,1,1009751
116,285,15,9009591
117,292,1,1009571
118,292,15,1009581
119,299,1,1009341
120,299,15,1009351
121,306,1,1011751
122,306,6,1011761
123,306,11,9013411
124,306,16,1013421
125,306,21,9020581
126,313,1,1013421
127,313,21,1013421
128,320,1,1011161
129,320,15,1011171
130,327,1,9011591
131,327,6,9112611
132,327,11,9113881
133,327,16,9113911
134,327,21,9020721
135,334,1,9113911
136,334,21,9113911
137,341,1,1005991
138,341,15,1007181
139,348,1,9109651
140,348,15,9109641
141,355,1,1010281
142,355,15,1010291
143,362,1,1010841
144,362,15,1010851
145,369,1,1010861
146,369,15,1010871
147,376,1,9013191
148,376,6,9013201
149,376,11,9016461
150,376,16,9016491
151,376,21,9021831
152,383,1,9016491
153,383,21,9016491
154,390,1,9212371
155,390,15,9013541
171,425,1,1014951
172,425,4,1014961
173,425,7,1014971
177,439,1,9004481
178,439,6,9008071
179,439,11,9107781
180,439,16,9102621
181,439,21,9022231
182,446,1,9005671
183,446,21,9005671
186,439,26,9022241
187,460,1,9008071
188,460,26,9008071
192,474,1,9011051
193,474,15,9011061
194,481,1,1010421
195,481,4,1010431
196,481,7,9110441
197,488,1,1012411
198,488,15,1012421
199,495,1,9009421
200,495,6,9009821
201,495,11,9009431
202,495,16,9009831
203,495,21,9022561
204,502,1,9009831
205,502,21,9009831
206,509,1,1009081
207,509,15,1009091
208,516,1,1010051
209,516,4,1010061
210,516,7,9010071
211,523,1,9010241
212,523,15,9110261
226,558,1,9010331
227,558,7,9014141
228,558,13,9014151
229,558,19,9014161
230,558,25,9014171
237,579,1,1010151
238,579,4,9009661
239,579,7,9010161
240,586,1,9014811
241,586,15,9014821
242,593,1,9015151
243,593,15,9014761
247,607,1,1014001
248,607,4,1014011
249,607,7,9014021
250,614,1,1002821
251,614,6,1010811
252,614,11,1005141
253,614,16,1010781
254,614,21,1002831
255,614,26,1007681
256,621,1,9015661
257,621,15,9015671
261,635,1,1014731
262,635,8,1014741
263,635,16,1014651
264,635,23,1014661
279,656,1,9016761
280,656,3,9016731
281,656,6,9016781
282,656,11,9016751
283,656,16,9016741
284,656,21,9016771
285,656,26,9007741
286,663,1,1011701
287,663,4,9011711
288,663,7,9011721
289,670,1,1013851
290,670,15,1013861
291,677,1,9009251
292,677,8,9009261
293,677,16,9011851
294,677,23,9009241
295,684,1,9023681
296,684,7,9023711
297,684,13,1023651
298,684,19,9023671
299,684,25,1023661
300,691,1,1011621
301,691,4,9111631
302,691,7,9011641
303,698,1,1016041
304,698,6,1016021
305,698,11,9016051
306,698,16,9016031
307,698,21,9024421
308,705,1,1016051
309,705,21,9016051
310,712,1,9011311
311,712,8,9011321
312,712,16,9011291
313,712,23,9011301
314,719,1,1012911
315,719,4,1012921
316,719,7,1012931
317,719,10,4012931
321,733,1,1012881
322,733,4,1012891
323,733,7,1012901
324,733,10,4012901
325,740,1,9014211
326,740,4,9014221
327,740,7,9024611
328,747,1,9014221
329,747,7,9014221
330,754,1,9013821
331,754,15,9013831
332,754,25,9013841
333,761,1,1008361
334,761,3,1010101
335,761,5,1000431
336,761,7,1003161
337,761,9,1015181
338,761,11,1012071
339,761,13,1006081
340,761,15,1010951
341,761,17,1009801
342,761,19,4002821
343,761,21,9006911
344,761,23,1004191
345,761,25,1011231
346,761,27,1005601
347,761,29,1011221
348,761,31,1004661
349,761,33,1005591
350,761,35,2000211
351,761,37,1020041
352,761,39,1020261
353,761,41,3000411
354,761,43,1002301
355,761,45,1019681
356,761,47,1000771
357,761,49,1009061
358,761,51,9022341
359,761,53,1004671
360,761,55,1002381
361,761,57,1018171
362,761,59,1002371
363,761,61,1002361
364,761,63,1019921
365,761,65,1000451
366,761,67,1006071
367,761,69,1006061
368,761,71,1006051
369,761,73,1003151
370,761,75,1006141
371,761,77,1002341
372,761,79,1012561
373,761,81,1006151
374,761,83,1001381
375,761,85,1011261
376,761,87,1000471
377,761,89,1000561
378,761,91,1000481
379,761,93,1017771
380,761,95,1016651
381,761,97,1000491
382,761,99,4017791
383,761,101,1016571
384,761,103,1003441
385,761,105,1004951
386,761,107,1003451
387,761,109,1022261
388,761,111,1012121
389,761,113,1013141
390,761,115,2000071
391,761,117,1019931
392,761,119,1013311
393,761,121,1013351
394,761,123,1000461
395,761,125,1002281
396,761,127,4005171
397,761,129,1013111
398,761,131,1023931
399,761,133,1020061
400,761,135,1022791
401,761,137,9022911
402,761,139,9022901
403,761,141,1009141
404,761,143,1020251
405,761,145,1009811
406,761,147,1007601
407,761,149,1007591
408,761,151,1007581
409,761,153,1000781
410,761,155,1019511
411,761,157,1012131
412,761,159,1019381
413,761,161,1001151
414,761,163,1009231
415,761,165,1022781
416,761,167,1023621
417,761,169,1023521
418,761,171,4023521
419,761,173,1003881
420,761,175,1022921
421,761,177,1001361
422,761,179,1010221
423,761,181,1000511
424,761,183,1000181
425,761,185,1001531
426,761,187,1022941
427,761,189,1013061
428,761,191,1013001
429,761,193,1013041
430,761,195,1013021
431,761,197,1013081
432,761,199,1001611
433,761,201,1017471
434,761,203,2000121
435,761,205,2000051
436,761,207,9013291
437,761,209,1019161
438,761,211,1019211
439,761,213,1019081
440,761,215,1019191
441,761,217,9014021
442,761,219,1023021
443,761,221,1001621
444,761,223,1022871
445,761,225,1014681
446,761,227,1009361
447,761,229,1017151
448,761,231,1022471
449,761,233,1014381
450,761,235,1014371
451,761,237,1017171
452,761,239,1022611
453,761,241,1022751
454,761,243,9022511
455,761,245,9022521
456,761,247,9022531
457,761,249,9022541
458,761,251,1022051
459,761,253,1022061
460,761,255,1022311
461,761,257,1022221
462,761,259,1016981
463,761,261,1005691
464,761,263,1023111
465,761,265,4023121
466,761,267,1011401
467,761,269,1011411
468,761,271,1017721
469,761,273,1000391
470,761,275,1000971
471,761,277,1003521
472,761,279,1023061
473,761,281,1015031
474,761,283,1000411
475,761,285,1000401
476,761,287,1017341
477,761,289,4017501
478,761,291,4018041
479,761,293,1022691
480,761,295,1015141
481,761,297,9022641
482,761,299,4017671
483,761,301,1014921
484,761,303,1010711
485,761,305,4017751
486,761,307,1022281
487,761,309,1017861
488,761,311,1017881
489,761,313,1017621
490,761,315,1017581
491,761,317,1017571
492,761,319,4017641
493,761,321,1003991
494,761,323,4017911
495,761,325,9010071
496,761,327,1018111
497,761,329,1023421
498,761,331,1023351
499,761,333,1014051
500,761,335,1008831
501,761,337,1018141
502,761,339,1018151
503,761,341,1010701
504,761,343,1020591
505,761,345,1020601
506,761,347,1010641
507,761,349,1010651
508,761,351,1010661
509,761,353,1011041
510,761,355,1023891
511,761,357,1009491
512,761,359,1021801
513,761,361,4018731
514,761,363,1003251
515,761,365,1003261
516,761,367,1015591
517,761,369,1002001
518,761,371,1001761
519,761,373,1002581
520,761,375,1002571
521,761,377,1004461
522,761,379,1000741
523,761,381,1003481
524,761,383,1001991
525,761,385,1018691
526,761,387,1003461
527,761,389,1014271
528,761,391,1018701
529,761,393,1002071
530,761,395,1002461
531,761,397,1000631
532,761,399,1010271
533,761,401,1000751
534,761,403,1000761
535,761,405,1011621
536,761,407,1004481
537,761,409,1010881
538,761,411,1010981
539,761,413,1018571
540,761,415,4018781
541,761,417,1017411
542,761,419,1018581
543,761,421,1001941
544,761,423,9010161
545,761,425,1021011
546,761,427,4018761
547,761,429,1010931
548,761,431,1011641
549,761,433,1004801
550,761,435,1004811
551,761,437,1019621
552,761,439,1010901
553,761,441,4019601
554,761,443,4019611
555,761,445,4019641
556,761,447,4019651
557,761,449,4020101
558,761,451,1020371
559,761,453,1020281
560,761,455,1020611
561,761,457,1020531
562,761,459,4020381
563,761,461,1020451
564,761,463,1002391
565,761,465,4020471
566,761,467,1012291
567,761,469,1010591
568,761,471,1001971
569,761,473,1015201
570,761,475,1020111
571,761,477,9008171
572,761,479,9008161
573,761,481,1004471
574,761,483,1003471
575,761,485,1023461
576,761,487,4023471
577,761,489,1020221
578,761,491,1020771
579,761,493,4020781
580,761,495,1023491
581,761,497,59012361
582,761,499,1013361
583,761,501,1002041
584,761,503,9020701
585,761,505,1020811
586,761,507,1003141
587,761,509,1005251
588,761,511,1008381
589,761,513,1002981
590,761,515,1022661
591,761,517,1016371
592,761,519,1016291
593,761,521,1003091
594,761,523,1009951
595,761,525,1015911
596,761,527,1005891
597,761,529,1005881
598,761,531,1005911
599,761,533,1003101
600,761,535,1010771
601,761,537,1005851
602,761,539,1005861
603,761,541,9016421
604,761,543,1005971
605,761,545,1005981
606,761,547,1006921
607,761,549,1006931
608,761,551,9005951
609,761,553,1003111
610,761,555,9005961
611,761,557,1005921
612,761,559,1011031
613,761,561,1022001
614,761,563,1003011
615,761,565,1006291
616,761,567,1007771
617,761,569,1022031
618,761,571,1006281
619,761,573,1006311
620,761,575,1006251
621,761,577,1003131
622,761,579,1006271
623,761,581,1006301
624,761,583,1012091
625,761,585,1003001
626,761,587,1021931
627,761,589,1006011
628,761,591,1003041
629,761,593,1016391
630,761,595,1006031
631,761,597,9010081
632,761,599,1016311
633,761,601,4016321
634,761,603,1011741
635,761,605,4008291
636,761,607,1009421
637,761,609,4016401
638,761,611,1009431
639,761,613,9016411
640,761,615,1010541
641,761,617,1014331
642,761,619,1014351
643,761,621,1010551
644,761,623,1022021
645,761,625,1022041
646,761,627,1005811
647,761,629,1022091
648,761,631,1014491
649,761,633,1006341
650,761,635,1006371
651,761,637,1017691
652,761,639,1006381
653,761,641,1006401
654,761,643,9016601
655,761,645,1006361
656,761,647,1006351
657,761,649,1008721
658,761,651,1014131
659,761,653,1006411
660,761,655,1021391
661,761,657,4021391
662,761,659,1022401
663,761,661,9022431
664,761,663,1020971
665,761,665,1008711
666,761,667,1016581
667,761,669,1010351
668,761,671,9010381
669,761,673,9010391
670,761,675,9010371
671,761,677,9010401
672,761,679,1010361
673,761,681,9010341
674,761,683,1011331
675,761,685,1011341
676,761,687,1023861
677,761,689,1003841
678,761,691,9003861
679,761,693,9003851
680,761,695,1002671
681,761,697,1012671
682,761,699,1012651
683,761,701,1018231
684,761,703,1018241
685,761,705,1018251
686,761,707,1013761
687,761,709,1004101
688,761,711,4023961
689,761,713,1002161
690,761,715,1021071
691,761,717,1004871
692,761,719,1002181
693,761,721,1004831
694,761,723,1002601
695,761,725,1002611
696,761,727,1002191
697,761,729,1002201
698,761,731,1002591
699,761,733,1002171
700,761,735,1002131
701,761,737,1008611
702,761,739,1008731
703,761,741,1021081
704,761,743,1002141
705,761,745,1003601
706,761,747,1016931
707,761,749,1017031
708,761,751,1007021
709,761,753,1007031
710,761,755,1007041
711,761,757,1007051
712,761,759,1015651
713,761,761,1011901
714,761,763,1007081
715,761,765,1007061
716,761,767,1007071
717,761,769,1009741
718,761,771,1007101
719,761,773,9008631
720,761,775,9015391
721,761,777,9015381
722,761,779,9015411
723,761,781,9016171
724,761,783,9016181
725,761,785,1016211
726,761,787,1016191
727,761,789,1016201
728,761,791,1008861
729,761,793,1017061
730,761,795,1014261
731,761,797,1008871
732,761,799,1017021
733,761,801,9018851
734,761,803,1019071
735,761,805,1015611
736,761,807,1015461
737,761,809,4015481
738,761,811,1012991
739,761,813,1011141
740,761,815,1012961
741,761,817,1009591
742,761,819,1009531
743,761,821,1019281
744,761,823,4017131
745,761,825,1009701
746,761,827,1009711
747,761,829,4017141
748,761,831,1018631
749,761,833,4017981
750,761,835,4017101
751,761,837,1010501
752,761,839,1011941
753,761,841,1011921
754,761,843,9011931
755,761,845,1011971
756,761,847,1014101
757,761,849,9021231
758,761,851,9021241
759,761,853,9021251
760,761,855,9021161
761,761,857,9021151
762,761,859,9021191
763,761,861,9021261
764,761,863,9021221
765,761,865,9021181
766,761,867,9021211
767,761,869,9021201
768,761,871,9021171
769,761,873,1012171
770,761,875,9011561
771,761,877,9011571
772,761,879,1018801
773,761,881,1015811
774,761,883,1021641
775,761,885,1017001
776,761,887,1020391
777,761,889,1013651
778,761,891,1013421
779,761,893,9021731
780,761,895,1021541
781,761,897,1020171
782,761,899,1020401
783,761,901,1020181
784,761,903,1020191
785,761,905,1014201
786,761,907,1015421
787,761,909,1023091
788,761,911,1022711
789,761,913,9021591
790,761,915,9013491
791,761,917,1021601
792,761,919,9021621
793,761,921,1015791
794,761,923,1012711
795,761,925,1018541
796,761,927,1012181
797,761,929,1015671
798,761,931,4013521
799,761,933,1013531
800,761,935,1022831
801,761,937,9016841
802,761,939,1019801
803,761,941,1019731
804,761,943,4019751
805,761,945,4022841
806,761,947,1019821
807,761,949,4013951
808,761,951,1013901
809,761,953,1016921
810,761,955,1021341
811,761,957,9021351
812,761,959,9013991
813,761,961,9021481
814,761,963,1013481
815,761,965,1019971
816,761,967,9119991
817,761,969,1012611
818,761,971,1013911
819,761,973,1021361
820,761,975,1021371
821,761,977,1013811
822,761,979,1011591
823,761,981,1013881
824,761,983,9020341
825,761,985,1013941
826,761,987,1013541
827,761,989,9020311
828,761,991,1019911
829,761,993,1021431
