id,passive_skill_set_id,passive_skill_id,created_at,updated_at
10000,1,1,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
20000,2,2,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
30000,3,3,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
40000,4,4,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
40001,4,1000004,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
50000,5,5,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
60000,6,6,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
70000,7,7,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
80000,8,8,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
90000,9,9,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
100000,10,10,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
100001,10,1000010,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
110000,11,11,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
110001,11,1000011,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
120000,12,12,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
130000,13,13,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
140000,14,14,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
150000,15,15,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
160000,16,16,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
160001,16,1000016,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
170000,17,17,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
180000,18,18,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
190000,19,19,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
200000,20,20,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
210000,21,21,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
220000,22,22,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
230000,23,23,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
240000,24,24,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
250000,25,25,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
260000,26,26,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
270000,27,27,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
280000,28,28,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
290000,29,29,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
300000,30,30,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
310000,31,31,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
320000,32,32,2024-06-26 10:48:06.226842,2024-06-26 10:48:06.226842
