id,name,description,rarity,selling_exchange_point,image_suffix_number,will_expire,created_at,updated_at
1,Incredible Gem (Green),"A Treasure you can acquire in Quests and 
through other means. Can be exchanged 
for all kinds of items at Baba's Shop.",0,1,1,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2,Metal Fruits,"This Treasure can be acquired in the 
""Dragon Ball GT: Ultimate DB Saga"" event.",2,1,5,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
3,Hercule Badge,"A Treasure obtained in the 
""Dragon Ball GT: Baby Saga"" event.",2,1,10,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
4,Xmas Coin(s),The special Treasure available during a limited period.,2,1,6,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
5,2nd Anniversary Coin,"Coins collectable during the 
2nd Anniversary Celebration.",2,1,7,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
6,Rad Radish,"A Treasure that appears in 
""Goku and Friends Are Back!!""",0,1,11,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
7,Rad Radish (XL),"A rare Treasure that appears in 
""Goku and Friends Are Back!!""",2,1,12,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
8,Kachi Katchin,"A Treasure obtained in the 
""Dragon Ball Super: Universe Survival Saga"" event.",2,1,13,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
9,Victory's Light,"A Treasure you can acquire in 
""Super Battle Road"". 
Can be used at Baba's Shop.",2,1,14,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
10,Pudding,"A Treasure obtained in the 
""Vegeta the Indomitable Warrior"" event.",2,1,15,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
11,3rd Anniversary Coin,Coins collectable during the 3rd Anniversary Celebration.,2,1,8,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
12,5th Anniversary Coin,Coins collectable during the 5th Anniversary Celebration.,2,1,34,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
13,Blood Ruby,"A Treasure obtained in the event 
""Curse of the Blood Rubies"".",2,1,17,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
14,Cosmically Acclaimed Sweets,"A Treasure obtained in the ""Universe's Strongest?! 
Challenge the 'Great Pontas'!"" event.",2,1,18,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
15,4th Anniversary Coin,Coins collectable during the 4th Anniversary Celebration.,2,1,19,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
16,Ran Ran,"A Treasure obtained in the event 
""Mystical Adventure"".",2,1,32,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
17,Superhuman Water Seal Key,"A Treasure obtained in the 
""Vegeta's Demise?! The Secret of Planet Potaufeu"" event.",2,1,33,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
18,Sleeping Princess,"A Treasure obtained in the event 
""Sleeping Princess in Devil's Castle"".",2,1,918,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
19,Battle Mastery,"A Treasure you can acquire in 
""Extreme Super Battle Road"". 
Can be used at Baba's Shop.",2,0,35,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
20,6th Anniversary Coin,Coins collectable during the 6th Anniversary Celebration.,2,0,36,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
21,7th Anniversary Coin,A coin collectable during the 7th Anniversary Celebration.,2,0,37,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
22,Incredible Gem (Blue),"A rare Treasure you can acquire in Quests 
and through other means. Can be exchanged 
for amazing items at Baba's Shop.",1,1,2,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
23,Penenko Plushie,"A Treasure obtained in the Special Event 
""Path to Ultimate Power: Gohan and Piccolo"".",0,1,38,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
24,Penenko Plushie (L),"A rare Treasure obtained in the Special Event 
""Path to Ultimate Power: Gohan and Piccolo"".",2,1,39,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
25,Hercule's Autograph,A Treasure obtained in the World Tournament.,2,0,40,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
26,Everyone's Energy,"A special Treasure you can acquire 
during the 8th Anniversary Celebration. 
Can be exchanged for all kinds of items at Baba's Shop.",2,0,41,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
27,8th Anniversary Coin,A coin collectable during the 8th Anniversary Celebration.,2,0,42,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1000,Super Dragon Stone,"Blue Dragon Stones you can acquire 
when purchasing Dragon Stones.",2,0,21,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1001,God Dragon Stone,"Red Dragon Stones available 
for a limited time.",2,0,20,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1002,スーパー龍石2,龍石購入時に入手できる青い龍石,2,0,22,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1003,ゴッド龍石2,期間限定で入手できる赤い龍石,2,0,23,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1004,Super Dragon Stone 3,"Blue Dragon Stones you can acquire 
when purchasing ""3rd Anniv. Super Thanks Pack"". 
Valid until 2018/8/18 21:59 PST.",2,0,24,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1005,ゴッド龍石3,期間限定で入手できる赤い龍石,2,0,25,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1006,Premium Dragon Stone,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 2018/8/18 21:59 PST.",2,0,26,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1007,God Dragon Stone 3,"Red Dragon Stone available 
for a limited time.
Valid until 2018/8/18 21:59 PST.",2,0,25,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1008,God Dragon Stone 4,"Red Dragon Stone available 
for a limited time.
Valid until 2018/10/10 23:59 PST.",2,0,28,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1009,Premium Dragon Stone 2,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 2018/10/10 23:59 PST.",2,0,29,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1012,God Dragon Stone 6,"Red Dragon Stone available for a limited time.
Valid until 2019/8/19 15:59 PST.",2,0,1012,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1013,Premium Dragon Stone 3,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 2019/8/19 15:59 PST.",2,0,1013,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1014,Premium Dragon Stone 4,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 2019/10/09 23:59 PST.",2,0,1014,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1015,Super Dragon Stone 5,"Blue Dragon Stone valid
until 2019/12/15 15:59 PST.",2,0,1015,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1016,God Dragon Stone 7,"Red Dragon Stone available for a limited time.
Valid until 2019/10/09 23:59 PST.",2,0,1016,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1017,God Dragon Stone 9,"Red Dragon Stone available for a limited time.
Valid until 2020/08/17 15:59 PST.",2,0,1017,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1018,Premium Dragon Stone 5,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 2020/08/17 15:59 PST.",2,0,1018,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1019,Premium Dragon Stone 6,"Purple Dragon Stone you can acquire
when purchasing Dragon Stones.
Can be used at Baba's Shop.
Valid until 2020/10/11 23:59 PST.",2,0,1019,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1020,God Dragon Stone 10,"Red Dragon Stone available for a limited time.
Can be used at Baba's Shop.
Valid until 2020/10/11 23:59 PST.",2,0,1020,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1021,God Dragon Stone 11,"Red Dragon Stone available for a limited time.
Can be used at Baba's Shop.
Valid until 2021/1/10 15:59 PST.",2,0,1021,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1022,Super Dragon Stone 6,"Blue Dragon Stone valid
until 2021/1/10 15:59 PST.",2,0,1022,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1023,Memorial Dragon Stone,"Special Dragon Stone available for a limited time.
Can be used at Baba's Shop.
Valid until 2020/10/4 23:59 PST.",2,0,1023,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1024,Super Dragon Stone 7,"Blue Dragon Stone valid
until 2021/6/05 23:59 PST.",2,0,1024,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1025,God Dragon Stone 12,"Red Dragon Stone available for a limited time. 
Valid until 8/16/2021 15:59 PST.",2,0,1025,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1026,Premium Dragon Stone 7,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 8/16/2021 15:59 PST.",2,0,1026,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1027,God Dragon Stone 13,"Red Dragon Stone available for a limited time.
Can be used at Baba's Shop.
Valid until 10/11/2021 23:59 PST.",2,0,1027,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1028,Premium Dragon Stone 8,"Purple Dragon Stone you can acquire
when purchasing Dragon Stones.
Can be used at Baba's Shop.
Valid until 10/11/2021 23:59 PST.",2,0,1028,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1030,Memorial Dragon Stone 2,"Special Dragon Stone available for a limited time.
Can be used at Baba's Shop.
Valid until 10/5/2021 15:59 PST.",2,0,1030,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1031,God Dragon Stone 14,"Red Dragon Stone available for a limited time. 
Can be used at Baba's Shop. 
Valid until 1/9/2022 15:59 PST.",2,0,1031,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1032,Super Dragon Stone 8,"Blue Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 1/9/2022 15:59 PST.",2,0,1032,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1033,SDBH Crossover Special Dragon Stone,"Special Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 12/15/2021 23:59 PST.",2,0,1033,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1034,Special Dragon Stone,"Special Dragon Stone you can acquire 
when purchasing a certain pack. 
Can be used at Baba's Shop.
* If it is not used, it will be deleted 
180 days after being claimed.",2,0,1034,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1035,Super Dragon Stone 9,"Blue Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 6/6/2022 23:59 PST.",2,0,1035,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1036,God Dragon Stone 15,"Red Dragon Stone available for a limited time. 
Valid until 8/14/2022 22:29 PST.",2,0,1036,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1037,Premium Dragon Stone 9,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 8/14/2022 22:29 PST.",2,0,1037,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1038,God Dragon Stone 16,"Red Dragon Stone available for a limited time. 
Can be used at Baba's Shop. 
Valid until 10/10/2022 15:59 PST.",2,0,1038,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1039,Premium Dragon Stone 10,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 10/10/2022 15:59 PST.",2,0,1039,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1040,Memorial Dragon Stone 3,"Special Dragon Stone available for a limited time.
Can be used at Baba's Shop.
Valid until 10/3/2022 15:59 PST.",2,0,1040,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1041,SDBH Crossover Special Dragon Stone 2,"Special Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 12/12/2022 21:59 PST.",2,0,1041,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1042,God Dragon Stone 17,"Red Dragon Stone available for a limited time. 
Can be used at Baba's Shop. 
Valid until 1/3/2023 21:59 PST.",2,0,1042,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1043,Super Dragon Stone 10,"Blue Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 1/3/2023 21:59 PST.",2,0,1043,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1044,Super Dragon Stone 11,"Blue Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 6/6/2023 06:59 PST.",2,0,1044,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1045,God Dragon Stone 18,"Red Dragon Stone available for a limited time. 
Valid until 8/18/2023 15:59 PST.",2,0,1045,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1046,Premium Dragon Stone 11,"Purple Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Valid until 8/18/2023 15:59 PST.",2,0,1046,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1049,Select Character Dragon Stone,"Special red Dragon Stone available for 
a limited time. Can be used at Baba's Shop. 
Valid until 10/12/2023 15:59 PST.",2,0,1049,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1050,UR Premium Dragon Stone,"Special purple Dragon Stone you can 
acquire when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 10/12/2023 15:59 PST.",2,0,1050,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1051,LR Premium Dragon Stone,"Special purple Dragon Stone you can 
acquire when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 10/12/2023 15:59 PST.",2,0,1051,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1052,Memorial Dragon Stone 4,"Special Dragon Stone available for a limited time.
Can be used at Baba's Shop.
Valid until 10/4/2023 15:59 PST.",2,0,1052,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1053,SDBH Crossover Special Dragon Stone 3,"Special Dragon Stone you can acquire 
when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 12/13/2023 21:59 PST.",2,0,1053,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1054,Special Select Character Dragon Stone,"Special blue Dragon Stone you can 
acquire when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 1/5/2024 21:59 PST.",2,0,1054,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1055,Select Character Dragon Stone 2,"Special red Dragon Stone available for 
a limited time. Can be used at Baba's Shop. 
Valid until 1/5/2024 21:59 PST.",2,0,1055,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1056,Select Character Dragon Stone 3,"Special red Dragon Stone available for 
a limited time. Can be used at Baba's Shop. 
Valid until 6/6/2024 21:59 PST.",2,0,1056,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
1057,Special Select Character Dragon Stone 2,"Special blue Dragon Stone you can 
acquire when purchasing Dragon Stones. 
Can be used at Baba's Shop. 
Valid until 6/6/2024 21:59 PST.",2,0,1057,1,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
