id,name,description,zeni,rarity,selling_exchange_point,event_jumpable
1,Gregory,"A common, easily obtained Awakening Medal.",500,0,1,0
2,Bubbles,"A common, easily obtained Awakening Medal.",500,0,1,0
3,Dr. Gero,"A common, easily obtained Awakening Medal.",500,0,1,0
4,Mr. Popo,"A Medal required primarily for TEQ Awakening.
Relatively easy to get.",5000,1,10,0
5,Master Shen,"A Medal required primarily for INT Awakening.
Relatively easy to get.",5000,1,10,0
6,Master Roshi,"A Medal required primarily for STR Awakening.
Relatively easy to get.",5000,1,10,0
7,Mutaito,"A Medal required primarily for PHY Awakening.
Relatively easy to get.",5000,1,10,0
8,Grandpa Gohan,"A Medal required primarily for AGL Awakening.
Relatively easy to get.",5000,1,10,0
9,Kami,"A Medal required primarily for INT Awakening.
Somewhat difficult to get.",50000,2,40,0
10,Grand Elder Guru,"A Medal required primarily for PHY Awakening.
Somewhat difficult to get.",50000,2,40,0
11,Babidi,"A Medal required primarily for TEQ Awakening.
Somewhat difficult to get.",50000,2,40,0
12,Bibidi,"A Medal required primarily for STR Awakening.
Somewhat difficult to get.",50000,2,40,0
13,Korin,"A Medal required primarily for AGL Awakening.
Somewhat difficult to get.",50000,2,40,0
14,Kibito,"A Medal required primarily for AGL Awakening.
Difficult to get.",250000,3,100,0
15,West Kai,"A Medal required primarily for INT Awakening.
Difficult to get.",250000,3,100,0
16,South Kai,"A Medal required primarily for STR Awakening.
Difficult to get.",250000,3,100,0
17,East Kai,"A Medal required primarily for PHY Awakening.
Difficult to get.",250000,3,100,0
18,North Kai,"A Medal required primarily for TEQ Awakening.
Difficult to get.",250000,3,100,0
19,Supreme Kai,"The ultimate, rarely obtainable Awakening Medal.",500000,3,2000,0
20,Elder Kai,"The ultimate, rarely obtainable Awakening Medal.",500000,3,2000,0
101,Goku,Character-specific Medal required for Awakening.,0,3,0,1
102,Dr. Gero,Character-specific Medal required for Awakening.,50000,3,12,1
103,Android #19,Character-specific Medal required for Awakening.,50000,3,12,1
104,Android #14,Character-specific Medal required for Awakening.,50000,3,12,1
105,Android #15,Character-specific Medal required for Awakening.,50000,3,12,1
321,Trunks (Teen),"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with ""Incredible Gem (Green)"".",50000,3,12,0
322,Super Saiyan Trunks (Teen) & Super Saiyan Broly,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with ""Incredible Gem (Green)"".",50000,3,12,0
1001,Turtle,Character-specific Medal required for Awakening.,6000,3,12,1
1002,Bulma,Character-specific Medal required for Awakening.,6000,3,12,1
1391,Yamcha,Character-specific Medal required for Awakening.,320,3,12,1
3030,Bardock,Character-specific Medal required for Awakening.,20000,3,12,1
3031,Fasha,Character-specific Medal required for Awakening.,6000,3,12,1
3032,Borgos,Character-specific Medal required for Awakening.,6000,3,12,1
3033,Shugesh,Character-specific Medal required for Awakening.,6000,3,12,1
3034,Tora,Character-specific Medal required for Awakening.,6000,3,12,1
3035,Frieza,Character-specific Medal required for Awakening.,12000,3,12,1
3041,Whis,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",1000,3,12,1
3042,Bulma,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",500,3,12,1
3043,Jaco,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",15000,3,12,1
3044,Beerus,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",8000,3,12,1
3045,Vegeta,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",8000,3,12,1
3046,Android #18,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",2000,3,12,1
3047,Marron,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",100,3,12,1
3048,Frieza (1st Form),Character-specific Medal required for Awakening.,3000,3,12,1
3049,Frieza (2nd Form),Character-specific Medal required for Awakening.,3000,3,12,1
3050,Frieza (3rd Form),Character-specific Medal required for Awakening.,3000,3,12,1
3051,Frieza (Final Form),Character-specific Medal required for Awakening.,50000,3,12,1
3052,Golden Frieza,Character-specific Medal required for Awakening.,50000,3,12,1
3061,Zangya,Character-specific Medal required for Awakening.,6000,3,12,1
3062,Gokua,Character-specific Medal required for Awakening.,6000,3,12,1
3063,Bido,Character-specific Medal required for Awakening.,6000,3,12,1
3064,Bujin,Character-specific Medal required for Awakening.,6000,3,12,1
3065,Boujack,Character-specific Medal required for Awakening.,6000,3,12,1
3066,Gohan (Youth),Character-specific Medal required for Awakening.,6000,3,12,1
3071,Thouser,Character-specific Medal required for Awakening.,6000,3,12,1
3072,Doure,Character-specific Medal required for Awakening.,6000,3,12,1
3073,Naise,Character-specific Medal required for Awakening.,6000,3,12,1
3074,Cooler,Character-specific Medal required for Awakening.,6000,3,12,1
3075,Goku,Character-specific Medal required for Awakening.,6000,3,12,1
3081,Videl,Character-specific Medal required for Awakening.,10000,3,12,1
