id,potential_skill_id,lv,value
101,1,1,2
102,1,2,4
103,1,3,6
104,1,4,8
105,1,5,10
106,1,6,12
107,1,7,14
108,1,8,16
109,1,9,18
110,1,10,20
111,1,11,22
112,1,12,24
113,1,13,26
114,1,14,28
115,1,15,30
116,1,16,32
117,1,17,34
118,1,18,36
119,1,19,38
120,1,20,40
201,2,1,2
202,2,2,4
203,2,3,6
204,2,4,8
205,2,5,10
206,2,6,12
207,2,7,14
208,2,8,16
209,2,9,18
210,2,10,20
211,2,11,22
212,2,12,24
213,2,13,26
214,2,14,28
215,2,15,30
216,2,16,32
217,2,17,34
218,2,18,36
219,2,19,38
220,2,20,40
301,3,1,1
302,3,2,2
303,3,3,3
304,3,4,4
305,3,5,5
306,3,6,6
307,3,7,7
308,3,8,8
309,3,9,9
310,3,10,10
311,3,11,11
312,3,12,12
313,3,13,13
314,3,14,14
315,3,15,15
316,3,16,16
317,3,17,17
318,3,18,18
319,3,19,19
320,3,20,20
401,4,1,5
402,4,2,10
403,4,3,15
404,4,4,20
405,4,5,25
406,4,6,30
407,4,7,35
408,4,8,40
409,4,9,45
410,4,10,50
411,4,11,55
412,4,12,60
413,4,13,65
414,4,14,70
415,4,15,75
416,4,16,80
417,4,17,85
418,4,18,90
419,4,19,95
420,4,20,100
501,5,1,1
502,5,2,2
503,5,3,3
504,5,4,4
505,5,5,5
506,5,6,6
507,5,7,7
508,5,8,8
509,5,9,9
510,5,10,10
511,5,11,11
512,5,12,12
513,5,13,13
514,5,14,14
515,5,15,15
516,5,16,16
517,5,17,17
518,5,18,18
519,5,19,19
520,5,20,20
601,6,1,5
602,6,2,10
603,6,3,15
604,6,4,20
605,6,5,25
606,6,6,30
607,6,7,35
608,6,8,40
609,6,9,45
610,6,10,50
611,6,11,55
612,6,12,60
613,6,13,65
614,6,14,70
615,6,15,75
616,6,16,80
617,6,17,85
618,6,18,90
619,6,19,95
620,6,20,100
621,1,21,42
622,1,22,44
623,1,23,46
624,1,24,48
625,1,25,50
626,2,21,42
627,2,22,44
628,2,23,46
629,2,24,48
630,2,25,50
631,3,21,21
632,3,22,22
633,3,23,23
634,3,24,24
635,3,25,25
636,4,21,105
637,4,22,110
638,4,23,115
639,4,24,120
640,4,25,125
641,5,21,21
642,5,22,22
643,5,23,23
644,5,24,24
645,5,25,25
646,6,21,105
647,6,22,110
648,6,23,115
649,6,24,120
650,6,25,125
651,7,21,105
652,7,22,110
653,7,23,115
654,7,24,120
655,7,25,125
701,7,1,5
702,7,2,10
703,7,3,15
704,7,4,20
705,7,5,25
706,7,6,30
707,7,7,35
708,7,8,40
709,7,9,45
710,7,10,50
711,7,11,55
712,7,12,60
713,7,13,65
714,7,14,70
715,7,15,75
716,7,16,80
717,7,17,85
718,7,18,90
719,7,19,95
720,7,20,100
1000,1,26,52
1001,1,27,54
1002,1,28,56
1003,1,29,58
1004,1,30,60
1005,1,31,62
1006,1,32,64
1007,1,33,66
1008,1,34,68
1009,1,35,70
1010,1,36,72
1011,1,37,74
1012,1,38,76
1013,1,39,78
1014,1,40,80
1015,1,41,82
1016,1,42,84
1017,1,43,86
1018,1,44,88
1019,1,45,90
1020,1,46,92
1021,1,47,94
1022,1,48,96
1023,1,49,98
1024,1,50,100
1025,2,26,52
1026,2,27,54
1027,2,28,56
1028,2,29,58
1029,2,30,60
1030,2,31,62
1031,2,32,64
1032,2,33,66
1033,2,34,68
1034,2,35,70
1035,2,36,72
1036,2,37,74
1037,2,38,76
1038,2,39,78
1039,2,40,80
1040,2,41,82
1041,2,42,84
1042,2,43,86
1043,2,44,88
1044,2,45,90
1045,2,46,92
1046,2,47,94
1047,2,48,96
1048,2,49,98
1049,2,50,100
1050,3,26,26
1051,3,27,27
1052,3,28,28
1053,3,29,29
1054,3,30,30
1055,3,31,31
1056,3,32,32
1057,3,33,33
1058,3,34,34
1059,3,35,35
1060,3,36,36
1061,3,37,37
1062,3,38,38
1063,3,39,39
1064,3,40,40
1065,3,41,41
1066,3,42,42
1067,3,43,43
1068,3,44,44
1069,3,45,45
1070,3,46,46
1071,3,47,47
1072,3,48,48
1073,3,49,49
1074,3,50,50
1075,4,26,130
1076,4,27,135
1077,4,28,140
1078,4,29,145
1079,4,30,150
1080,4,31,155
1081,4,32,160
1082,4,33,165
1083,4,34,170
1084,4,35,175
1085,4,36,180
1086,4,37,185
1087,4,38,190
1088,4,39,195
1089,4,40,200
1090,4,41,205
1091,4,42,210
1092,4,43,215
1093,4,44,220
1094,4,45,225
1095,4,46,230
1096,4,47,235
1097,4,48,240
1098,4,49,245
1099,4,50,250
1100,5,26,26
1101,5,27,27
1102,5,28,28
1103,5,29,29
1104,5,30,30
1105,5,31,31
1106,5,32,32
1107,5,33,33
1108,5,34,34
1109,5,35,35
1110,5,36,36
1111,5,37,37
1112,5,38,38
1113,5,39,39
1114,5,40,40
1115,5,41,41
1116,5,42,42
1117,5,43,43
1118,5,44,44
1119,5,45,45
1120,5,46,46
1121,5,47,47
1122,5,48,48
1123,5,49,49
1124,5,50,50
1125,6,26,130
1126,6,27,135
1127,6,28,140
1128,6,29,145
1129,6,30,150
1130,6,31,155
1131,6,32,160
1132,6,33,165
1133,6,34,170
1134,6,35,175
1135,6,36,180
1136,6,37,185
1137,6,38,190
1138,6,39,195
1139,6,40,200
1140,6,41,205
1141,6,42,210
1142,6,43,215
1143,6,44,220
1144,6,45,225
1145,6,46,230
1146,6,47,235
1147,6,48,240
1148,6,49,245
1149,6,50,250
1150,7,26,130
1151,7,27,135
1152,7,28,140
1153,7,29,145
1154,7,30,150
1155,7,31,155
1156,7,32,160
1157,7,33,165
1158,7,34,170
1159,7,35,175
1160,7,36,180
1161,7,37,185
1162,7,38,190
1163,7,39,195
1164,7,40,200
1165,7,41,205
1166,7,42,210
1167,7,43,215
1168,7,44,220
1169,7,45,225
1170,7,46,230
1171,7,47,235
1172,7,48,240
1173,7,49,245
1174,7,50,250
