id,card_id,active_skill_set_id
22,1015910,13
23,1015911,13
24,1014210,14
25,1014211,14
26,1014220,15
27,1014221,15
28,1016570,16
29,1016571,16
30,1016810,17
31,1016811,17
32,4016880,18
33,4016881,18
34,4017090,19
35,4017091,20
36,4017130,21
37,4017131,22
38,4017190,23
39,4017191,24
40,1017160,25
41,1017161,25
42,4017910,26
43,4017911,26
44,1017630,27
45,1017631,28
46,1017490,29
47,1017491,30
48,1017660,31
49,1017661,32
50,1017740,33
51,1017741,34
52,1018030,35
53,1018031,36
54,1018190,37
55,1018191,38
56,1018540,39
57,1018541,39
58,4017980,40
59,4017981,40
60,4017970,41
61,4017971,41
62,1019280,42
63,1019281,42
64,1019040,43
65,1019041,43
66,1018880,44
67,1018881,45
68,1019140,46
69,1019141,47
70,1019340,48
71,1019341,48
72,9017660,49
73,9017661,50
74,1019400,51
75,1019401,51
76,4019640,52
77,4019641,53
78,4019600,54
79,4019601,55
80,4019760,56
81,4019761,56
82,1019990,57
83,1019991,57
84,1019910,58
85,1019911,58
86,1020460,59
87,1020461,60
88,1020370,61
89,1020371,62
90,1019490,63
91,1019491,64
92,1020090,65
93,1020091,66
94,1020130,67
95,1020131,68
96,1020220,69
97,1020221,70
98,1020750,71
99,1020751,72
100,1020500,73
101,1020501,74
102,1020990,75
103,1020991,75
104,1021140,76
105,1021141,76
106,1021050,77
107,1021051,78
108,1021330,79
109,1021331,79
110,1021290,80
111,1021291,81
112,1020310,82
113,1020311,82
114,1020340,83
115,1020341,83
116,1021620,84
117,1021621,84
118,1021430,85
119,1021431,85
120,1021480,86
121,1021481,86
122,1021670,87
123,1021671,87
124,1021690,88
125,1021691,88
126,1021810,89
127,1021811,89
128,1021970,90
129,1021971,90
130,1021880,91
131,1021881,91
132,1021920,92
133,1021921,92
134,1021940,93
135,1021941,93
136,1022090,94
137,1022091,94
138,1022120,95
139,1022121,95
140,1022220,96
141,1022221,96
142,1022190,97
143,1022191,98
144,1022590,99
145,1022591,100
146,1022340,101
147,1022341,101
148,1022650,102
149,1022651,102
150,1022771,103
151,1022781,104
152,1022880,105
153,1022881,106
154,1022630,107
155,1022631,107
156,1022750,108
157,1022751,108
158,9522880,111
159,9522881,112
160,1022940,109
161,1022941,109
162,4022950,110
163,4022951,110
164,1022830,113
165,1022831,114
166,1022770,103
167,1022780,104
168,1023090,115
169,1023091,115
170,9022770,116
171,9022771,116
172,1023110,117
173,1023111,118
174,1023360,119
175,1023361,119
176,1023420,120
177,1023421,121
178,1022380,122
179,1022381,123
180,1022420,124
181,1022421,125
182,1023460,126
183,1023461,127
184,1023490,128
185,1023491,128
186,4022390,129
187,4022391,129
188,4022430,130
189,4022431,130
190,1023930,131
191,1023931,131
192,1023620,132
193,1023621,132
194,1023520,133
195,1023521,134
196,1023770,135
197,1023771,136
198,9523930,137
199,9523931,137
200,1023980,138
201,1023981,138
202,1024060,139
203,1024061,139
204,1024080,140
205,1024081,140
206,1024140,141
207,1024141,142
208,1024350,143
209,1024351,143
210,1024290,144
211,1024291,145
212,4024400,146
213,4024401,147
214,1024440,148
215,1024441,149
216,1024510,150
217,1024511,150
218,1024550,151
219,1024551,151
220,1024730,152
221,1024731,152
222,1024660,153
223,1024661,153
224,1025110,154
225,1025111,155
226,1024990,156
227,1024991,156
228,9517160,25
229,9517161,25
230,1024830,157
231,1024831,157
232,1024860,158
233,1024861,158
236,1024930,160
239,4024900,163
240,4024901,163
241,1024931,160
242,1025070,164
243,1025071,164
244,1025410,165
245,1025411,166
246,1025090,167
247,1025091,167
248,1025630,168
249,1025631,168
250,1025800,169
251,1025801,169
252,1026030,170
253,1026031,170
254,1025650,171
255,1025651,172
256,1025870,173
257,1025871,173
258,1025560,174
259,1025561,174
260,1025590,175
261,1025591,176
262,1026130,177
263,1026131,177
264,1026160,178
265,1026161,178
266,1026250,179
267,1026251,180
268,1026280,181
269,1026281,182
270,9517190,183
271,9517191,184
272,1026200,185
273,1026201,186
274,9517980,40
275,9517981,40
276,9517970,41
277,9517971,41
278,1026480,187
279,1026481,188
280,1026430,189
281,1026431,189
282,1026560,190
283,1026561,190
284,1026610,191
285,1026611,191
286,9517490,192
287,9517491,193
288,1026730,194
289,1026731,194
290,1026750,195
291,1026751,195
292,1026820,196
293,1026821,196
294,1027040,197
295,1027041,197
296,1027250,198
297,1027251,198
298,1027120,199
299,1027121,200
300,4027130,201
301,4027131,201
302,1027220,202
303,1027221,203
304,9521620,84
305,9521621,84
306,1027000,204
307,1027001,204
308,4027010,205
309,4027011,205
310,1027330,206
311,1027331,206
312,1027430,207
313,1027431,207
314,1027460,208
315,1027461,209
316,1027710,210
317,1027711,210
318,1027600,211
319,1027601,211
320,1027650,212
321,1027651,213
322,4027660,214
323,4027661,214
324,1027470,215
325,1027471,215
326,1028060,216
327,1028061,216
328,1028160,217
329,1028161,218
330,1028280,219
331,1028281,228
332,9517910,26
333,9517911,26
334,1027980,220
335,1027981,221
336,4027990,222
337,4027991,222
338,1028020,223
339,1028021,224
342,1028550,226
343,1028551,227
345,1028320,229
346,1028321,229
347,9519990,57
348,9519991,57
349,1028570,230
350,1028571,230
351,9519760,56
352,9519761,56
353,1028490,231
354,1028491,233
355,4028500,232
356,4028501,232
357,9520310,82
358,9520311,82
359,9520340,83
360,9520341,83
365,1028720,237
366,1028721,237
367,1028790,239
368,1028791,239
369,1028810,240
370,1028811,240
371,1028920,238
372,1028921,238
373,1028890,241
374,1028891,241
377,9520370,243
378,9520371,244
