id,leader_skill_set_id,exec_timing_type,target_type,sub_target_type_set_id,causality_conditions,efficacy_type,efficacy_values,calc_option
1,100001,1,2,0,,16,"[0,30,0]",2
2,100001,1,2,0,,16,"[2,30,0]",2
3,100001,1,2,0,,16,"[4,30,0]",2
4,100001,1,2,0,,0,"[0,0,0]",0
5,100001,1,2,0,,0,"[0,0,0]",0
6,100002,1,2,0,,16,"[1,30,0]",2
7,100002,1,2,0,,16,"[2,30,0]",2
8,100002,1,2,0,,16,"[3,30,0]",2
9,100002,1,2,0,,0,"[0,0,0]",0
10,100002,1,2,0,,0,"[0,0,0]",0
11,100003,1,2,0,,20,"[1,2,0]",0
12,100003,1,2,0,,20,"[3,2,0]",0
13,100003,1,2,0,,0,"[0,0,0]",0
14,100003,1,2,0,,0,"[0,0,0]",0
15,100003,1,2,0,,0,"[0,0,0]",0
16,100004,1,2,0,"{""source"":""15"",""compiled"":15}",1,"[25,0,0]",2
17,100004,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
18,100004,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
19,100004,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
20,100004,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
21,100005,1,2,0,,1,"[15,0,0]",2
22,100005,1,2,0,,0,"[0,0,0]",0
23,100005,1,2,0,,0,"[0,0,0]",0
24,100005,1,2,0,,0,"[0,0,0]",0
25,100005,1,2,0,,0,"[0,0,0]",0
26,100006,1,2,0,,16,"[3,25,0]",2
27,100006,1,2,0,,0,"[0,0,0]",0
28,100006,1,2,0,,0,"[0,0,0]",0
29,100006,1,2,0,,0,"[0,0,0]",0
30,100006,1,2,0,,0,"[0,0,0]",0
31,100007,1,2,0,,16,"[0,25,0]",2
32,100007,1,2,0,,0,"[0,0,0]",0
33,100007,1,2,0,,0,"[0,0,0]",0
34,100007,1,2,0,,0,"[0,0,0]",0
35,100007,1,2,0,,0,"[0,0,0]",0
36,100008,1,2,0,,16,"[1,25,0]",2
37,100008,1,2,0,,0,"[0,0,0]",0
38,100008,1,2,0,,0,"[0,0,0]",0
39,100008,1,2,0,,0,"[0,0,0]",0
40,100008,1,2,0,,0,"[0,0,0]",0
41,100009,1,2,0,,16,"[1,25,0]",2
42,100009,1,2,0,,16,"[3,25,0]",2
43,100009,1,2,0,,0,"[0,0,0]",0
44,100009,1,2,0,,0,"[0,0,0]",0
45,100009,1,2,0,,0,"[0,0,0]",0
46,100010,1,2,0,,16,"[0,25,0]",2
47,100010,1,2,0,,16,"[4,25,0]",2
48,100010,1,2,0,,0,"[0,0,0]",0
49,100010,1,2,0,,0,"[0,0,0]",0
50,100010,1,2,0,,0,"[0,0,0]",0
51,100011,1,2,0,"{""source"":""42"",""compiled"":42}",1,"[20,0,0]",2
52,100011,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
53,100011,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
54,100011,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
55,100011,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
56,100012,1,2,0,"{""source"":""42"",""compiled"":42}",5,"[1,0,0]",0
57,100012,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
58,100012,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
59,100012,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
60,100012,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
61,100013,1,2,0,"{""source"":""15"",""compiled"":15}",1,"[25,0,0]",2
62,100013,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
63,100013,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
64,100013,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
65,100013,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
66,100014,1,2,0,,19,"[2,25,0]",2
67,100014,1,2,0,,0,"[0,0,0]",0
68,100014,1,2,0,,0,"[0,0,0]",0
69,100014,1,2,0,,0,"[0,0,0]",0
70,100014,1,2,0,,0,"[0,0,0]",0
71,100015,1,4,0,,2,"[25,0,0]",3
72,100015,1,4,0,,0,"[0,0,0]",0
73,100015,1,4,0,,0,"[0,0,0]",0
74,100015,1,4,0,,0,"[0,0,0]",0
75,100015,1,4,0,,0,"[0,0,0]",0
76,100016,1,2,0,"{""source"":""15"",""compiled"":15}",1,"[25,0,0]",2
77,100016,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
78,100016,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
79,100016,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
80,100016,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
81,100017,1,2,0,,44,"[3,20,20]",2
82,100017,1,2,0,,0,"[0,0,0]",0
83,100017,1,2,0,,0,"[0,0,0]",0
84,100017,1,2,0,,0,"[0,0,0]",0
85,100017,1,2,0,,0,"[0,0,0]",0
86,100018,1,2,0,,16,"[2,25,0]",2
87,100018,1,2,0,,0,"[0,0,0]",0
88,100018,1,2,0,,0,"[0,0,0]",0
89,100018,1,2,0,,0,"[0,0,0]",0
90,100018,1,2,0,,0,"[0,0,0]",0
91,100019,1,2,0,,19,"[0,25,0]",2
92,100019,1,2,0,,19,"[1,25,0]",2
93,100019,1,2,0,,19,"[2,25,0]",2
94,100019,1,2,0,,19,"[3,25,0]",2
95,100019,1,2,0,,19,"[4,25,0]",2
96,100020,1,2,0,"{""source"":""21"",""compiled"":21}",1,"[15,0,0]",2
97,100020,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
98,100020,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
99,100020,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
100,100020,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
101,100021,1,4,0,,16,"[1,25,0]",3
102,100021,1,4,0,,0,"[0,0,0]",0
103,100021,1,4,0,,0,"[0,0,0]",0
104,100021,1,4,0,,0,"[0,0,0]",0
105,100021,1,4,0,,0,"[0,0,0]",0
106,100022,1,4,0,,16,"[0,25,0]",3
107,100022,1,4,0,,0,"[0,0,0]",0
108,100022,1,4,0,,0,"[0,0,0]",0
109,100022,1,4,0,,0,"[0,0,0]",0
110,100022,1,4,0,,0,"[0,0,0]",0
111,100023,1,2,0,,16,"[2,25,0]",2
112,100023,1,2,0,,16,"[3,25,0]",2
113,100023,1,2,0,,0,"[0,0,0]",0
114,100023,1,2,0,,0,"[0,0,0]",0
115,100023,1,2,0,,0,"[0,0,0]",0
116,100024,1,2,0,,44,"[4,20,20]",2
117,100024,1,2,0,,0,"[0,0,0]",0
118,100024,1,2,0,,0,"[0,0,0]",0
119,100024,1,2,0,,0,"[0,0,0]",0
120,100024,1,2,0,,0,"[0,0,0]",0
121,100025,1,2,0,,20,"[3,2,0]",0
122,100025,1,2,0,,0,"[0,0,0]",0
123,100025,1,2,0,,0,"[0,0,0]",0
124,100025,1,2,0,,0,"[0,0,0]",0
125,100025,1,2,0,,0,"[0,0,0]",0
126,100026,1,2,0,,20,"[0,2,0]",0
127,100026,1,2,0,,0,"[0,0,0]",0
128,100026,1,2,0,,0,"[0,0,0]",0
129,100026,1,2,0,,0,"[0,0,0]",0
130,100026,1,2,0,,0,"[0,0,0]",0
131,100027,1,2,0,,16,"[2,15,0]",2
132,100027,1,2,0,,0,"[0,0,0]",0
133,100027,1,2,0,,0,"[0,0,0]",0
134,100027,1,2,0,,0,"[0,0,0]",0
135,100027,1,2,0,,0,"[0,0,0]",0
136,100028,1,2,0,,20,"[0,1,0]",0
137,100028,1,2,0,,0,"[0,0,0]",0
138,100028,1,2,0,,0,"[0,0,0]",0
139,100028,1,2,0,,0,"[0,0,0]",0
140,100028,1,2,0,,0,"[0,0,0]",0
141,100029,1,2,0,,16,"[4,15,0]",2
142,100029,1,2,0,,0,"[0,0,0]",0
143,100029,1,2,0,,0,"[0,0,0]",0
144,100029,1,2,0,,0,"[0,0,0]",0
145,100029,1,2,0,,0,"[0,0,0]",0
146,100030,1,2,0,,19,"[0,15,0]",2
147,100030,1,2,0,,19,"[1,15,0]",2
148,100030,1,2,0,,19,"[2,15,0]",2
149,100030,1,2,0,,19,"[3,15,0]",2
150,100030,1,2,0,,19,"[4,15,0]",2
151,100031,1,2,0,,19,"[0,15,0]",2
152,100031,1,2,0,,19,"[1,15,0]",2
153,100031,1,2,0,,19,"[2,15,0]",2
154,100031,1,2,0,,19,"[3,15,0]",2
155,100031,1,2,0,,19,"[4,15,0]",2
156,100032,1,2,0,,19,"[0,15,0]",2
157,100032,1,2,0,,19,"[1,15,0]",2
158,100032,1,2,0,,19,"[2,15,0]",2
159,100032,1,2,0,,19,"[3,15,0]",2
160,100032,1,2,0,,19,"[4,15,0]",2
161,100033,1,2,0,,16,"[1,15,0]",2
162,100033,1,2,0,,0,"[0,0,0]",0
163,100033,1,2,0,,0,"[0,0,0]",0
164,100033,1,2,0,,0,"[0,0,0]",0
165,100033,1,2,0,,0,"[0,0,0]",0
166,100034,1,2,0,,16,"[0,15,0]",2
167,100034,1,2,0,,0,"[0,0,0]",0
168,100034,1,2,0,,0,"[0,0,0]",0
169,100034,1,2,0,,0,"[0,0,0]",0
170,100034,1,2,0,,0,"[0,0,0]",0
171,100035,1,2,0,,16,"[4,15,0]",2
172,100035,1,2,0,,0,"[0,0,0]",0
173,100035,1,2,0,,0,"[0,0,0]",0
174,100035,1,2,0,,0,"[0,0,0]",0
175,100035,1,2,0,,0,"[0,0,0]",0
176,100036,1,2,0,,17,"[4,20,0]",2
177,100036,1,2,0,,0,"[0,0,0]",0
178,100036,1,2,0,,0,"[0,0,0]",0
179,100036,1,2,0,,0,"[0,0,0]",0
180,100036,1,2,0,,0,"[0,0,0]",0
181,100037,1,2,0,,19,"[0,15,0]",2
182,100037,1,2,0,,19,"[1,15,0]",2
183,100037,1,2,0,,19,"[2,15,0]",2
184,100037,1,2,0,,19,"[3,15,0]",2
185,100037,1,2,0,,19,"[4,15,0]",2
186,100038,1,2,0,,13,"[90,0,0]",3
187,100038,1,2,0,,0,"[0,0,0]",0
188,100038,1,2,0,,0,"[0,0,0]",0
189,100038,1,2,0,,0,"[0,0,0]",0
190,100038,1,2,0,,0,"[0,0,0]",0
191,100039,1,2,0,,16,"[1,15,0]",2
192,100039,1,2,0,,0,"[0,0,0]",0
193,100039,1,2,0,,0,"[0,0,0]",0
194,100039,1,2,0,,0,"[0,0,0]",0
195,100039,1,2,0,,0,"[0,0,0]",0
196,100040,1,4,0,,17,"[3,30,0]",3
197,100040,1,4,0,,0,"[0,0,0]",0
198,100040,1,4,0,,0,"[0,0,0]",0
199,100040,1,4,0,,0,"[0,0,0]",0
200,100040,1,4,0,,0,"[0,0,0]",0
201,100041,1,2,0,,13,"[90,0,0]",3
202,100041,1,2,0,,0,"[0,0,0]",0
203,100041,1,2,0,,0,"[0,0,0]",0
204,100041,1,2,0,,0,"[0,0,0]",0
205,100041,1,2,0,,0,"[0,0,0]",0
206,100042,1,2,0,,17,"[1,20,0]",2
207,100042,1,2,0,,0,"[0,0,0]",0
208,100042,1,2,0,,0,"[0,0,0]",0
209,100042,1,2,0,,0,"[0,0,0]",0
210,100042,1,2,0,,0,"[0,0,0]",0
211,100043,1,2,0,,16,"[1,25,0]",2
212,100043,1,2,0,,0,"[0,0,0]",0
213,100043,1,2,0,,0,"[0,0,0]",0
214,100043,1,2,0,,0,"[0,0,0]",0
215,100043,1,2,0,,0,"[0,0,0]",0
216,100044,1,2,0,,20,"[2,1,0]",0
217,100044,1,2,0,,0,"[0,0,0]",0
218,100044,1,2,0,,0,"[0,0,0]",0
219,100044,1,2,0,,0,"[0,0,0]",0
220,100044,1,2,0,,0,"[0,0,0]",0
221,100045,1,2,0,,19,"[0,15,0]",2
222,100045,1,2,0,,19,"[1,15,0]",2
223,100045,1,2,0,,19,"[2,15,0]",2
224,100045,1,2,0,,19,"[3,15,0]",2
225,100045,1,2,0,,19,"[4,15,0]",2
226,100046,1,2,0,,13,"[90,0,0]",3
227,100046,1,2,0,,0,"[0,0,0]",0
228,100046,1,2,0,,0,"[0,0,0]",0
229,100046,1,2,0,,0,"[0,0,0]",0
230,100046,1,2,0,,0,"[0,0,0]",0
231,100047,1,2,0,,16,"[3,15,0]",2
232,100047,1,2,0,,0,"[0,0,0]",0
233,100047,1,2,0,,0,"[0,0,0]",0
234,100047,1,2,0,,0,"[0,0,0]",0
235,100047,1,2,0,,0,"[0,0,0]",0
236,100048,1,2,0,,16,"[4,15,0]",2
237,100048,1,2,0,,0,"[0,0,0]",0
238,100048,1,2,0,,0,"[0,0,0]",0
239,100048,1,2,0,,0,"[0,0,0]",0
240,100048,1,2,0,,0,"[0,0,0]",0
241,100049,1,2,0,,16,"[0,15,0]",2
242,100049,1,2,0,,0,"[0,0,0]",0
243,100049,1,2,0,,0,"[0,0,0]",0
244,100049,1,2,0,,0,"[0,0,0]",0
245,100049,1,2,0,,0,"[0,0,0]",0
246,100050,1,2,0,,13,"[90,0,0]",3
247,100050,1,2,0,,0,"[0,0,0]",0
248,100050,1,2,0,,0,"[0,0,0]",0
249,100050,1,2,0,,0,"[0,0,0]",0
250,100050,1,2,0,,0,"[0,0,0]",0
251,100051,1,2,0,,16,"[3,15,0]",2
252,100051,1,2,0,,0,"[0,0,0]",0
253,100051,1,2,0,,0,"[0,0,0]",0
254,100051,1,2,0,,0,"[0,0,0]",0
255,100051,1,2,0,,0,"[0,0,0]",0
256,100052,1,2,0,,16,"[4,15,0]",2
257,100052,1,2,0,,0,"[0,0,0]",0
258,100052,1,2,0,,0,"[0,0,0]",0
259,100052,1,2,0,,0,"[0,0,0]",0
260,100052,1,2,0,,0,"[0,0,0]",0
261,100053,1,2,0,,17,"[2,20,0]",2
262,100053,1,2,0,,0,"[0,0,0]",0
263,100053,1,2,0,,0,"[0,0,0]",0
264,100053,1,2,0,,0,"[0,0,0]",0
265,100053,1,2,0,,0,"[0,0,0]",0
266,100054,1,2,0,,20,"[0,1,0]",0
267,100054,1,2,0,,0,"[0,0,0]",0
268,100054,1,2,0,,0,"[0,0,0]",0
269,100054,1,2,0,,0,"[0,0,0]",0
270,100054,1,2,0,,0,"[0,0,0]",0
271,100055,1,2,0,,16,"[3,15,0]",2
272,100055,1,2,0,,0,"[0,0,0]",0
273,100055,1,2,0,,0,"[0,0,0]",0
274,100055,1,2,0,,0,"[0,0,0]",0
275,100055,1,2,0,,0,"[0,0,0]",0
276,100056,1,2,0,,16,"[4,15,0]",2
277,100056,1,2,0,,0,"[0,0,0]",0
278,100056,1,2,0,,0,"[0,0,0]",0
279,100056,1,2,0,,0,"[0,0,0]",0
280,100056,1,2,0,,0,"[0,0,0]",0
281,100057,1,2,0,,19,"[0,15,0]",2
282,100057,1,2,0,,19,"[1,15,0]",2
