id,max_point,seconds_per_cure_one_point,start_at,end_at,created_at,updated_at
1,5,28800,2022-12-12 00:00:00,2022-12-15 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
2,3,14400,2022-11-04 00:00:00,2022-12-03 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
3,3,28800,2022-12-26 00:00:00,2022-12-31 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
4,5,14400,2022-12-16 00:00:00,2022-12-18 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
5,5,14400,2023-01-01 00:00:00,2023-01-01 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
6,3,28800,2023-01-02 00:00:00,2023-01-07 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
7,5,14400,2023-01-08 00:00:00,2023-01-08 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
8,3,28800,2023-01-09 00:00:00,2023-01-14 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
9,5,14400,2023-01-15 00:00:00,2023-01-15 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
10,3,28800,2023-01-16 00:00:00,2023-01-21 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
11,5,14400,2023-01-22 00:00:00,2023-01-22 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
12,3,28800,2023-01-23 00:00:00,2023-01-28 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
13,5,14400,2023-01-29 00:00:00,2023-01-29 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
14,3,28800,2023-01-30 00:00:00,2023-02-04 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
15,5,14400,2023-02-05 00:00:00,2023-02-05 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
16,3,28800,2023-02-06 00:00:00,2023-02-11 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
17,5,14400,2023-02-12 00:00:00,2023-02-12 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
18,3,28800,2023-02-13 00:00:00,2023-02-18 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
19,5,14400,2023-02-19 00:00:00,2023-02-19 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
20,3,28800,2023-02-20 00:00:00,2023-02-25 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
21,5,14400,2023-02-26 00:00:00,2023-02-26 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
22,3,28800,2023-02-27 00:00:00,2023-03-04 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
23,5,14400,2023-03-05 00:00:00,2023-03-05 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
24,3,28800,2023-03-06 00:00:00,2023-03-11 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
25,5,14400,2023-03-12 00:00:00,2023-03-12 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
26,3,28800,2023-03-13 00:00:00,2023-06-29 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
27,5,18000,2024-03-01 00:00:00,2024-03-03 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
28,3,28800,2024-03-04 00:00:00,2024-03-07 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
29,5,18000,2024-03-08 00:00:00,2024-03-10 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
30,3,28800,2024-03-11 00:00:00,2024-03-14 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
31,5,18000,2024-03-15 00:00:00,2024-03-17 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
32,3,28800,2024-03-18 00:00:00,2024-03-21 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
33,5,18000,2024-03-22 00:00:00,2024-03-24 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
34,3,28800,2024-03-25 00:00:00,2024-03-28 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
35,5,18000,2024-03-29 00:00:00,2024-03-31 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
36,3,28800,2024-04-01 00:00:00,2024-07-04 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
