id,card_unique_info_id,card_unique_info_set_id
1,112,5
2,112,8
3,411,5
4,411,8
5,402,8
6,6,8
7,80,8
8,56,12
9,229,12
10,8,12
11,311,12
12,444,12
13,78,5
14,78,8
15,341,8
16,495,5
17,495,8
18,10,1
19,414,1
20,499,1
21,22,6
22,22,7
23,504,6
24,504,7
25,20,6
26,82,10
27,83,9
28,84,2
29,496,2
30,457,2
31,246,2
32,231,11
33,244,12
34,79,4
35,494,4
36,366,12
37,227,12
38,230,12
39,474,12
40,475,12
41,113,12
42,1,3
43,483,3
44,501,3
45,57,4
46,502,4
47,232,11
48,507,11
49,129,12
50,498,12
51,497,12
52,1,13
53,3,13
54,66,13
55,86,13
56,108,13
57,139,13
58,153,13
59,154,13
60,164,13
61,175,13
62,211,13
63,236,13
64,241,13
65,252,13
66,316,13
67,318,13
68,326,13
69,340,13
70,356,13
71,373,13
72,374,13
73,376,13
74,377,13
75,381,13
76,400,13
77,412,13
78,415,13
79,416,13
80,417,13
81,418,13
82,432,13
83,455,13
84,464,13
85,483,13
86,487,13
87,501,13
88,141,14
89,142,14
90,190,14
91,191,14
92,192,14
93,193,14
94,194,14
95,195,14
96,404,14
97,508,14
98,513,13
99,134,15
100,135,16
101,520,16
102,2,17
103,4,17
104,87,17
105,115,17
106,131,17
107,178,17
108,197,17
109,210,17
110,216,17
111,223,17
112,247,17
113,302,17
114,317,17
115,364,17
116,373,17
117,374,17
118,376,17
119,377,17
120,391,17
121,433,17
122,448,17
123,458,17
124,459,17
125,460,17
126,461,17
127,465,17
128,488,17
129,497,17
130,8,18
131,113,18
132,244,18
133,311,18
134,366,18
135,444,18
136,521,19
137,21,20
138,20,21
139,344,22
140,384,22
141,385,22
142,471,22
143,472,22
144,473,22
145,345,23
146,383,23
147,471,23
148,472,23
149,473,23
150,524,13
151,525,17
152,230,24
153,474,24
154,475,24
155,534,24
156,311,25
157,444,25
158,312,26
159,444,26
160,534,26
161,86,27
162,87,27
163,309,27
164,391,27
165,418,27
166,447,27
167,461,27
168,463,27
169,513,27
170,532,27
171,533,27
172,313,28
173,315,28
174,336,28
175,337,28
176,476,28
177,477,28
178,479,28
179,305,29
180,310,29
181,336,29
182,337,29
183,441,29
184,1,30
185,3,30
186,66,30
187,84,30
188,86,30
189,108,30
190,139,30
191,153,30
192,154,30
193,164,30
194,175,30
195,211,30
196,236,30
197,241,30
198,246,30
199,252,30
200,316,30
201,318,30
202,326,30
203,340,30
204,356,30
205,373,30
206,374,30
207,376,30
208,377,30
209,381,30
210,400,30
211,412,30
212,415,30
213,416,30
214,417,30
215,418,30
216,432,30
217,455,30
218,457,30
219,464,30
220,483,30
221,487,30
222,496,30
223,501,30
224,513,30
225,524,30
226,5,31
227,61,31
228,62,31
229,63,31
230,73,31
231,88,31
232,233,31
233,342,31
234,354,31
235,401,31
236,412,31
237,419,31
238,420,31
239,421,31
240,422,31
241,493,31
242,537,28
243,74,32
244,89,33
245,390,33
246,430,33
247,67,32
248,259,32
249,328,32
250,368,32
251,535,32
252,541,32
253,543,17
254,544,17
255,109,34
256,118,34
257,348,34
258,413,34
259,468,34
260,469,34
261,164,35
262,211,35
263,241,35
264,326,35
265,340,35
266,376,35
267,377,35
268,524,35
269,107,36
270,117,36
271,348,36
272,413,36
273,445,36
274,505,36
275,9,37
276,95,37
277,1,38
278,3,38
279,66,38
280,84,38
281,86,38
282,108,38
283,139,38
284,153,38
285,154,38
286,164,38
287,175,38
288,211,38
289,236,38
290,241,38
291,246,38
292,252,38
293,316,38
294,318,38
295,326,38
296,340,38
297,356,38
298,400,38
299,432,38
300,464,38
301,487,38
302,513,38
303,7,39
304,57,39
305,79,39
306,96,39
307,97,39
308,128,39
309,147,39
310,149,39
311,179,39
312,209,39
313,231,39
314,232,39
315,243,39
316,249,39
317,257,39
318,367,39
319,526,39
320,109,40
321,118,40
322,258,40
323,10098,40
324,10013,41
325,10084,42
326,395,43
327,387,43
328,396,43
