id,name,description,element,exp,rarity,zeni_to_use,selling_exchange_point
100,Turtle Rock [AGL],Use in training to gain 1000 EXP or more,0,1000,0,100,1
101,Turtle Rock [TEQ],Use in training to gain 1000 EXP or more,1,1000,0,100,1
102,Turtle Rock [INT],Use in training to gain 1000 EXP or more,2,1000,0,100,1
103,Turtle Rock [STR],Use in training to gain 1000 EXP or more,3,1000,0,100,1
104,Turtle Rock [PHY],Use in training to gain 1000 EXP or more,4,1000,0,100,1
200,Turtle Shell (20K) [AGL],Use in training to gain 2000 EXP or more,0,2000,1,200,1
201,Turtle Shell (20K) [TEQ],Use in training to gain 2000 EXP or more,1,2000,1,200,1
202,Turtle Shell (20K) [INT],Use in training to gain 2000 EXP or more,2,2000,1,200,1
203,Turtle Shell (20K) [STR],Use in training to gain 2000 EXP or more,3,2000,1,200,1
204,Turtle Shell (20K) [PHY],Use in training to gain 2000 EXP or more,4,2000,1,200,1
300,Turtle Shell (40K) [AGL],Use in training to gain 4000 EXP or more,0,4000,1,400,1
301,Turtle Shell (40K) [TEQ],Use in training to gain 4000 EXP or more,1,4000,1,400,1
302,Turtle Shell (40K) [INT],Use in training to gain 4000 EXP or more,2,4000,1,400,1
303,Turtle Shell (40K) [STR],Use in training to gain 4000 EXP or more,3,4000,1,400,1
304,Turtle Shell (40K) [PHY],Use in training to gain 4000 EXP or more,4,4000,1,400,1
400,Sacred Water [AGL],Use in training to gain 8000 EXP or more,0,8000,2,800,2
401,Sacred Water [TEQ],Use in training to gain 8000 EXP or more,1,8000,2,800,2
402,Sacred Water [INT],Use in training to gain 8000 EXP or more,2,8000,2,800,2
403,Sacred Water [STR],Use in training to gain 8000 EXP or more,3,8000,2,800,2
404,Sacred Water [PHY],Use in training to gain 8000 EXP or more,4,8000,2,800,2
500,Weighted Clothing [AGL],Use in training to gain 10000 EXP or more,0,10000,2,1000,2
501,Weighted Clothing [TEQ],Use in training to gain 10000 EXP or more,1,10000,2,1000,2
502,Weighted Clothing [INT],Use in training to gain 10000 EXP or more,2,10000,2,1000,2
503,Weighted Clothing [STR],Use in training to gain 10000 EXP or more,3,10000,2,1000,2
504,Weighted Clothing [PHY],Use in training to gain 10000 EXP or more,4,10000,2,1000,2
600,Weighted Boots [AGL],Use in training to gain 18000 EXP or more,0,18000,2,1800,4
601,Weighted Boots [TEQ],Use in training to gain 18000 EXP or more,1,18000,2,1800,4
602,Weighted Boots [INT],Use in training to gain 18000 EXP or more,2,18000,2,1800,4
603,Weighted Boots [STR],Use in training to gain 18000 EXP or more,3,18000,2,1800,4
604,Weighted Boots [PHY],Use in training to gain 18000 EXP or more,4,18000,2,1800,4
700,Weight (2t) [AGL],Use in training to gain 25000 EXP or more,0,25000,3,2500,5
701,Weight (2t) [TEQ],Use in training to gain 25000 EXP or more,1,25000,3,2500,5
702,Weight (2t) [INT],Use in training to gain 25000 EXP or more,2,25000,3,2500,5
703,Weight (2t) [STR],Use in training to gain 25000 EXP or more,3,25000,3,2500,5
704,Weight (2t) [PHY],Use in training to gain 25000 EXP or more,4,25000,3,2500,5
800,Weight (10t) [AGL],Use in training to gain 40000 EXP or more,0,40000,3,3500,8
801,Weight (10t) [TEQ],Use in training to gain 40000 EXP or more,1,40000,3,3500,8
802,Weight (10t) [INT],Use in training to gain 40000 EXP or more,2,40000,3,3500,8
803,Weight (10t) [STR],Use in training to gain 40000 EXP or more,3,40000,3,3500,8
804,Weight (10t) [PHY],Use in training to gain 40000 EXP or more,4,40000,3,3500,8
900,Z-Sword [AGL],Use in training to gain 100000 EXP or more,0,100000,3,5000,20
901,Z-Sword [TEQ],Use in training to gain 100000 EXP or more,1,100000,3,5000,20
902,Z-Sword [INT],Use in training to gain 100000 EXP or more,2,100000,3,5000,20
903,Z-Sword [STR],Use in training to gain 100000 EXP or more,3,100000,3,5000,20
