id,budokai_id,name,league
1,1,League B,0
2,1,League A,1
3,1,League S,2
4,1,League G,3
5,2,League B,0
6,2,League A,1
7,2,League S,2
8,2,League G,3
9,3,League B,0
10,3,League A,1
11,3,League S,2
12,3,League G,3
13,4,League B,0
14,4,League A,1
15,4,League S,2
16,4,League G,3
17,5,League B,0
18,5,League A,1
19,5,League S,2
20,5,League G,3
21,6,League B,0
22,6,League A,1
23,6,League S,2
24,6,League G,3
25,7,League B,0
26,7,League A,1
27,7,League S,2
28,7,League G,3
29,8,League B,0
30,8,League A,1
31,8,League S,2
32,8,League G,3
33,9,League B,0
34,9,League A,1
35,9,League S,2
36,9,League G,3
37,10,League B,0
38,10,League A,1
39,10,League S,2
40,10,League G,3
41,11,League B,0
42,11,League A,1
43,11,League S,2
44,11,League G,3
45,12,League B,0
46,12,League A,1
47,12,League S,2
48,12,League G,3
49,13,League B,0
50,13,League A,1
51,13,League S,2
52,13,League G,3
53,14,League B,0
54,14,League A,1
55,14,League S,2
56,14,League G,3
57,15,League B,0
58,15,League A,1
59,15,League S,2
60,15,League G,3
61,16,League B,0
62,16,League A,1
63,16,League S,2
64,16,League G,3
170,17,League B,0
171,17,League A,1
172,17,League S,2
173,17,League G,3
180,18,League B,0
181,18,League A,1
182,18,League S,2
183,18,League G,3
190,19,League B,0
191,19,League A,1
192,19,League S,2
193,19,League G,3
200,20,League B,0
201,20,League A,1
202,20,League S,2
203,20,League G,3
210,21,League B,0
211,21,League A,1
212,21,League S,2
213,21,League G,3
220,22,League B,0
221,22,League A,1
222,22,League S,2
223,22,League G,3
230,23,League B,0
231,23,League A,1
232,23,League S,2
233,23,League G,3
240,24,League B,0
241,24,League A,1
242,24,League S,2
243,24,League G,3
250,25,League B,0
251,25,League A,1
252,25,League S,2
253,25,League G,3
260,26,League B,0
261,26,League A,1
262,26,League S,2
263,26,League G,3
270,27,League B,0
271,27,League A,1
272,27,League S,2
273,27,League G,3
280,28,League B,0
281,28,League A,1
282,28,League S,2
283,28,League G,3
290,29,League B,0
291,29,League A,1
292,29,League S,2
293,29,League G,3
300,30,League B,0
301,30,League A,1
302,30,League S,2
303,30,League G,3
310,31,League B,0
311,31,League A,1
312,31,League S,2
313,31,League G,3
320,32,League B,0
321,32,League A,1
322,32,League S,2
323,32,League G,3
330,33,League B,0
331,33,League A,1
332,33,League S,2
333,33,League G,3
340,34,League B,0
341,34,League A,1
342,34,League S,2
343,34,League G,3
350,35,League B,0
351,35,League A,1
352,35,League S,2
353,35,League G,3
360,36,League B,0
361,36,League A,1
362,36,League S,2
363,36,League G,3
370,37,League B,0
371,37,League A,1
372,37,League S,2
373,37,League G,3
400,40,League B,0
401,40,League A,1
402,40,League S,2
403,40,League G,3
410,41,League B,0
411,41,League A,1
412,41,League S,2
413,41,League G,3
420,42,League B,0
421,42,League A,1
422,42,League S,2
423,42,League G,3
430,43,League B,0
431,43,League A,1
432,43,League S,2
433,43,League G,3
440,44,League B,0
441,44,League A,1
442,44,League S,2
443,44,League G,3
450,45,League B,0
451,45,League A,1
452,45,League S,2
453,45,League G,3
460,46,League B,0
461,46,League A,1
462,46,League S,2
463,46,League G,3
470,47,League B,0
471,47,League A,1
472,47,League S,2
473,47,League G,3
480,48,League B,0
481,48,League A,1
482,48,League S,2
483,48,League G,3
490,49,League B,0
491,49,League A,1
492,49,League S,2
493,49,League G,3
500,50,League B,0
501,50,League A,1
502,50,League S,2
503,50,League G,3
510,51,League B,0
511,51,League A,1
512,51,League S,2
513,51,League G,3
520,52,League B,0
521,52,League A,1
522,52,League S,2
523,52,League G,3
530,53,League B,0
531,53,League A,1
532,53,League S,2
533,53,League G,3
9210,921,League B,0
9211,921,League A,1
9212,921,League S,2
9213,921,League G,3
9220,922,League B,0
9221,922,League A,1
9222,922,League S,2
9223,922,League G,3
9230,923,League B,0
9231,923,League A,1
9232,923,League S,2
9233,923,League G,3
