id,comment,created_at,updated_at
1,"素材ID=3:20個, 素材ID=8:10個, 素材ID=13:1個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
2,素材ID=3:5個,2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
3,素材ID=3:10個,2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
4,"素材ID=3:10個, 素材ID=8:5個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
5,"素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
6,"素材ID=3:50個, 素材ID=8:25個, 素材ID=13:3個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
7,"素材ID=3:20個, 素材ID=8:15個, 素材ID=13:2個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
8,"素材ID=3:30個, 素材ID=8:15個, 素材ID=13:3個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
9,"必殺技Lv2以上, 素材ID=3:10個, 素材ID=8:5個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
10,"必殺技Lv2以上, 素材ID=3:10個, 素材ID=8:10個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
11,"必殺技Lv6以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
12,"必殺技Lv6以上, 素材ID=3:10個, 素材ID=8:10個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
13,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:10個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
14,"必殺技Lv2以上, 素材ID=3:10個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
15,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:5個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
16,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
17,"必殺技Lv6以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
18,"必殺技Lv8以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
19,"必殺技Lv10以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
20,"必殺技Lv8以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
21,"必殺技Lv10以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
22,"必殺技Lv10以上, 素材ID=3:30個, 素材ID=8:20個, 素材ID=13:3個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
23,"必殺技Lv10以上, 素材ID=3:50個, 素材ID=8:25個, 素材ID=13:3個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
24,"素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個",2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
25,素材ID=1:10個,2024-07-08 11:02:00.067720,2024-07-08 11:02:00.067720
