id,name,kana,description,need_link_num,link_skill_lv_up_prob_set_id
1,High Compatibility,,Ki +1,1,1
2,Courage,,Ki +1,1,1
3,The Students,,DEF +20%,1,1
4,The Innocents,,ATK +10%,1,1
5,Crane School,,ATK +15%,1,1
6,Demonic Ways,,Ki +1,1,1
7,Demonic Power,,ATK +20%,1,1
8,Brainiacs,,ATK & DEF +10%,1,1
9,Golden Warrior,,All enemies' DEF -5% and Ki +1,1,1
10,Money Money Money,,Ki +1,1,1
11,Evil Autocrats,,Ki +1,1,1
12,Flee,,Ki +1 when HP is 30% or below,1,1
13,Telekinesis,,All enemies' DEF -10%,1,1
14,More Than Meets the Eye,,ATK +10%,1,1
15,Hero,,DEF + 20%,1,1
16,Supreme Warrior,,Ki +1,1,1
17,Gentleman,,Ki +2,1,1
18,Brutal Beatdown,,ATK +10%,1,1
19,Messenger from the Future,,ATK +5%,1,1
20,World Tournament Reborn,,ATK +15%,1,1
21,New,,ATK +20%,1,1
22,Saiyan Warrior Race,,ATK +5%,1,1
23,All in the Family,,DEF +15%,1,1
24,Telepathy,,Ki +1,1,1
25,Respect,,ATK +15%,1,1
26,Prodigies,,ATK +10%,1,1
27,World Tournament Champion,,Ki +1,1,1
28,Metamorphosis,,Recover 5% HP,1,1
29,Super Saiyan,,ATK +10%,1,1
30,Experienced Fighters,,ATK +10%,1,1
31,Twin Terrors,,Ki +2,1,1
32,Coward,,Ki +1,1,1
33,Attack of the Clones,,Ki +1,1,1
34,The Saiyan Lineage,,Ki +1,1,1
35,Android Assault,,DEF +10%,1,1
36,Turtle School,,ATK & DEF +10%,1,1
37,Solid Support,,ATK +10% and all enemies' DEF -15%,1,1
38,Mechanical Menaces,,Ki +1,1,1
39,Cold Judgment,,DEF +20%,1,1
40,Royal Lineage,,Ki +1,1,1
41,The Ginyu Force,,ATK + 25%,1,1
42,Infighter,,ATK +10% and all enemies' DEF -10%,1,1
43,Frieza's Minion,,ATK +20%,1,1
44,Champion's Strength,,Ki +1,1,1
45,Z Fighters,,ATK +15%,1,1
46,Dodon Ray,,ATK +10% when performing a Super Attack,1,1
47,Kamehameha,,ATK +5% when performing a Super Attack,1,1
48,Namekians,,Recover 5% HP,1,1
49,Berserker,,ATK +20% when HP is 50% or below,1,1
50,Big Bad Bosses,,ATK & DEF +25% when HP is 80% or below,1,1
51,Frieza's Army,,DEF +20%,1,1
52,Tough as Nails,,DEF +15%,1,1
53,Speedy Retribution,,ATK +10%,1,1
54,Tag Team of Terror,,ATK +15%,1,1
55,RR Army,,ATK +10%,1,1
56,Gaze of Respect,,Ki +2,1,1
57,Bombardment,,ATK +15%,1,1
58,Over 9000,,ATK +10%,1,1
59,Universe’s Most Malevolent,,ATK +15%,1,1
60,Shocking Speed,,Ki +2,1,1
61,Family Ties,,Ki +2,1,1
62,Team Bardock,,Ki +1,1,1
63,Saiyan Pride,,ATK +15%,1,1
64,Battlefield Diva,,Ki +2,1,1
65,Revival,,Ki +2,1,1
66,Dismal Future,,Ki +1,1,1
67,Organic Upgrade,,Ki +2,1,1
68,Resurrection 'F',,ATK +10%,1,1
69,Patrol,,Ki +2,1,1
70,Warrior Gods,,ATK +10%,1,1
71,Super-God Combat,,ATK +15%,1,1
72,New Frieza Army,,ATK & DEF +20%,1,1
73,Loyalty,,Ki +1,1,1
74,Unbreakable Bond,,Ki +2,1,1
75,Galactic Visitor,,Ki +1,1,1
76,Master of Magic,,ATK +15%,1,1
77,Majin Resurrection Plan,,Ki +2,1,1
79,Connoisseur,,Recover 5% HP,1,1
80,Godly Power,,ATK +15%,1,1
81,Energy Absorption,,Ki +2,1,1
82,Budding Warrior,,ATK +10%,1,1
83,Majin,,ATK & DEF +10%,1,1
84,Strength in Unity,,Ki +1,1,1
85,Strongest Clan in Space,,Ki +2,1,1
86,Thirst for Conquest,,ATK +15%,1,1
87,The Hera Clan,,Ki +2,1,1
88,Galactic Warriors,,ATK +20%,1,1
89,Over in a Flash,,Ki +3,1,1
90,The Incredible Adventure,,Ki +2,1,1
91,Cooler's Underling,,Ki +1,1,1
92,Cooler's Armored Squad,,ATK +25%,1,1
93,Hero of Justice,,ATK +25%,1,1
94,Signature Pose,,Ki +2,1,1
95,GT,,Ki +2,1,1
96,Infinite Regeneration,,Recover 3% HP,1,1
97,Prepared for Battle,,Ki +2,1,1
98,Destroyer of the Universe,,ATK +25%,1,1
100,Team Turles,,Ki +1,1,1
101,Fortuneteller Baba’s Fighter,,Ki +2,1,1
102,Guidance of the Dragon Balls,,ATK +20%,1,1
103,Power Bestowed by God,,ATK +5% when performing a Super Attack,1,1
104,Hardened Grudge,,Ki +1,1,1
105,Auto Regeneration,,Recover 3% HP,1,1
106,Fusion,,Ki +2,1,1
107,Deficit Boost,,ATK +15%,1,1
108,Ultimate Lifeform,,Ki +2,1,1
109,Fierce Battle,,ATK +15%,1,1
110,Infinite Energy,,Ki +2,1,1
111,Formidable Enemy,,ATK +10%,1,1
112,Fused Fighter,,Ki +2,1,1
113,Fusion Failure,,Recover 3% HP,1,1
114,Scientist,,Ki +2,1,1
115,Hatred of Saiyans,,Ki +2,1,1
116,Limit-Breaking Form,,ATK +5% when performing a Super Attack,1,1
117,The First Awakened,,ATK +25%,1,1
118,Shattering the Limit,,Ki +2,1,1
119,Nightmare,,ATK +10%,1,1
120,Fear and Faith,,Ki +2,1,1
121,Xenoverse,,ATK +20%,1,1
122,Super Strike,,ATK +20%,1,1
123,Transform,,Ki +2,1,1
124,Saiyan Roar,,ATK +25%,1,1
125,Legendary Power,,ATK +10% when performing a Super Attack,1,1
126,Warriors of Universe 6 ,,Ki +2,1,1
127,Shadow Dragons,,ATK +15%,1,1
128,Penguin Village Adventure,,ATK +15%,1,1
129,Otherworld Warriors,,ATK +20%,1,1
130,Tournament of Power,,Ki +3,1,1
1000,Blazing Battle,,"Disables enemy's Rampage, and ATK +15%",1,1
1001,Soul vs Soul,,Weakens Regeneration and Ki +1,1,1
1002,Golden Z-Fighter,,Ki +2,1,1
1003,Supreme Power,,ATK & DEF +5% and activates Penetration,1,1
1004,The Wall Standing Tall,,"Foils enemy's ""True Power"" and boosts ATK 
by 15%",1,1
