id,help_id,image_path,description,created_at,updated_at
1,1,,"You can edit the team you wish to take with you on Quests
in the {color: #FFFF00}Team{color} menu.
 
You can choose {color: #FFFF00}up to 6 characters{color} per team.",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
2,1,images/en/help/1_1_1.png,"Characters that have an identical name and 
second name cannot be included on the same 
team (certain characters excluded).",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
3,1,,"Any empty character slots on the team will 
be filled with Saibaimen during battle.",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
4,2,,"Perform “Training” to obtain Character EXP. 
Strength up your characters by obtaining EXP and leveling up.

The instructions for {color : #FFFF00 }“Training”{color} are as follows:

Step 1: Select a Training Character to Train 
Step 2: Select a Training Location 
Step 3: Select Training Partners and Training Items 
(choose either one or both)",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
5,2,images/en/help/help_training_01_03_01.png,"Required Zeni for ""Training""
When you choose to train with Training Partners, 
the required amount of Zeni will vary 
according to the level of Training Character.
When you choose to train with Training Items, 
the required amount of Zeni will vary depending 
on the kinds of Training Items, regardless of 
the level of Training Character.


{size : 24}{color : #FFFF00}{outline : #FF0000, 2}Undergo Training with only
Training Items!{outline}{color}{size}",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
6,3,,"
You can increase a character's stats through {color: #FFFF00}Awakening{color}. 

There are five types of Awakening: 
1. Awakening 
2. Z-Awakening 
3. Dokkan Awakening 
4. Extreme Z-Awakening 
5. Super Extreme Z-Awakening 

* Numbers 3, 4 and 5 are only available 
to certain characters.

The following explanation applies to number 1 
(Awakening) only. 

Awakening requires Awakening Medals and Zeni, 
and the required quantity varies by character.",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
7,3,images/en/help/1_3_1_01.png,"Touch the icon of the Awakening Medals that you wish to use,
and then touch the ""Awakening"" icon to awaken the character.

A character doesn't get any EXP from ""Awakening.""
However, you can perform an Awakening regardless of the
character's level.
Once you have collected the required Medals,
You can perform an Awakening right away!",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
8,4,,"By {color: #FFFF00}Z-Awakening{color} your characters, 
you can greatly increase their stats.

Also, the character's Rarity will be upped, their Type will be 
enhanced and their max level will be increased.

Z-Awakening can take place only when:
1: The character's level is at maximum
2: All the required Awakening Medals have been obtained
3: The required amount of Zeni has been obtained",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
9,4,images/en/help/1_4_1_01.png,"The character's Super Attack level will be 
carried over after Z-Awakening.",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
10,5,,"By {color: #FFFF00}Dokkan Awakening{color},  you can push the potential of 
a character to a whole new level!",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
11,5,images/en/help/1_5.png,"Dokkan Awakening requires the following: 
1. A max level Z-Awakened character. 
2. All necessary Awakening Medals. 
3. The necessary amount of Zeni. 

A Dokkan Awakened character will be treated as a new 
character, which means the character's level will revert to 1. 
(The character's Super Attack level will be carried over.) 

After Dokkan Awakening, characters can be 
leveled up or Z-Awakened once more 
for even greater power! 

Please note that Dokkan Awakened characters generally 
cannot be reverted to their pre-awakened state. 

Only transcended UR (Max Lv. 120) and LR characters 
can use Reverse to revert to their pre-Dokkan Awakened state. 

* Not all characters can be Dokkan Awakened. 
In addition, some characters cannot be Z-Awakened 
after Dokkan Awakening.",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
12,5,,"*If after Dokkan Awakening the character's name changes, 
their Super Attack level will not increase when using them as 
Training Partners.",2024-07-16 08:42:44.495098,2024-07-16 08:42:44.495098
