id,root_support_memory_id,level,support_memory_id,enhanced_support_memory_id
1,10001,2,10001,100012
2,10001,3,100012,100013
3,20001,2,20001,200012
4,20001,3,200012,200013
5,30001,2,30001,300012
6,30001,3,300012,300013
7,40001,2,40001,400012
8,40001,3,400012,400013
9,50001,2,50001,500012
10,50001,3,500012,500013
11,20008,2,20008,200082
12,20008,3,200082,200083
13,20008,4,200083,200084
14,20008,5,200084,200085
15,30005,2,30005,300052
16,30005,3,300052,300053
17,30005,4,300053,300054
18,30005,5,300054,300055
19,20011,2,20011,200112
20,20011,3,200112,200113
21,20011,4,200113,200114
22,20011,5,200114,200115
23,40005,2,40005,400052
24,40005,3,400052,400053
25,40005,4,400053,400054
26,40005,5,400054,400055
27,40004,2,40004,400042
28,40004,3,400042,400043
29,40004,4,400043,400044
30,40004,5,400044,400045
31,10002,2,10002,100022
32,10002,3,100022,100023
33,50007,2,50007,500072
34,50007,3,500072,500073
35,50007,4,500073,500074
36,50007,5,500074,500075
37,20004,2,20004,200042
38,20004,3,200042,200043
39,20004,4,200043,200044
40,20004,5,200044,200045
41,50004,2,50004,500042
42,50004,3,500042,500043
43,50004,4,500043,500044
44,50004,5,500044,500045
45,50003,2,50003,500032
46,50003,3,500032,500033
51,50005,2,50005,500052
52,50005,3,500052,500053
53,50005,4,500053,500054
54,50005,5,500054,500055
55,40008,2,40008,400082
56,40008,3,400082,400083
57,40008,4,400083,400084
58,40008,5,400084,400085
