id,name,description,start_at,end_at,collecting_end_at,result_end_at,mission_reward_image_path,banner_image_path,home_banner_image_path,listbutton_image_path,entry_script_id,description_script_id,enable_battle_auto,created_at,updated_at
1,The 1st World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2015-07-06 09:00:00,2015-07-13 12:59:59,2015-07-14 12:59:59,2015-07-20 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
2,The 2nd World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2015-08-04 08:00:00,2015-08-10 12:59:59,2015-08-11 12:59:59,2015-08-25 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
3,The 1st World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2015-12-18 08:10:00,2015-12-23 07:59:59,2015-12-25 03:59:59,2016-01-05 07:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
4,The 2nd World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-01-19 08:10:00,2016-01-25 07:59:59,2016-01-26 07:59:59,2016-02-08 07:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
5,The 3rd World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-02-12 08:10:00,2016-02-19 07:59:59,2016-02-20 07:59:59,2016-03-04 07:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
6,The 4th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-03-31 08:10:00,2016-04-06 07:59:59,2016-04-07 07:59:59,2016-04-20 07:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
7,The 5th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-04-29 08:10:00,2016-05-04 07:59:59,2016-05-05 07:59:59,2016-05-19 07:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
8,The 8th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-07-29 06:30:00,2016-08-03 05:59:59,2016-08-04 05:59:59,2016-08-18 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
9,The 6th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-05-31 06:10:00,2016-06-06 05:59:59,2016-06-07 05:59:59,2016-06-21 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
10,The 7th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-06-29 06:10:00,2016-07-04 05:59:59,2016-07-05 05:59:59,2016-07-19 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
11,The 9th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-09-08 06:30:00,2016-09-12 05:59:59,2016-09-13 05:59:59,2016-09-27 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
12,The 10th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-09-30 06:30:00,2016-10-04 05:59:59,2016-10-05 05:59:59,2016-10-19 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
13,The 11th World Tournament,"トーナメントを勝ち上がって優勝を目指そう!!
ガシャチケットや龍石など豪華報酬が獲得できるぞ!!",2016-12-15 06:30:00,2016-12-19 05:59:59,2016-12-20 05:59:59,2017-01-03 05:59:59,images/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,banners/en/budokai/banner/budokai.png,100,200,0,2024-07-24 07:39:24.500424,2024-07-24 07:39:24.500424
