id,mission_id,item_id,item_type,quantity,card_exp_init,announcement_priority,announcement_label
101,101,10001,Dragonball,1,0,,
102,102,10002,Dragonball,1,0,,
103,103,10003,Dragonball,1,0,,
104,104,10004,Dragonball,1,0,,
105,105,10005,Dragonball,1,0,,
106,106,10006,Dragonball,1,0,,
107,107,10007,Dragonball,1,0,,
108,108,10008,Dragonball,1,0,,
109,109,10009,Dragonball,1,0,,
110,110,10010,Dragonball,1,0,,
111,111,10011,Dragonball,1,0,,
112,112,10012,Dragonball,1,0,,
113,113,10013,Dragonball,1,0,,
114,114,10014,Dragonball,1,0,,
115,115,10015,Dragonball,1,0,,
116,116,10016,Dragonball,1,0,,
117,117,10017,Dragonball,1,0,,
118,118,10018,Dragonball,1,0,,
119,119,10019,Dragonball,1,0,,
120,120,10020,Dragonball,1,0,,
121,121,10021,Dragonball,1,0,,
201,201,10022,Dragonball,1,0,,
202,202,10023,Dragonball,1,0,,
203,203,10024,Dragonball,1,0,,
204,204,10025,Dragonball,1,0,,
205,205,10026,Dragonball,1,0,,
206,206,10027,Dragonball,1,0,,
207,207,10028,Dragonball,1,0,,
301,301,10029,Dragonball,1,0,,
302,302,10030,Dragonball,1,0,,
303,303,10031,Dragonball,1,0,,
304,304,10032,Dragonball,1,0,,
305,305,10033,Dragonball,1,0,,
306,306,10034,Dragonball,1,0,,
307,307,10035,Dragonball,1,0,,
308,308,10036,Dragonball,1,0,,
309,309,10037,Dragonball,1,0,,
310,310,10038,Dragonball,1,0,,
311,311,10039,Dragonball,1,0,,
312,312,10040,Dragonball,1,0,,
313,313,10041,Dragonball,1,0,,
314,314,10042,Dragonball,1,0,,
315,315,10043,Dragonball,1,0,,
316,316,10044,Dragonball,1,0,,
317,317,10045,Dragonball,1,0,,
318,318,10046,Dragonball,1,0,,
319,319,10047,Dragonball,1,0,,
320,320,10048,Dragonball,1,0,,
321,321,10049,Dragonball,1,0,,
1001,1001,1,SupportItem,10,0,,
1002,1002,5002,Point::GashaPoint,1,0,,
1003,1003,11,Point::Stone,1,0,,
1004,1004,300,TrainingItem,5,0,,
1005,1005,303,TrainingItem,5,0,,
1006,1006,304,TrainingItem,5,0,,
1007,1007,302,TrainingItem,5,0,,
1008,1008,301,TrainingItem,5,0,,
1009,1009,2,TrainingField,5,0,,
1010,1010,100003,Point::Zeni,1,0,,
1011,1011,2,SupportItem,5,0,,
1012,1012,1201,SupportItem,5,0,,
1013,1013,1002,SupportItem,5,0,,
1014,1014,1100,SupportItem,5,0,,
1015,1015,1401,SupportItem,5,0,,
1016,1016,1508,SupportItem,5,0,,
1017,1017,1603,SupportItem,5,0,,
1018,1018,1202,SupportItem,5,0,,
1019,1019,11,Point::Stone,1,0,,
1020,1020,11,Point::Stone,1,0,,
1021,1021,11,Point::Stone,1,0,,
1022,1022,11,Point::Stone,1,0,,
1023,1023,100003,Point::Zeni,1,0,,
1024,1024,500003,Point::Zeni,1,0,,
1025,1025,5002,Point::GashaPoint,1,0,,
1026,1026,2,TrainingField,5,0,,
1027,1027,11,Point::Stone,1,0,,
1028,1028,11,Point::Stone,1,0,,
1029,1029,11,Point::Stone,1,0,,
1030,1030,11,Point::Stone,1,0,,
1031,1031,21,Point::Stone,1,0,,
1032,1032,31,Point::Stone,1,0,,
1033,1033,19,AwakeningItem,1,0,,
1034,1034,20,AwakeningItem,1,0,,
1035,1035,5002,Point::GashaPoint,8,0,,
1036,1036,5002,Point::GashaPoint,8,0,,
1037,1037,11,Point::Stone,1,0,,
1038,1038,11,Point::Stone,1,0,,
1039,1039,11,Point::Stone,1,0,,
1040,1040,11,Point::Stone,1,0,,
1041,1041,11,Point::Stone,1,0,,
1042,1042,11,Point::Stone,5,0,,
2001,2001,20002,Point::GashaPoint,1,0,,
2002,2002,20002,Point::GashaPoint,1,0,,
2003,2003,500,TrainingItem,5,0,,
2004,2004,503,TrainingItem,5,0,,
2005,2005,504,TrainingItem,5,0,,
2006,2006,502,TrainingItem,5,0,,
2007,2007,501,TrainingItem,5,0,,
2008,2008,3,TrainingField,5,0,,
2009,2009,3,TrainingField,5,0,,
2010,2010,1000003,Point::Zeni,1,0,,
2011,2011,1000003,Point::Zeni,1,0,,
2012,2012,1000003,Point::Zeni,1,0,,
2013,2013,1000003,Point::Zeni,1,0,,
2014,2014,1000003,Point::Zeni,1,0,,
2015,2015,1203,SupportItem,5,0,,
2016,2016,1502,SupportItem,5,0,,
2017,2017,1000,SupportItem,5,0,,
2018,2018,3,SupportItem,10,0,,
2019,2019,1503,SupportItem,10,0,,
2020,2020,3,TrainingField,5,0,,
2021,2021,11,Point::Stone,1,0,,
2022,2022,51,Point::Stone,1,0,,
2023,2023,4,TrainingField,5,0,,
2024,2024,1000003,Point::Zeni,1,0,,
2025,2025,4,TrainingField,5,0,,
2026,2026,11,Point::Stone,1,0,,
2027,2027,11,Point::Stone,1,0,,
2028,2028,3,SupportItem,10,0,,
2029,2029,4,SupportItem,10,0,,
2030,2030,11,Point::Stone,1,0,,
2031,2031,11,Point::Stone,1,0,,
2032,2032,11,Point::Stone,1,0,,
2033,2033,11,Point::Stone,1,0,,
2034,2034,11,Point::Stone,1,0,,
2035,2035,11,Point::Stone,1,0,,
2036,2036,11,Point::Stone,1,0,,
2037,2037,11,Point::Stone,1,0,,
2038,2038,11,Point::Stone,1,0,,
2039,2039,1002,SupportItem,10,0,,
2040,2040,1000,SupportItem,10,0,,
2041,2041,11,Point::Stone,1,0,,
2042,2042,11,Point::Stone,1,0,,
2043,2043,11,Point::Stone,1,0,,
2044,2044,1002,SupportItem,10,0,,
2045,2045,1000,SupportItem,10,0,,
2046,2046,11,Point::Stone,1,0,,
2047,2047,11,Point::Stone,1,0,,
2048,2048,11,Point::Stone,1,0,,
3001,3001,900,TrainingItem,5,0,,
3002,3002,903,TrainingItem,5,0,,
3003,3003,904,TrainingItem,5,0,,
3004,3004,902,TrainingItem,5,0,,
3005,3005,901,TrainingItem,5,0,,
3006,3006,900,TrainingItem,5,0,,
