id,area_id,type,conditions,comment
1,140,AreaCondition::Potential,"{""is_releaseable"":true}",月曜：潜在能力イベ
2,141,AreaCondition::Potential,"{""is_releaseable"":true}",火曜：潜在能力イベ
3,142,AreaCondition::Potential,"{""is_releaseable"":true}",水曜：潜在能力イベ
4,143,AreaCondition::Potential,"{""is_releaseable"":true}",木曜：潜在能力イベ
5,144,AreaCondition::Potential,"{""is_releaseable"":true}",金曜：潜在能力イベ
6,146,AreaCondition::Potential,"{""is_releaseable"":true}",全曜日：潜在能力イベ
7,940,AreaCondition::Potential,"{""is_releaseable"":true}",月曜：潜在能力イベ
8,941,AreaCondition::Potential,"{""is_releaseable"":true}",火曜：潜在能力イベ
9,942,AreaCondition::Potential,"{""is_releaseable"":true}",水曜：潜在能力イベ
10,943,AreaCondition::Potential,"{""is_releaseable"":true}",木曜：潜在能力イベ
11,944,AreaCondition::Potential,"{""is_releaseable"":true}",金曜：潜在能力イベ
12,946,AreaCondition::Potential,"{""is_releaseable"":true}",全曜日：潜在能力イベ
13,149,AreaCondition::Potential,"{""is_releaseable"":true}",全曜日：潜在能力イベ
