id,budokai_id,order,ranking
1,1,1,1 - 100th place
2,1,2,"101 - 1,000th place"
3,1,3,1001 - 2500th place
4,1,4,"2,501 - 5,000th place"
5,1,5,"5,001 - 10,000th place"
6,1,6,"10,001 - 20,000th place"
7,1,7,"20,001 - 30,000th place"
8,1,8,"30,001 - 40,000th place"
9,1,9,"40,001 - 50,000th place"
10,1,10,"50,001 - 750,00th place"
11,1,11,"75,001 - 100,000th place"
12,1,12,A rank of 3 repeated digits
13,1,13,A rank of 4 repeated digits
14,1,14,A rank of 5 repeated digits
15,2,1,1 - 100th place
16,2,2,"101 - 1,000th place"
17,2,3,1001 - 2500th place
18,2,4,"2,501 - 5,000th place"
19,2,5,"5,001 - 10,000th place"
20,2,6,"10,001 - 20,000th place"
21,2,7,"20,001 - 30,000th place"
22,2,8,"30,001 - 50,000th place"
23,2,9,"50,001 - 100,000th place"
24,2,10,"100,001 - 200,000th place"
25,2,11,A rank of 3 repeated digits
26,2,12,A rank of 4 repeated digits
27,2,13,A rank of 5 repeated digits
28,3,1,1 - 100th place
29,3,2,"101 - 1,000th place"
30,3,3,1001 - 2500th place
31,3,4,"2,501 - 5,000th place"
32,3,5,"5,001 - 10,000th place"
33,3,6,"10,001 - 20,000th place"
34,3,7,"20,001 - 30,000th place"
35,3,8,"30,001 - 50,000th place"
36,3,9,"50,001 - 75,000th place"
37,3,10,"75,001 - 100,000th place"
38,3,11,"100,001 - 200,000th place"
39,3,12,A rank of 3 repeated digits
40,3,13,A rank of 4 repeated digits
41,3,14,A rank of 5 repeated digits
42,4,1,1st
43,4,2,2nd
44,4,3,3rd
45,4,4,4 - 10th place
46,4,5,11 - 100th place
47,4,6,101 - 1000th place
48,4,7,1001 - 2500th place
49,4,8,"2,501 - 5,000th place"
50,4,9,"5,001 - 10,000th place"
51,4,10,"10,001 - 20,000th place"
52,4,11,"20,001 - 30,000th place"
53,4,12,"30,001 - 50,000th place"
54,4,13,"50,001 - 75,000th place"
55,4,14,"75,001 - 100,000th place"
56,4,15,"100,001 - 200,000th place"
57,4,16,A rank of 3 repeated digits
58,4,17,A rank of 4 repeated digits
59,4,18,A rank of 5 repeated digits
60,5,1,1st
61,5,2,2nd
62,5,3,3rd
63,5,4,4 - 10th place
64,5,5,11 - 100th place
65,5,6,101 - 1000th place
66,5,7,1001 - 2500th place
67,5,8,"2,501 - 5,000th place"
68,5,9,"5,001 - 10,000th place"
69,5,10,"10,001 - 20,000th place"
