id,card_id,exp,created_at,updated_at
1,1002630,765122,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
2,1002640,93879,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
3,1002650,11333,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
4,1005480,765122,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
5,1011480,765122,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
6,1011481,1500000,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
7,1013780,2886279,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
8,1013781,5000000,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
9,1023820,765122,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
10,1023821,1500000,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
11,1028070,765122,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
12,1028640,765122,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
13,1029211,1500000,2024-07-24 07:39:52.522200,2024-07-24 07:39:52.522200
