id,budokai_help_id,image_path,description,created_at,updated_at
1,1,,"During the event period, you can tap the ""Start"" button located 
on the Home Screen then tap on ""World Tournament"" to access 
the World Tournament main page.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
2,1,images/en/help_ten1/1_1_1_2.png,"You can participate in {color: #FFFF00}tournaments{color} during 
the event period of the World Tournament. 

A tournament consists of various rounds (preliminaries, 
semifinals, etc.), and in each round, players will 
compete against each other to see who can collect 
the most {color: #FFFF00}Tournament Points{color}.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
3,1,images/en/help_ten1/1_1_2.png,"Fight your way through the tournament, earn 
Tournament Points and claim the coveted seat of champion! 

Rack up Tournament Points to enter the rankings 
and win rewards!",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
4,1,images/en/help_ten1/8.png,"There is no limit to how many times you can 
enter a tournament during the event period, 
so don't give up even if you are defeated!",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
5,2,,"You can enter the World Tournament at any time 
when the ""{color: #FFFF00}Participate{color}"" button is available 
on the World Tournament main page.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
6,2,images/en/help_ten1/1_2_1.png,"You can pick up from a previous tournament session
by tapping the ""{color: #FFFF00}Continue{color}"" button.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
7,2,,"The team participating in a tournament can also 
be selected in Quests and Events. However, please 
note that the {color: #FFFF00}formation{color} of that team cannot be edited 
until the current tournament session is over.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
8,2,images/en/help_ten1/1_2_2.png,"After a round concludes, you will immediately proceed 
to the next one without the team's HP being recovered, 
so keep an eye on your item stock. 

A tournament session will end when the following 
situations occur. 
- Winning in the final. 
- Retiring during the session. 
- Game over resulted from 0 HP. 
- Failing to proceed to the next round. 
- Selecting ""Abandon Quest"" during battles.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
9,3,,"Your performance in the World Tournament is judged by 
the number of your {color: #FFFF00}Tournament Points{color}, which can be 
earned through winning rounds (e.g. the preliminary), 
winning battles or landing on certain tiles. 

The sum of these points will be the {color: #FFFF00}""Points Earned""{color}.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
10,3,images/en/help_ten1/1_3_1.png,"Your {color: #FFFF00}""Total Tournament Points""{color} represent your 
overall performance during the event period. 

When a round (preliminaries, semifinals, finals, etc.) is over, 
the Tournament Points you have earned in that round will 
be added to your Total Tournament Points.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
11,3,images/en/help_ten1/9.png,"If you choose to retire in the middle of a tournament, 
all the points you earned before retiring will be added 
to your Total Tournament Points. However, if you are 
defeated (GAME OVER) or choose to ""Abandon Quest"" 
on the map (battles), the points you earned in that round 
will be discarded and only the other points earned in that 
tournament will be added to your Total Tournament Points. 

To play it safe or to aim to become champion- 
make your choices strategically and wisely 
based on your team's strength. 

Please note that if you win battles after the event period 
of the World Tournament ends, the points collected will 
not be added to your Total Tournament Points. 

Your Total Tournament Points will be reset 
when the World Tournament ends.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
12,4,,The {color: #FFFF00}rankings{color} are based on your {color: #FFFF00}Total Tournament Points{color}.,2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
13,4,images/en/help_ten1/1_4_1.png,"Your ranking at the end of the World Tournament will 
decide the rewards you will get. (Players with the same 
Total Tournament Points will get the same ranking.) 

You can tap the ""Switch"" button to check the number 
of wins or the longest win streak. 

* During the event period, rankings are not updated 
in real time. It may take several minutes before the 
latest information appears.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
14,5,,"Your {color: #FFFF00}""Tier""{color} will be raised as you accumulate
{color: #FFFF00}Total Tournament Points{color}.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
15,5,images/en/help_ten1/1_5_1.png,"All players will start from ""Pilaf Tier"" at the commencement 
of the World Tournament. Try your best to defeat other 
competitors and aim to raise your Tier! 

The Tiers are divided into 4 leagues. The higher the league, 
the better the rewards you will receive.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
16,16,,"In the World Tournament, you will not be able to enjoy 
the benefits your {color: #FFFF00}Friend{color} grants you in Quests. 

1. The Leader Skill of your Friend will not be activated.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
17,16,images/en/help_ten1/1_6_1.png,2. You will not receive Friend Points.,2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
18,6,,"Just like in Quests, in the World Tournament you move
according to the number button on which you tap.

* The number buttons are generated randomly. ",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
19,6,images/en/help_ten1/2_1_1.png,"In the World Tournament, your opponents will also 
select numbers to move around on the map. 
After everyone has selected a number, the player 
with the smallest number will move first.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
20,7,,"Like normal Quests, there are different kinds of {color: #FFFF00}tiles{color} 
on the map in the World Tournament.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
21,7,images/en/help_ten1/2_2_1.png,"After a certain number of rounds, 
the tiles will reappear on the map. 

Your opponents can also run into different 
kinds of events when they land on tiles, 
so try to land on tiles you are aiming for 
before your opponent does! 

In addition, special tiles that do not appear 
in Quests will appear in the World Tournament. 

{color: #FFFF00}Meat Buns{color}",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
