id,card_id,attack,hp,element,rarity,series,number,description,open_at,created_at,updated_at
1000020,1000020,7000,8400,21,2,2,44,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000080,1000080,2450,3700,1,0,3,104,Can be recruited from Summons.,2021-09-06 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000210,1000210,3800,5700,22,1,2,55,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000220,1000220,4050,6100,21,1,2,57,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000230,1000230,4050,6100,23,1,3,93,Can be recruited from Summons.,2021-09-06 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000240,1000240,4150,6200,24,1,2,56,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000260,1000260,4150,6200,20,1,11,387,Can be recruited from Summons.,2023-06-27 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000280,1000280,2550,3800,0,0,2,61,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000360,1000360,2350,3500,4,0,1,33,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000370,1000370,2800,4200,3,0,1,28,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000390,1000390,2600,3900,1,0,2,67,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000400,1000400,2750,4100,4,0,2,71,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000410,1000410,2750,4100,0,0,2,70,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000420,1000420,2800,4200,1,0,2,72,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000450,1000450,2250,3400,2,0,11,405,Can be recruited from Summons.,2023-06-27 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000510,1000510,2250,3400,3,0,1,34,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000520,1000520,2650,4000,4,0,1,29,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000530,1000530,2400,3600,2,0,1,32,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000540,1000540,2600,3900,0,0,1,30,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000550,1000550,2550,3800,3,0,1,31,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000580,1000580,2000,3000,2,0,4,140,Can be recruited from Summons.,2021-12-15 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000600,1000600,2600,3900,4,0,3,110,Can be recruited from Summons.,2021-09-06 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000610,1000610,2150,3200,1,0,4,144,Can be recruited from Friend Summons.,2021-12-15 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000620,1000620,2150,3200,1,0,4,145,Can be recruited from Friend Summons.,2021-12-15 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000710,1000710,2000,3000,3,0,1,36,Can be recruited from Quests or Friend Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000750,1000750,2100,3150,1,0,13,479,Can be recruited from Friend Summons.,2023-12-19 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000790,1000790,2000,3000,1,0,1,37,Can be recruited from Quests or Friend Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000820,1000820,2350,3500,2,0,13,469,Can be recruited from Summons.,2023-12-19 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000850,1000850,3800,5700,10,1,1,10,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000970,1000970,2450,3700,4,0,2,68,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1000990,1000990,2600,3900,0,0,14,513,Can be recruited from Summons.,2024-02-23 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001010,1001010,2850,4300,3,0,14,515,Can be recruited from Summons.,2024-02-23 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001020,1001020,2950,4400,0,0,11,392,Can be recruited from Summons.,2023-06-27 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001230,1001230,2550,3800,3,0,2,69,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001250,1001250,2400,3600,0,0,3,107,Can be recruited from Summons.,2021-09-06 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001260,1001260,2600,3900,4,0,14,514,Can be recruited from Summons.,2024-02-23 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001360,1001360,2150,3200,2,0,1,35,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001370,1001370,2100,3150,0,0,4,138,Can be recruited from Summons.,2021-12-15 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001380,1001380,2800,4200,2,0,11,398,Can be recruited from Summons.,2023-06-27 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001530,1001530,3850,5800,20,1,1,21,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001580,1001580,7250,8700,21,2,1,8,Currently unable to be recruited.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001590,1001590,6900,8300,12,2,2,41,Can be recruited from Summons.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001610,1001610,4050,6100,24,1,1,16,Can be recruited from Baba's Shop.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001620,1001620,3800,5700,10,1,1,14,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001680,1001680,3750,5600,10,1,1,13,Can be recruited from Summons.,2021-05-25 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001690,1001690,3050,4550,2,0,10,363,Can be recruited from Summons.,2023-04-24 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001700,1001700,6900,8300,13,2,14,485,Can be recruited from Summons.,2024-02-23 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001710,1001710,2550,3800,3,0,3,105,Can be recruited from Summons.,2021-09-06 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001720,1001720,2800,4200,4,0,3,106,Can be recruited from Summons.,2021-09-06 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001750,1001750,2450,3700,4,0,2,60,Currently unable to be recruited.,2021-07-26 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001760,1001760,3150,4750,1,0,13,466,Can be recruited from Summons.,2023-12-19 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001770,1001770,2950,4400,0,0,11,399,Can be recruited from the World Tournament Ticket Summon.,2023-06-27 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
1001800,1001800,2800,4200,3,0,10,361,Can be recruited from Summons.,2023-04-24 06:30:00,2024-07-16 08:39:35.068351,2024-07-16 08:39:35.068351
