id,card_id,category,filename
1,1000450,10002,ak1000
2,1000450,10002,ak1001
3,1000450,10004,bk1000
4,1000450,10004,bk1001
5,1000500,20002,
6,1000500,20004,
7,1000560,20002,
8,1000560,20004,
9,1000580,20002,
10,1000580,20004,
11,1000590,20002,
12,1000590,20004,
13,1000610,20002,
14,1000610,20004,
15,1000620,20002,
16,1000620,20004,
17,1000630,20002,
18,1000630,20004,
19,1000640,20002,
20,1000640,20004,
21,1000650,20002,
22,1000650,20004,
23,1000670,20002,
24,1000670,20004,
25,1000680,20002,
26,1000680,20004,
27,1000690,20002,
28,1000690,20004,
29,1000740,20002,
30,1000740,20004,
31,1000750,20002,
32,1000750,20004,
33,1000760,20002,
34,1000760,20004,
35,1000770,10002,ak1000
36,1000770,10002,ak1001
37,1000770,10004,bk1000
38,1000770,10004,bk1001
39,1000800,10002,ak1000
40,1000800,10002,ak1001
41,1000800,10004,bk1000
42,1000800,10004,bk1001
43,1000820,20002,
44,1000820,20004,
45,1001040,20002,
46,1001040,20004,
47,1001280,20002,
48,1001280,20004,
49,1001340,20002,
50,1001340,20004,
51,1001370,20002,
52,1001370,20004,
53,3000010,20002,
54,3000010,20004,
55,3000020,20002,
56,3000020,20004,
57,3000030,20002,
58,3000030,20004,
59,3000040,20002,
60,3000040,20004,
61,3000050,20002,
62,3000050,20004,
63,3000060,20002,
64,3000060,20004,
65,3000070,20002,
66,3000070,20004,
67,3000080,20002,
68,3000080,20004,
69,3000090,20002,
70,3000090,20004,
71,3000100,20002,
72,3000100,20004,
73,3000110,20002,
74,3000110,20004,
75,3000120,20002,
76,3000120,20004,
77,3000130,20002,
78,3000130,20004,
79,3000140,20002,
80,3000140,20004,
81,3000150,20002,
82,3000150,20004,
83,3000160,20002,
84,3000160,20004,
85,3000170,20002,
86,3000170,20004,
87,3000180,20002,
88,3000180,20004,
89,3000190,20002,
90,3000190,20004,
91,3000200,20002,
92,3000200,20004,
93,3000210,20002,
94,3000210,20004,
95,3000220,20002,
96,3000220,20004,
97,3000230,20002,
98,3000230,20004,
99,3000240,20002,
100,3000240,20004,
101,3000250,20002,
102,3000250,20004,
103,3000260,20002,
104,3000260,20004,
105,3000270,20002,
106,3000270,20004,
107,3000280,20002,
108,3000280,20004,
109,3000290,20002,
110,3000290,20004,
111,3000300,20002,
112,3000300,20004,
113,3000310,10001,a0002
114,3000310,10002,b0013
115,3000310,10003,ak1000
116,3000310,10003,ak1001
117,3000310,10004,ak1000
118,3000310,10004,ak1001
119,3000320,10001,a0002
120,3000320,10002,b0013
121,3000320,10003,ak1000
122,3000320,10003,ak1001
123,3000320,10004,ak1000
124,3000320,10004,ak1001
125,3000330,10001,a0002
126,3000330,10002,b0013
127,3000330,10003,ak1000
128,3000330,10003,ak1001
129,3000330,10004,ak1000
130,3000330,10004,ak1001
131,3000340,10001,a0002
132,3000340,10002,b0013
133,3000340,10003,ak1000
134,3000340,10003,ak1001
135,3000340,10004,ak1000
136,3000340,10004,ak1001
137,3000350,10001,a0002
138,3000350,10002,b0013
139,3000350,10003,ak1000
140,3000350,10003,ak1001
141,3000350,10004,ak1000
142,3000350,10004,ak1001
143,3000360,10001,a0002
144,3000360,10002,b0013
145,3000360,10003,ak1000
146,3000360,10003,ak1001
147,3000360,10004,ak1000
148,3000360,10004,ak1001
149,3000370,10001,a0002
150,3000370,10002,b0013
151,3000370,10003,ak1000
152,3000370,10003,ak1001
153,3000370,10004,ak1000
154,3000370,10004,ak1001
155,3000380,10001,a0002
156,3000380,10002,b0013
157,3000380,10003,ak1000
158,3000380,10003,ak1001
159,3000380,10004,ak1000
160,3000380,10004,ak1001
161,3000390,10001,a0002
162,3000390,10002,b0013
163,3000390,10003,ak1000
164,3000390,10003,ak1001
165,3000390,10004,ak1000
166,3000390,10004,ak1001
167,3000400,10001,a0002
168,3000400,10002,b0013
169,3000400,10003,ak1000
170,3000400,10003,ak1001
171,3000400,10004,ak1000
172,3000400,10004,ak1001
173,3000410,20002,
174,3000410,20004,
175,3000420,20002,
176,3000420,20004,
177,3000430,20002,
178,3000430,20004,
179,3000440,20002,
180,3000440,20004,
181,3000450,20002,
182,3000450,20004,
183,3000460,20002,
184,3000460,20004,
185,3000470,20002,
186,3000470,20004,
187,3000480,20002,
188,3000480,20004,
189,3000490,20002,
190,3000490,20004,
191,3000500,20002,
192,3000500,20004,
193,3000510,20002,
194,3000510,20004,
195,3000520,20002,
196,3000520,20004,
197,3000530,20002,
198,3000530,20004,
199,3000540,20002,
200,3000540,20004,
201,3000550,20002,
202,3000550,20004,
203,3000560,20002,
204,3000560,20004,
205,3000570,20002,
206,3000570,20004,
207,3000580,20002,
208,3000580,20004,
209,3000590,20002,
210,3000590,20004,
211,3000600,20002,
212,3000600,20004,
213,3000610,20002,
214,3000610,20004,
215,3000620,20002,
216,3000620,20004,
217,3000630,20002,
218,3000630,20004,
219,3000640,20002,
220,3000640,20004,
221,3000650,20002,
222,3000650,20004,
223,3000660,20002,
224,3000660,20004,
225,3000670,20002,
226,3000670,20004,
227,3000680,20002,
228,3000680,20004,
229,3000690,20002,
230,3000690,20004,
231,3000700,20002,
232,3000700,20004,
233,3000710,20002,
234,3000710,20004,
235,3000720,20002,
236,3000720,20004,
237,3000730,20002,
238,3000730,20004,
239,3000740,20002,
240,3000740,20004,
241,3000750,20002,
242,3000750,20004,
243,3000760,20002,
244,3000760,20004,
245,3000770,20002,
246,3000770,20004,
247,3000780,20002,
248,3000780,20004,
249,3000790,20002,
250,3000790,20004,
251,3000800,20002,
252,3000800,20004,
253,3000810,20002,
254,3000810,20004,
255,3000820,20002,
256,3000820,20004,
257,3000830,20002,
258,3000830,20004,
259,3000840,20002,
260,3000840,20004,
261,3000850,20002,
262,3000850,20004,
263,3000860,20002,
264,3000860,20004,
265,3000870,20002,
266,3000870,20004,
267,3000880,20002,
268,3000880,20004,
269,3000890,20002,
270,3000890,20004,
271,3000900,20002,
272,3000900,20004,
273,3000910,20002,
274,3000910,20004,
275,3000920,20002,
276,3000920,20004,
277,3000930,20002,
278,3000930,20004,
279,3000940,20002,
280,3000940,20004,
281,3000950,20002,
282,3000950,20004,
283,3000960,20002,
284,3000960,20004,
285,3000970,20002,
286,3000970,20004,
287,3000980,20002,
288,3000980,20004,
289,3000990,20002,
290,3000990,20004,
291,3001000,20002,
292,3001000,20004,
293,3001010,20002,
294,3001010,20004,
295,3001020,20002,
296,3001020,20004,
297,3001030,20002,
298,3001030,20004,
299,3001040,20002,
300,3001040,20004,
301,3001050,20002,
302,3001050,20004,
303,3001060,20002,
304,3001060,20004,
305,3001070,20002,
306,3001070,20004,
307,3001080,20002,
308,3001080,20004,
309,3001090,20002,
310,3001090,20004,
311,3001100,20002,
312,3001100,20004,
313,1000451,10002,ak1000
314,1000451,10002,ak1001
315,1000451,10004,bk1000
316,1000451,10004,bk1001
317,1000501,20002,
318,1000501,20004,
319,1000561,20002,
320,1000561,20004,
321,1000581,20002,
322,1000581,20004,
323,1000591,20002,
324,1000591,20004,
325,1000611,20002,
326,1000611,20004,
327,1000621,20002,
328,1000621,20004,
329,1000631,20002,
330,1000631,20004,
331,1000641,20002,
332,1000641,20004,
333,1000651,20002,
334,1000651,20004,
335,1000671,20002,
336,1000671,20004,
337,1000681,20002,
338,1000681,20004,
339,1000741,20002,
340,1000741,20004,
341,1000751,20002,
342,1000751,20004,
343,1000761,20002,
344,1000761,20004,
345,1000771,10002,ak1000
346,1000771,10002,ak1001
347,1000771,10004,bk1000
348,1000771,10004,bk1001
349,1000801,10002,ak1000
350,1000801,10002,ak1001
351,1000801,10004,bk1000
352,1000801,10004,bk1001
353,1000821,20002,
