id,description,rarity_n,rarity_r,rarity_sr,rarity_ssr,rarity_ur,rarity_lr
7,追加ドロップ確率UP,30,50,100,150,250,350
8,追加ドロップ確率UP,30,50,100,150,250,350
9,追加ドロップ確率UP,30,50,100,150,250,350
10,追加ドロップ確率UP,30,50,100,150,250,350
11,追加ドロップ確率UP,30,50,100,150,250,350
12,追加ドロップ確率UP,30,50,100,150,200,300
13,追加ドロップ確率UP,30,50,100,150,250,350
14,追加ドロップ確率UP,30,50,100,150,250,350
15,追加ドロップ確率UP,50,100,150,200,300,350
16,追加ドロップ確率UP,40,70,150,200,300,450
17,追加ドロップ確率UP,30,50,100,150,250,350
18,追加ドロップ確率UP,30,50,100,150,250,350
19,追加ドロップ確率UP,30,50,100,150,250,350
20,追加ドロップ確率UP,30,50,100,150,250,350
21,追加ドロップ確率UP,30,50,100,150,250,350
22,追加ドロップ確率UP,30,50,100,150,250,350
23,追加ドロップ確率UP,30,50,100,150,250,350
24,追加ドロップ確率UP,30,50,100,150,250,350
25,追加ドロップ確率UP,30,50,100,150,250,350
26,追加ドロップ確率UP,30,50,100,150,250,350
27,追加ドロップ確率UP,60,100,200,300,350,400
28,追加ドロップ確率UP,30,50,100,150,250,350
29,追加ドロップ確率UP,30,50,100,150,250,350
30,追加ドロップ確率UP,30,50,100,150,250,350
31,追加ドロップ確率UP,30,50,100,150,250,350
32,追加ドロップ確率UP,30,50,100,150,250,350
33,追加ドロップ確率UP,30,50,100,150,250,350
34,追加ドロップ確率UP,30,50,100,150,250,350
35,追加ドロップ確率UP,30,50,100,150,250,350
36,追加ドロップ確率UP,30,50,100,150,250,350
37,追加ドロップ確率UP,30,50,100,150,250,350
38,追加ドロップ確率UP,30,50,100,150,250,350
39,追加ドロップ確率UP,30,50,100,150,250,350
40,追加ドロップ確率UP,30,50,100,150,250,350
41,追加ドロップ確率UP,30,50,100,150,250,350
42,追加ドロップ確率UP,30,50,100,150,250,350
43,追加ドロップ確率UP,30,50,100,150,250,350
44,追加ドロップ確率UP,30,50,100,150,250,350
45,追加ドロップ確率UP,30,50,100,150,250,350
46,追加ドロップ確率UP,30,50,100,150,250,350
47,追加ドロップ確率UP,30,50,100,150,250,350
48,追加ドロップ確率UP,30,50,100,150,250,350
49,追加ドロップ確率UP,30,50,100,150,250,350
50,追加ドロップ確率UP,30,50,100,150,250,350
51,追加ドロップ確率UP,30,50,100,150,250,350
52,追加ドロップ確率UP,40,70,150,200,300,450
53,追加ドロップ確率UP,20,30,50,80,130,180
54,追加抽選ドロップ確率UP,30,50,100,150,250,350
100,追加ドロップ確率UP,30,50,100,150,250,350
