id,name,priority
1,Raise ATK,1000
2,Raise DEF,990
3,Raise HP,980
4,Raise Ki,970
5,Lower ATK,960
6,Lower DEF,950
7,Boost All,940
8,Boost Type,930
9,Boost Category,920
10,All-Target Super Attack,910
11,Seal Super Attack,900
12,Stun,890
13,Transformation,880
14,Giant Form,870
15,Rage,860
16,Counterattack,850
17,Attack Effective to All,840
18,Damage Reduction,830
19,Guard,820
20,Disable Guard,810
21,Foresee Super Attack,800
22,Critical Hit,790
23,Change Ki Spheres,780
24,Raise ATK (Ki Sphere),770
25,Raise DEF (Ki Sphere),760
26,Recovery (Ki Sphere),750
27,Raise Ki (Ki Sphere),740
28,Additional Attack,730
29,Evasion,720
30,Recovery,710
31,Immune to Negative Effects,700
32,Survive K.O. Attack,690
33,Guaranteed Hit,725
34,Remove Status Effects,705
35,Damage Reduction (Ki Sphere),739
36,Critical Hit Chance (Ki Sphere),738
37,Evasion Chance (Ki Sphere),737
38,Delay Target,885
39,Revive,680
40,Absorption/Nullification,825
41,Disable Action,888
42,Attack Attraction,795
