id,z_battle_first_reward_set_id,item_id,item_type,quantity,card_exp_init
1,1,11,Point::Stone,1,0
2,1,100001,AwakeningItem,1,0
3,1,1,PotentialItem,370,0
4,2,11,Point::Stone,1,0
5,2,100001,AwakeningItem,1,0
6,2,6,PotentialItem,270,0
7,3,11,Point::Stone,1,0
8,3,100001,AwakeningItem,1,0
9,3,11,PotentialItem,20,0
10,4,11,Point::Stone,1,0
11,4,100001,AwakeningItem,1,0
12,4,1,PotentialItem,370,0
13,5,11,Point::Stone,1,0
14,5,100001,AwakeningItem,1,0
15,5,6,PotentialItem,270,0
16,5,1012230,Card,1,0
17,6,11,Point::Stone,1,0
18,6,100001,AwakeningItem,1,0
19,6,11,PotentialItem,20,0
20,7,11,Point::Stone,1,0
21,7,100001,AwakeningItem,2,0
22,7,1,PotentialItem,370,0
23,8,11,Point::Stone,1,0
24,8,100001,AwakeningItem,2,0
25,8,6,PotentialItem,270,0
26,9,11,Point::Stone,1,0
27,9,100001,AwakeningItem,2,0
28,9,11,PotentialItem,20,0
29,10,11,Point::Stone,1,0
30,10,100001,AwakeningItem,3,0
31,10,1,PotentialItem,370,0
32,10,6,PotentialItem,270,0
33,10,11,PotentialItem,20,0
34,10,1012230,Card,1,0
35,11,11,Point::Stone,1,0
36,11,100002,AwakeningItem,1,0
37,11,1,PotentialItem,430,0
38,12,11,Point::Stone,1,0
39,12,100002,AwakeningItem,1,0
40,12,6,PotentialItem,330,0
41,13,11,Point::Stone,1,0
42,13,100002,AwakeningItem,2,0
43,13,11,PotentialItem,30,0
44,14,11,Point::Stone,1,0
45,14,100002,AwakeningItem,2,0
46,14,1,PotentialItem,430,0
47,15,11,Point::Stone,1,0
48,15,100002,AwakeningItem,4,0
49,15,6,PotentialItem,330,0
50,15,1012230,Card,2,0
51,16,11,Point::Stone,1,0
52,16,100002,AwakeningItem,4,0
53,16,11,PotentialItem,30,0
54,17,11,Point::Stone,1,0
55,17,100002,AwakeningItem,5,0
56,17,1,PotentialItem,430,0
57,18,11,Point::Stone,1,0
58,18,100002,AwakeningItem,6,0
59,18,6,PotentialItem,330,0
60,19,11,Point::Stone,1,0
61,19,100002,AwakeningItem,7,0
62,19,11,PotentialItem,30,0
63,20,11,Point::Stone,1,0
64,20,100002,AwakeningItem,8,0
65,20,1,PotentialItem,430,0
66,20,6,PotentialItem,330,0
67,20,11,PotentialItem,30,0
68,20,1012230,Card,2,0
69,21,11,Point::Stone,1,0
70,21,100003,AwakeningItem,4,0
71,21,1,PotentialItem,500,0
72,22,11,Point::Stone,1,0
73,22,100003,AwakeningItem,5,0
74,22,6,PotentialItem,400,0
75,23,11,Point::Stone,1,0
76,23,100003,AwakeningItem,6,0
77,23,11,PotentialItem,40,0
78,24,11,Point::Stone,1,0
79,24,100003,AwakeningItem,7,0
80,24,1,PotentialItem,500,0
81,25,11,Point::Stone,1,0
82,25,100003,AwakeningItem,8,0
83,25,6,PotentialItem,400,0
84,25,1012230,Card,2,0
85,26,11,Point::Stone,1,0
86,26,100004,AwakeningItem,4,0
87,26,11,PotentialItem,40,0
88,27,11,Point::Stone,1,0
89,27,100004,AwakeningItem,5,0
90,27,1,PotentialItem,500,0
91,28,11,Point::Stone,1,0
92,28,100004,AwakeningItem,6,0
93,28,6,PotentialItem,400,0
94,29,11,Point::Stone,1,0
95,29,100004,AwakeningItem,7,0
96,29,11,PotentialItem,40,0
97,30,11,Point::Stone,1,0
98,30,100004,AwakeningItem,8,0
99,30,1,PotentialItem,500,0
100,30,6,PotentialItem,400,0
101,30,11,PotentialItem,40,0
102,30,1012230,Card,3,0
103,31,1005480,Card,1,765122
104,32,11,Point::Stone,1,0
105,32,100011,AwakeningItem,1,0
106,32,4,PotentialItem,370,0
107,33,11,Point::Stone,1,0
108,33,100011,AwakeningItem,1,0
109,33,9,PotentialItem,270,0
110,34,11,Point::Stone,1,0
111,34,100011,AwakeningItem,1,0
112,34,14,PotentialItem,20,0
113,35,11,Point::Stone,1,0
114,35,100011,AwakeningItem,1,0
115,35,4,PotentialItem,370,0
116,36,11,Point::Stone,1,0
117,36,100011,AwakeningItem,1,0
118,36,9,PotentialItem,270,0
119,36,1012260,Card,1,0
120,37,11,Point::Stone,1,0
121,37,100011,AwakeningItem,1,0
122,37,14,PotentialItem,20,0
123,38,11,Point::Stone,1,0
124,38,100011,AwakeningItem,2,0
125,38,4,PotentialItem,370,0
126,39,11,Point::Stone,1,0
127,39,100011,AwakeningItem,2,0
128,39,9,PotentialItem,270,0
129,40,11,Point::Stone,1,0
130,40,100011,AwakeningItem,2,0
131,40,14,PotentialItem,20,0
132,41,11,Point::Stone,1,0
133,41,100011,AwakeningItem,3,0
134,41,4,PotentialItem,370,0
135,41,9,PotentialItem,270,0
136,41,14,PotentialItem,20,0
137,41,1012260,Card,1,0
138,42,11,Point::Stone,1,0
139,42,100012,AwakeningItem,1,0
140,42,4,PotentialItem,430,0
141,43,11,Point::Stone,1,0
142,43,100012,AwakeningItem,1,0
143,43,9,PotentialItem,330,0
144,44,11,Point::Stone,1,0
145,44,100012,AwakeningItem,2,0
146,44,14,PotentialItem,30,0
147,45,11,Point::Stone,1,0
148,45,100012,AwakeningItem,2,0
149,45,4,PotentialItem,430,0
150,46,11,Point::Stone,1,0
151,46,100012,AwakeningItem,4,0
152,46,9,PotentialItem,330,0
153,46,1012260,Card,2,0
154,47,11,Point::Stone,1,0
155,47,100012,AwakeningItem,4,0
156,47,14,PotentialItem,30,0
157,48,11,Point::Stone,1,0
158,48,100012,AwakeningItem,5,0
159,48,4,PotentialItem,430,0
160,49,11,Point::Stone,1,0
161,49,100012,AwakeningItem,6,0
162,49,9,PotentialItem,330,0
163,50,11,Point::Stone,1,0
164,50,100012,AwakeningItem,7,0
165,50,14,PotentialItem,30,0
166,51,11,Point::Stone,1,0
167,51,100012,AwakeningItem,8,0
168,51,4,PotentialItem,430,0
169,51,9,PotentialItem,330,0
170,51,14,PotentialItem,30,0
171,51,1012260,Card,2,0
172,52,11,Point::Stone,1,0
173,52,100013,AwakeningItem,4,0
174,52,4,PotentialItem,500,0
175,53,11,Point::Stone,1,0
176,53,100013,AwakeningItem,5,0
177,53,9,PotentialItem,400,0
178,54,11,Point::Stone,1,0
