target_type,target_id,skill_group_id
ActiveSkillSet,13,1
ActiveSkillSet,13,7
ActiveSkillSet,14,1
ActiveSkillSet,15,1
ActiveSkillSet,17,1
ActiveSkillSet,18,1
ActiveSkillSet,18,4
ActiveSkillSet,19,13
ActiveSkillSet,20,13
ActiveSkillSet,21,13
ActiveSkillSet,22,13
ActiveSkillSet,23,15
ActiveSkillSet,24,15
ActiveSkillSet,25,5
ActiveSkillSet,25,6
ActiveSkillSet,26,1
ActiveSkillSet,26,6
ActiveSkillSet,27,13
ActiveSkillSet,28,13
ActiveSkillSet,29,13
ActiveSkillSet,30,13
ActiveSkillSet,31,13
ActiveSkillSet,32,13
ActiveSkillSet,33,13
ActiveSkillSet,34,13
ActiveSkillSet,35,13
ActiveSkillSet,36,13
ActiveSkillSet,37,13
ActiveSkillSet,38,13
ActiveSkillSet,39,1
ActiveSkillSet,39,7
ActiveSkillSet,40,1
ActiveSkillSet,41,1
ActiveSkillSet,42,1
ActiveSkillSet,42,12
ActiveSkillSet,42,22
ActiveSkillSet,43,1
ActiveSkillSet,43,7
ActiveSkillSet,43,34
ActiveSkillSet,44,15
ActiveSkillSet,45,15
ActiveSkillSet,46,13
ActiveSkillSet,47,13
ActiveSkillSet,48,1
ActiveSkillSet,48,2
ActiveSkillSet,48,17
ActiveSkillSet,48,33
ActiveSkillSet,49,13
ActiveSkillSet,50,13
ActiveSkillSet,51,29
ActiveSkillSet,52,13
ActiveSkillSet,53,13
ActiveSkillSet,54,13
ActiveSkillSet,55,13
ActiveSkillSet,56,17
ActiveSkillSet,56,23
ActiveSkillSet,57,1
ActiveSkillSet,57,4
ActiveSkillSet,58,1
ActiveSkillSet,58,2
ActiveSkillSet,58,5
ActiveSkillSet,58,6
ActiveSkillSet,58,12
ActiveSkillSet,59,13
ActiveSkillSet,60,13
ActiveSkillSet,61,13
ActiveSkillSet,62,13
ActiveSkillSet,63,13
ActiveSkillSet,64,13
ActiveSkillSet,65,13
ActiveSkillSet,66,13
ActiveSkillSet,67,13
ActiveSkillSet,68,13
ActiveSkillSet,69,1
ActiveSkillSet,69,2
ActiveSkillSet,69,4
ActiveSkillSet,70,1
ActiveSkillSet,70,2
ActiveSkillSet,70,4
ActiveSkillSet,71,4
ActiveSkillSet,72,4
ActiveSkillSet,73,13
ActiveSkillSet,74,13
ActiveSkillSet,75,1
ActiveSkillSet,75,2
ActiveSkillSet,75,5
ActiveSkillSet,75,6
ActiveSkillSet,76,1
ActiveSkillSet,76,4
ActiveSkillSet,77,13
ActiveSkillSet,78,13
ActiveSkillSet,79,38
ActiveSkillSet,80,13
ActiveSkillSet,81,13
ActiveSkillSet,82,1
ActiveSkillSet,83,10
ActiveSkillSet,84,1
ActiveSkillSet,84,4
ActiveSkillSet,84,7
ActiveSkillSet,85,2
ActiveSkillSet,85,4
ActiveSkillSet,85,22
ActiveSkillSet,86,1
ActiveSkillSet,86,4
ActiveSkillSet,86,7
ActiveSkillSet,87,1
ActiveSkillSet,87,4
ActiveSkillSet,87,17
ActiveSkillSet,88,4
ActiveSkillSet,88,29
ActiveSkillSet,89,1
ActiveSkillSet,90,1
ActiveSkillSet,90,2
ActiveSkillSet,90,4
ActiveSkillSet,90,7
ActiveSkillSet,90,34
ActiveSkillSet,91,4
ActiveSkillSet,91,5
ActiveSkillSet,91,6
ActiveSkillSet,92,1
ActiveSkillSet,93,1
ActiveSkillSet,94,5
ActiveSkillSet,94,6
ActiveSkillSet,95,1
ActiveSkillSet,95,2
ActiveSkillSet,95,4
ActiveSkillSet,96,2
ActiveSkillSet,96,7
ActiveSkillSet,96,19
ActiveSkillSet,96,30
ActiveSkillSet,97,13
ActiveSkillSet,98,13
ActiveSkillSet,99,15
ActiveSkillSet,100,15
ActiveSkillSet,101,1
ActiveSkillSet,101,12
ActiveSkillSet,102,1
ActiveSkillSet,102,4
ActiveSkillSet,104,1
ActiveSkillSet,105,13
ActiveSkillSet,106,13
ActiveSkillSet,107,1
ActiveSkillSet,108,1
ActiveSkillSet,109,4
ActiveSkillSet,110,4
ActiveSkillSet,113,13
ActiveSkillSet,114,13
ActiveSkillSet,115,1
ActiveSkillSet,115,2
ActiveSkillSet,117,11
ActiveSkillSet,117,12
ActiveSkillSet,117,13
ActiveSkillSet,118,11
ActiveSkillSet,118,12
ActiveSkillSet,118,13
ActiveSkillSet,119,38
ActiveSkillSet,120,13
ActiveSkillSet,121,13
ActiveSkillSet,122,13
ActiveSkillSet,123,13
ActiveSkillSet,124,13
ActiveSkillSet,125,13
ActiveSkillSet,126,13
ActiveSkillSet,127,13
ActiveSkillSet,128,1
ActiveSkillSet,128,2
ActiveSkillSet,129,22
ActiveSkillSet,130,22
ActiveSkillSet,131,1
ActiveSkillSet,131,38
ActiveSkillSet,132,1
ActiveSkillSet,132,12
ActiveSkillSet,133,14
ActiveSkillSet,134,14
ActiveSkillSet,135,13
ActiveSkillSet,136,13
ActiveSkillSet,137,1
ActiveSkillSet,137,38
ActiveSkillSet,138,1
ActiveSkillSet,138,10
ActiveSkillSet,138,12
ActiveSkillSet,138,22
ActiveSkillSet,139,1
ActiveSkillSet,139,12
ActiveSkillSet,140,5
ActiveSkillSet,140,6
ActiveSkillSet,140,11
ActiveSkillSet,141,1
ActiveSkillSet,141,13
ActiveSkillSet,141,41
ActiveSkillSet,142,1
ActiveSkillSet,142,13
ActiveSkillSet,142,41
ActiveSkillSet,143,1
ActiveSkillSet,143,22
ActiveSkillSet,144,13
ActiveSkillSet,145,13
ActiveSkillSet,146,15
ActiveSkillSet,147,15
ActiveSkillSet,148,13
ActiveSkillSet,149,13
ActiveSkillSet,150,1
ActiveSkillSet,150,10
ActiveSkillSet,151,1
ActiveSkillSet,151,2
ActiveSkillSet,151,7
ActiveSkillSet,151,22
ActiveSkillSet,152,2
ActiveSkillSet,152,4
ActiveSkillSet,153,1
ActiveSkillSet,153,12
ActiveSkillSet,154,13
ActiveSkillSet,155,13
ActiveSkillSet,156,1
ActiveSkillSet,156,22
ActiveSkillSet,157,1
ActiveSkillSet,157,41
ActiveSkillSet,158,1
ActiveSkillSet,158,41
ActiveSkillSet,160,1
ActiveSkillSet,160,30
ActiveSkillSet,163,12
ActiveSkillSet,164,1
ActiveSkillSet,164,22
ActiveSkillSet,165,13
ActiveSkillSet,166,13
ActiveSkillSet,167,22
ActiveSkillSet,168,1
ActiveSkillSet,168,22
ActiveSkillSet,169,33
ActiveSkillSet,170,30
ActiveSkillSet,170,34
ActiveSkillSet,171,14
ActiveSkillSet,172,14
ActiveSkillSet,173,1
ActiveSkillSet,173,4
ActiveSkillSet,173,7
ActiveSkillSet,173,22
ActiveSkillSet,174,1
ActiveSkillSet,174,41
ActiveSkillSet,175,14
ActiveSkillSet,176,14
ActiveSkillSet,177,1
ActiveSkillSet,177,17
ActiveSkillSet,178,1
ActiveSkillSet,178,22
ActiveSkillSet,179,13
ActiveSkillSet,179,22
ActiveSkillSet,180,13
ActiveSkillSet,180,22
ActiveSkillSet,181,13
ActiveSkillSet,182,13
ActiveSkillSet,185,13
ActiveSkillSet,186,13
ActiveSkillSet,187,13
ActiveSkillSet,188,13
ActiveSkillSet,189,1
ActiveSkillSet,189,30
ActiveSkillSet,189,41
ActiveSkillSet,190,1
ActiveSkillSet,190,10
ActiveSkillSet,190,41
ActiveSkillSet,191,1
ActiveSkillSet,191,2
ActiveSkillSet,191,4
ActiveSkillSet,191,7
ActiveSkillSet,191,17
ActiveSkillSet,191,23
ActiveSkillSet,194,1
ActiveSkillSet,195,1
ActiveSkillSet,196,1
ActiveSkillSet,197,1
ActiveSkillSet,197,5
ActiveSkillSet,197,6
ActiveSkillSet,197,41
ActiveSkillSet,199,13
ActiveSkillSet,200,13
ActiveSkillSet,201,29
ActiveSkillSet,202,4
ActiveSkillSet,202,8
ActiveSkillSet,202,13
ActiveSkillSet,203,4
ActiveSkillSet,203,8
ActiveSkillSet,203,13
ActiveSkillSet,204,1
ActiveSkillSet,204,41
ActiveSkillSet,205,1
ActiveSkillSet,205,22
ActiveSkillSet,205,38
ActiveSkillSet,206,1
ActiveSkillSet,206,2
ActiveSkillSet,206,4
ActiveSkillSet,207,23
ActiveSkillSet,208,14
ActiveSkillSet,209,14
ActiveSkillSet,210,1
ActiveSkillSet,210,22
ActiveSkillSet,211,1
ActiveSkillSet,211,4
ActiveSkillSet,211,33
ActiveSkillSet,212,13
ActiveSkillSet,213,13
ActiveSkillSet,214,1
ActiveSkillSet,214,17
ActiveSkillSet,214,41
ActiveSkillSet,215,1
ActiveSkillSet,215,11
ActiveSkillSet,216,1
ActiveSkillSet,216,22
ActiveSkillSet,219,4
ActiveSkillSet,217,13
ActiveSkillSet,218,13
ActiveSkillSet,219,9
ActiveSkillSet,219,13
ActiveSkillSet,220,13
ActiveSkillSet,221,13
ActiveSkillSet,222,1
ActiveSkillSet,222,29
ActiveSkillSet,222,42
ActiveSkillSet,223,4
ActiveSkillSet,223,8
ActiveSkillSet,223,13
ActiveSkillSet,224,4
ActiveSkillSet,224,8
ActiveSkillSet,224,13
ActiveSkillSet,226,13
ActiveSkillSet,226,42
ActiveSkillSet,227,13
ActiveSkillSet,227,42
ActiveSkillSet,228,4
ActiveSkillSet,228,9
ActiveSkillSet,228,13
ActiveSkillSet,229,2
ActiveSkillSet,229,4
ActiveSkillSet,229,22
ActiveSkillSet,229,42
ActiveSkillSet,230,41
ActiveSkillSet,231,13
ActiveSkillSet,232,1
ActiveSkillSet,232,22
ActiveSkillSet,233,13
ActiveSkillSet,237,1
ActiveSkillSet,237,2
ActiveSkillSet,237,7
ActiveSkillSet,238,29
ActiveSkillSet,238,41
ActiveSkillSet,239,1
ActiveSkillSet,239,22
ActiveSkillSet,240,1
ActiveSkillSet,240,4
ActiveSkillSet,240,23
ActiveSkillSet,240,38
ActiveSkillSet,241,2
ActiveSkillSet,241,4
LeaderSkillSet,100001,1
LeaderSkillSet,100001,8
LeaderSkillSet,100002,1
LeaderSkillSet,100002,8
LeaderSkillSet,100003,4
LeaderSkillSet,100003,8
LeaderSkillSet,100004,1
LeaderSkillSet,100004,7
LeaderSkillSet,100005,1
LeaderSkillSet,100005,7
LeaderSkillSet,100006,1
LeaderSkillSet,100006,8
LeaderSkillSet,100007,1
LeaderSkillSet,100007,8
LeaderSkillSet,100008,1
LeaderSkillSet,100008,8
LeaderSkillSet,100009,1
LeaderSkillSet,100009,8
LeaderSkillSet,100010,1
LeaderSkillSet,100010,8
LeaderSkillSet,100011,1
LeaderSkillSet,100011,7
LeaderSkillSet,100012,4
LeaderSkillSet,100012,7
LeaderSkillSet,100013,1
LeaderSkillSet,100013,7
LeaderSkillSet,100014,3
LeaderSkillSet,100014,8
LeaderSkillSet,100015,6
LeaderSkillSet,100016,1
LeaderSkillSet,100016,7
LeaderSkillSet,100017,1
LeaderSkillSet,100017,3
LeaderSkillSet,100017,8
LeaderSkillSet,100018,1
LeaderSkillSet,100018,8
LeaderSkillSet,100019,3
LeaderSkillSet,100019,7
LeaderSkillSet,100020,1
LeaderSkillSet,100020,7
LeaderSkillSet,100021,5
LeaderSkillSet,100022,5
LeaderSkillSet,100023,1
LeaderSkillSet,100023,8
LeaderSkillSet,100024,1
LeaderSkillSet,100024,3
LeaderSkillSet,100024,8
LeaderSkillSet,100025,4
LeaderSkillSet,100025,8
LeaderSkillSet,100026,4
LeaderSkillSet,100026,8
LeaderSkillSet,100027,1
LeaderSkillSet,100027,8
LeaderSkillSet,100028,4
LeaderSkillSet,100028,8
LeaderSkillSet,100029,1
LeaderSkillSet,100029,8
LeaderSkillSet,100030,3
LeaderSkillSet,100030,7
LeaderSkillSet,100031,3
LeaderSkillSet,100031,7
LeaderSkillSet,100032,3
LeaderSkillSet,100032,7
LeaderSkillSet,100033,1
LeaderSkillSet,100033,8
LeaderSkillSet,100034,1
LeaderSkillSet,100034,8
LeaderSkillSet,100035,1
LeaderSkillSet,100035,8
LeaderSkillSet,100036,2
LeaderSkillSet,100036,8
LeaderSkillSet,100037,3
LeaderSkillSet,100037,7
LeaderSkillSet,100038,7
LeaderSkillSet,100038,18
LeaderSkillSet,100039,1
LeaderSkillSet,100039,8
LeaderSkillSet,100040,6
LeaderSkillSet,100041,7
LeaderSkillSet,100041,18
LeaderSkillSet,100042,2
LeaderSkillSet,100042,8
LeaderSkillSet,100043,1
LeaderSkillSet,100043,8
LeaderSkillSet,100044,4
LeaderSkillSet,100044,8
LeaderSkillSet,100045,3
LeaderSkillSet,100045,7
LeaderSkillSet,100046,7
LeaderSkillSet,100046,18
LeaderSkillSet,100047,1
LeaderSkillSet,100047,8
LeaderSkillSet,100048,1
LeaderSkillSet,100048,8
LeaderSkillSet,100049,1
LeaderSkillSet,100049,8
LeaderSkillSet,100050,7
LeaderSkillSet,100050,18
LeaderSkillSet,100051,1
LeaderSkillSet,100051,8
LeaderSkillSet,100052,1
LeaderSkillSet,100052,8
LeaderSkillSet,100053,2
LeaderSkillSet,100053,8
LeaderSkillSet,100054,4
LeaderSkillSet,100054,8
LeaderSkillSet,100055,1
LeaderSkillSet,100055,8
LeaderSkillSet,100056,1
LeaderSkillSet,100056,8
LeaderSkillSet,100057,3
LeaderSkillSet,100057,7
LeaderSkillSet,100058,3
LeaderSkillSet,100058,7
LeaderSkillSet,100059,6
LeaderSkillSet,100060,7
LeaderSkillSet,100060,18
LeaderSkillSet,100061,1
LeaderSkillSet,100061,8
LeaderSkillSet,100062,1
LeaderSkillSet,100062,8
LeaderSkillSet,100063,1
LeaderSkillSet,100063,8
LeaderSkillSet,100081,1
LeaderSkillSet,100081,7
LeaderSkillSet,100082,4
LeaderSkillSet,100082,8
LeaderSkillSet,100083,1
LeaderSkillSet,100083,8
LeaderSkillSet,100084,1
LeaderSkillSet,100084,8
LeaderSkillSet,100085,4
LeaderSkillSet,100085,8
LeaderSkillSet,100086,1
LeaderSkillSet,100086,2
LeaderSkillSet,100086,8
LeaderSkillSet,100087,1
LeaderSkillSet,100087,7
LeaderSkillSet,100088,4
LeaderSkillSet,100088,8
LeaderSkillSet,100089,1
LeaderSkillSet,100089,8
LeaderSkillSet,100090,1
LeaderSkillSet,100090,7
LeaderSkillSet,100091,4
LeaderSkillSet,100091,8
LeaderSkillSet,100092,2
LeaderSkillSet,100092,8
LeaderSkillSet,100093,4
LeaderSkillSet,100093,8
LeaderSkillSet,100094,1
LeaderSkillSet,100094,2
LeaderSkillSet,100094,7
LeaderSkillSet,100095,1
LeaderSkillSet,100095,8
LeaderSkillSet,100096,1
LeaderSkillSet,100096,7
LeaderSkillSet,100097,1
LeaderSkillSet,100097,7
LeaderSkillSet,100098,1
LeaderSkillSet,100098,8
LeaderSkillSet,100099,1
LeaderSkillSet,100099,7
LeaderSkillSet,100100,4
LeaderSkillSet,100100,7
LeaderSkillSet,100101,1
LeaderSkillSet,100101,7
LeaderSkillSet,100102,1
LeaderSkillSet,100102,8
LeaderSkillSet,100103,1
LeaderSkillSet,100103,8
LeaderSkillSet,100104,1
LeaderSkillSet,100104,8
LeaderSkillSet,100105,3
LeaderSkillSet,100105,8
LeaderSkillSet,100106,1
LeaderSkillSet,100106,8
LeaderSkillSet,100107,6
LeaderSkillSet,100108,4
LeaderSkillSet,100108,7
LeaderSkillSet,100109,5
LeaderSkillSet,100110,7
LeaderSkillSet,100110,31
LeaderSkillSet,100111,1
LeaderSkillSet,100111,8
LeaderSkillSet,100112,1
LeaderSkillSet,100112,7
LeaderSkillSet,100113,1
LeaderSkillSet,100113,8
LeaderSkillSet,100114,1
LeaderSkillSet,100114,7
LeaderSkillSet,100115,3
LeaderSkillSet,100115,7
LeaderSkillSet,100116,3
LeaderSkillSet,100116,7
LeaderSkillSet,100117,4
LeaderSkillSet,100117,8
LeaderSkillSet,100118,7
LeaderSkillSet,100118,18
LeaderSkillSet,100119,6
LeaderSkillSet,100120,7
LeaderSkillSet,100120,18
LeaderSkillSet,100121,1
LeaderSkillSet,100121,8
LeaderSkillSet,100122,3
