id,card_id,priority,created_at,updated_at
1,1003211,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
2,1003311,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
3,1003761,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
4,1003801,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
5,1004251,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
6,1004651,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
7,1005001,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
8,1005031,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
9,1005051,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
10,1005281,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
11,1005301,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
13,1005731,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
14,1005741,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
15,1006671,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
16,1006691,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
17,1006701,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
18,1008091,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
19,1008921,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
20,1008931,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
21,1008941,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
22,1009701,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
23,1009711,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
24,1014511,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
25,1010361,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
26,1011341,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
27,1013161,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
28,1014681,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
30,1016101,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
31,1016121,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
32,1016581,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
33,1017161,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
34,1017241,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
35,1006211,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
36,1006791,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
37,1007181,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
38,1007391,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
39,1007461,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
40,1008631,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
41,1008711,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
42,1008821,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
43,1008851,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
44,1009091,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
45,1009331,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
46,1009351,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
47,1009431,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
48,1009581,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
49,1009591,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
50,1009641,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
51,1009791,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
52,1009831,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
53,1010261,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
54,1010851,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
55,1010871,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
56,1011061,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
57,1011171,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
58,1011301,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
59,1011321,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
60,1011781,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
61,1011801,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
62,1012031,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
63,1012381,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
64,1012741,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
65,1012761,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
66,1013541,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
68,1013571,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
70,1013831,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
72,1013861,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
73,1013941,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
74,1014131,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
75,1014761,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
80,1014821,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
85,1014911,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
86,1015051,0,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
90,1015371,1,2024-05-17 11:40:42.800942,2024-05-17 11:40:42.800942
