id,name,description
100001,Supreme Warrior Awakened,"AGL, INT & PHY Type ATK +30%"
100002,Pride Regained,"TEQ, INT and STR Type ATK +30%"
100003,The Saiyan Among Us,TEQ & STR Types Ki +2
100004,Genius of War,ATK +25% when HP is 30% or less
100005,Emperor of Iniquity,All Types ATK +15%
100006,Despair's Onslaught,STR Type ATK +25%
100007,Android Evolution,AGL Type ATK +25%
100008,Time-traversing Evil,TEQ Type ATK +25%
100009,Unrelenting Fighter,TEQ & STR Types ATK +25%
100010,Hawk Eyes,AGL & PHY Types ATK +25%
100011,Fruits of Labor,ATK +20% when HP is 80% or less
100012,Stern Teacher,Ki +1 when HP is 80% or less
100013,Aura Unleashed,ATK +25% when HP is 30% or less
100014,The Gifted One,INT Type HP + 25%
100015,Secret Arts Unleashed,Enemies' DEF -25%
100016,Peerless Saiyan,ATK +25% when HP is 30% or less
100017,Elite Warrior's Rage,STR Type HP & ATK +20%
100018,Hidden Strength,INT Type ATK + 25%
100019,Honorable Fighter,HP +25%
100020,Calculated Combat,ATK + 15% when HP is 50% or above
100021,Red Ribbon Army's Grudge,TEQ Type enemy ATK - 25%
100022,Infinite Fighting Spirit,AGL Type enemies' ATK -25%
100023,Alluring Assassin,INT & STR Types ATK +25%
100024,Power Unleashed,PHY Type HP & ATK +20%
100025,Secrets of the Turtle Style,STR Type Ki +2
100026,Unrivaled Assassin,AGL Type Ki +2
100027,Steely Determination,INT Type ATK + 15%
100028,From Hell and Back,AGL Type Ki +1
100029,Competitive Comrades,PHY Type ATK + 15%
100030,Aloof Warrior,HP + 15%
100031,Unfaltering Spirit,HP + 15%
100032,Trickster,HP + 15%
100033,The One and Only,TEQ Type ATK + 15%
100034,Menacing Alien Warrior,AGL Type ATK + 15%
100035,Devastating Destruction,PHY Type ATK + 15%
100036,Confident Grin,PHY Type DEF + 20%
100037,Captain's Merit,HP + 15%
100038,Cold-blooded Vandalism,Damage received reduced by 10%
100039,Mad Scientist's Revenge,TEQ Type ATK + 15%
100040,Escalating Threat,STR Type enemy DEF - 30%
100041,Fancy Footwork,Damage received reduced by 10%
100042,Nature-loving Warrior,TEQ Type DEF + 20%
100043,Mind-body Mastery,TEQ Type ATK + 25%
100044,Living Weapon,INT Type Ki +1
100045,Unquenchable Ambition,HP + 15%
