id,name,description,rarity,area_category_ids,selling_exchange_point,created_at,updated_at
1,Story Key,"Can be used to challenge stages on 
the ""Story"" list in the Portal of Memories.",0,"{""area_category_ids"":[2,7,8,9]}",10,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
2,Growth Key,"Can be used to challenge stages on 
the ""Growth"" list in the Portal of Memories.",0,"{""area_category_ids"":[1,3,4,5,6]}",10,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
3,Challenge Key,"Can be used to challenge stages on 
the ""Challenge"" list in the Portal of Memories.",0,"{""area_category_ids"":[10,11,12]}",10,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
4,Limited Key 1,"Can be used to attempt the event 
""Ultimate Leveling Up! Chamber of 
Spirit and Time"" on the ""Limited"" list 
in the Portal of Memories.",0,"{""area_category_ids"":[13]}",0,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
5,Z-Battle Key,"Can be used to challenge stages on 
the ""Z-Battle"" list in the Portal of Memories.",0,"{""area_category_ids"":[999]}",10,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
101,Limited Key 2,"Can be used to attempt the event 
""Stronger Than Ever! Super Training of 
Goku's Family"" on the ""Limited"" list 
in the Portal of Memories.",0,"{""area_category_ids"":[14]}",0,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
102,Limited Key 3,"Can be used to attempt the event 
""Stronger Than Ever! Super Training of 
Goku's Family"" on the ""Limited"" list 
in the Portal of Memories.",0,"{""area_category_ids"":[15]}",0,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
1001,Guidance Key,"Can be used to attempt the event 
""Supreme Kais' Grand Guidance"" 
on the ""Limited"" list in the Portal of Memories.",0,"{""area_category_ids"":[16]}",0,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
1002,All Pumped Up Limited Key,"Can be used to attempt the event 
""In Search of Greater Power! God-Level 
Intensive Training [Special Edition]"" 
on the ""Limited"" list in the Portal of Memories. 
Valid until 8/31/2023 15:59 PST.",0,"{""area_category_ids"":[9999]}",0,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
1003,All Pumped Up Limited Key 2,"Can be used to attempt the event 
""In Search of Greater Power! God-Level 
Intensive Training [Special Edition]"" 
on the ""Limited"" list in the Portal of Memories. 
Valid until 4/30/2024 15:59 PST.",0,"{""area_category_ids"":[18]}",0,2024-07-08 11:03:23.560036,2024-07-08 11:03:23.560036
