id,name,description,increase_rate,aim_target,created_at,updated_at
2,For LR Super Saiyan 4 Goku/Vegeta,Ultimate Damage +100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
3,For Goku (Youth),Causes ultimate damage,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
4,For LR Gohan & Goten,Ultimate Damage +100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
5,For Frieza (2nd Form),"Causes supreme damage 
(Equivalent to Super Attack Level 15)",430,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
6,For LR Perfect Cell,Ultimate Damage +50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
7,For Super Saiyan God SS Goku (Kaioken),"Causes ultimate damage to enemy 
(Raises allies' ATK by 30% for 1 turn)",520,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
8,For Super Saiyan God SS Vegito,Ultimate Damage +50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
9,For Super Saiyan God SS Gogeta,Ultimate Damage +50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
10,For Trunks (Future) & Mai (Future),628% Damage,628,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
11,For Goku (Ultra Instinct),Ultimate Damage +50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
12,For SSGSS Evolved Vegeta,Mega-colossal damage to all enemies,440,1,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
13,For Master Roshi,Ultimate Damage +100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
14,For Android #17,Ultimate Damage +50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
15,For Super Saiyan Goku (GT),Ultimate Damage +100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
16,For Super Saiyan Vegeta (GT),Ultimate Damage +100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
17,For Super #17,Causes ultimate damage,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
18,[en]桃白白用,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
19,[EN] 界王拳,[EN] 究極ダメージを与える,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
20,[EN] 界王拳,[EN] 究極ダメージ+30%,580,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
21,Wドッカン超サイヤ人孫悟空,Causes ultimate damage,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
22,Wドッカンフリーザ(フルパワー),Causes ultimate damage,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
23,[en]フュージョン(7周年Wドッカン),[en]究極ダメージを与える,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
24,[en]ウルトラビッグバンかめはめ波(7周年Wドッカン),[en]究極ダメージを与える,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
25,[en]芭蕉扇,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
26,[en]願いをこめた元気玉,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
27,ファイナルエクスプロージョン(サイヤ),敵全体に超極大ダメージ+50%,490,1,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
28,[en]ラディッツの制裁,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
29,[en]栽培マンアタック,[en]究極ダメージを与える,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
30,[en]魔貫光殺砲,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
31,フルパワー親子かめはめ波,究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
