id,bgm_id,scene_name,start_at,end_at,created_at,updated_at
1,8,HomeMenuScene,2019-01-15 00:00:00,2019-01-15 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
2,9999,HomeMenuScene,2019-01-16 00:00:00,2019-01-16 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
3,139,HomeMenuScene,2021-04-01 00:00:00,2021-04-01 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
4,170,HomeMenuScene,2022-04-01 00:00:00,2022-04-01 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
5,168,HomeMenuScene,2022-08-08 00:00:00,2022-08-15 06:29:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
6,180,HomeMenuScene,2022-07-26 05:00:00,2022-08-07 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
7,212,HomeMenuScene,2022-08-26 06:00:00,2022-09-09 05:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
8,213,HomeMenuScene,2022-09-09 06:00:00,2022-10-03 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
9,230,HomeMenuScene,2022-12-27 15:00:00,2023-01-30 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
10,168,HomeMenuScene,2023-07-07 00:00:00,2023-07-17 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
11,247,HomeMenuScene,2023-07-18 00:00:00,2023-07-20 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
12,248,HomeMenuScene,2023-07-21 00:00:00,2023-07-25 04:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
13,246,HomeMenuScene,2023-07-25 05:00:00,2023-07-28 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
14,249,HomeMenuScene,2023-07-29 00:00:00,2023-08-01 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
15,251,HomeMenuScene,2023-08-02 00:00:00,2023-08-06 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
16,253,HomeMenuScene,2023-08-07 00:00:00,2023-08-11 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
17,304,HomeMenuScene,2023-08-25 06:00:00,2023-09-14 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
18,306,HomeMenuScene,2023-09-15 00:00:00,2023-10-04 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
19,301,HomeMenuScene,2023-11-03 00:00:00,2023-11-29 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
20,326,HomeMenuScene,2024-04-01 00:00:00,2024-04-25 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
21,178,HomeMenuScene,2024-07-07 00:00:00,2024-07-12 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
22,353,HomeMenuScene,2024-07-13 00:00:00,2024-07-17 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
23,230,HomeMenuScene,2024-07-18 00:00:00,2024-07-30 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
24,305,HomeMenuScene,2024-07-31 00:00:00,2038-01-01 23:59:59,2024-07-24 07:39:44.757312,2024-07-24 07:39:44.757312
