id,name,effect_description,condition_description,exec_limit,compiled_causality_conditions,special_view_id,costume_special_view_id,bgm_id,created_at,updated_at
1,Enters Standby Mode,"Stands by for 5 turns, during which 
charge count increases by 1 
per Ki Sphere obtained by allies","Can be activated starting from the 4th turn 
from the start of battle (once only)",1,"[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",5,[3]]]",11520,0,241,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
2,Enters Standby Mode,"Stands by for 5 turns, during which 
charge count increases by 1 
per Ki Sphere obtained by allies","Can be activated starting from the 4th turn 
from the start of battle (once only)",1,"[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",5,[3]]]",11520,0,241,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
3,Enters Standby Mode,"Stands by for 5 turns, during which 
charge count increases by 1 
per Ki Sphere obtained by allies","Can be activated when HP is 50% or less, 
or starting from the 4th turn from the 
start of battle if the character performs 
4 or more attacks in battle (once only)",1,"[""|"",[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",2,[50]]],[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",5,[3]],[""type"",44,[2,4]]]]",11583,0,232,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
4,Enters Standby Mode,"Stands by for 5 turns, during which 
charge count increases by 1 
per Ki Sphere obtained by allies","Can be activated when HP is 50% or less, 
or starting from the 4th turn from the 
start of battle if the character performs 
4 or more attacks in battle (once only)",1,"[""|"",[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",2,[50]]],[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",5,[3]],[""type"",44,[2,4]]]]",11583,0,232,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
5,Enters Standby Mode,Stands by for 5 turns,"Can be activated when HP is 50% or less, 
or starting from the 4th turn from the 
start of battle if the character receives 
an attack 4 or more times in battle (once only)",1,"[""|"",[""\u0026"",[""not"",[""type"",53,[1]]],[""not"",[""type"",54]],[""type"",2,[50]]],[""\u0026"",[""not"",[""type"",53,[1]]],[""not"",[""type"",54]],[""type"",5,[3]],[""type"",44,[3,4]]]]",11584,0,235,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
6,Enters Standby Mode,Stands by for 5 turns,"Can be activated when HP is 50% or less, 
or starting from the 4th turn from the 
start of battle if the character receives 
an attack 4 or more times in battle (once only)",1,"[""|"",[""\u0026"",[""not"",[""type"",53,[1]]],[""not"",[""type"",54]],[""type"",2,[50]]],[""\u0026"",[""not"",[""type"",53,[1]]],[""not"",[""type"",54]],[""type"",5,[3]],[""type"",44,[3,4]]]]",11584,0,235,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
7,Enters Standby Mode,Stands by for 4 turns,"Can be activated when HP is 59% or less 
starting from the 6th turn from 
the character's entry turn (once only)",1,"[""\u0026"",[""not"",[""type"",53,[1]]],[""not"",[""type"",54]],[""type"",55,[5]],[""type"",2,[59]]]",12042,0,266,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
8,Enters Standby Mode,Stands by for 4 turns,"Can be activated when HP is 59% or less 
starting from the 6th turn from 
the character's entry turn (once only)",1,"[""\u0026"",[""not"",[""type"",53,[1]]],[""not"",[""type"",54]],[""type"",55,[5]],[""type"",2,[59]]]",12042,0,266,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
9,Enters Standby Mode,"Stands by for 4 turns, during which charge count 
increases by 2 per INT or Rainbow Ki Sphere 
obtained by allies and by 1 per Type Ki Sphere 
(INT excluded) obtained by allies","Can be activated after the character receives 
an attack 5 or more times in battle (once only)",1,"[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",44,[3,5]]]",12252,0,277,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
10,Enters Standby Mode,"Stands by for 4 turns, during which charge count 
increases by 2 per INT or Rainbow Ki Sphere 
obtained by allies and by 1 per Type Ki Sphere 
(INT excluded) obtained by allies","Can be activated after the character receives 
an attack 5 or more times in battle (once only)",1,"[""\u0026"",[""not"",[""type"",53,[0]]],[""type"",44,[3,5]]]",12252,0,277,2024-06-26 10:53:17.109526,2024-06-26 10:53:17.109526
