id,selection_table_id,event_id,created_at,updated_at
1,1,21,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
2,1,22,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
3,2,22,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
4,2,24,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
5,3,21,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
6,3,24,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
7,4,30,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
8,4,31,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
9,5,35,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
10,5,36,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
11,6,21,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
12,6,22,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
13,6,24,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
14,7,39,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
15,7,41,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
16,7,15,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
17,8,100,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
18,8,101,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
19,9,103,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
20,9,104,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
21,9,105,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
22,10,101,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
23,10,107,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
24,11,109,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
25,11,110,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
26,12,112,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
27,12,110,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
28,13,30,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
29,13,35,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
30,14,100,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
31,14,107,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
32,15,103,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
33,15,105,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
34,16,103,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
35,16,104,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
36,17,30,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
37,17,36,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
38,18,100,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
39,18,101,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
40,18,107,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
41,19,109,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
42,19,112,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
43,20,123,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
44,20,124,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
45,21,126,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
46,21,127,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
47,22,31,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
48,22,36,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
49,23,39,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
50,23,41,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
51,24,39,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
52,24,15,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
53,25,35,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
54,25,31,2024-07-24 07:38:25.361974,2024-07-24 07:38:25.361974
