id,quest_id,item1_id,item1_type,item2_id,item2_type,item3_id,item3_type,item4_id,item4_type,item5_id,item5_type,item6_id,item6_type,is_show_etc,created_at,updated_at
1,1000,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
2,1001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
3,1002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
4,1003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
5,1004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
6,1005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
7,2001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
8,2002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
9,2003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
10,2004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
11,2005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
12,3001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
13,3002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
14,3003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
15,3004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
16,3005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
17,3006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
18,3007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
19,3008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
20,4001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
21,4002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
22,4003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
23,4004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
24,4005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
25,4006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
26,4007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
27,4008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
28,5001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
29,5002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
30,5003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
31,5004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
32,5005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
33,5006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
34,5007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
35,5008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
36,5009,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
37,5010,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
38,6001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
39,6002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
40,6003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
41,6004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
42,6005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
43,6006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
44,6007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
45,6008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
46,6009,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
47,6010,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
48,7001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
49,7002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
50,7003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
51,7004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
52,7005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
53,7006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
54,7007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
55,7008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
56,7009,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
57,7010,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
58,8001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
59,8002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
60,8003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
61,8004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
62,8005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
63,8006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
64,8007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
65,8008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
66,8009,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
67,8010,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
68,9001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
69,9002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
70,9003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
71,10001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
72,10002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
73,10003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
74,10004,103.0,AwakeningItem,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
75,10005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
76,10006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
77,10007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
78,10008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
79,11001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
80,11002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
81,11003,101.0,AwakeningItem,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
82,11004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
83,11005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
84,11006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
85,11007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
86,11008,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
87,12001,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
88,12002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
89,12003,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
90,12004,102.0,AwakeningItem,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
91,12005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
92,12006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
93,12007,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
94,12008,101.0,AwakeningItem,102.0,AwakeningItem,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
95,13001,101.0,AwakeningItem,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
96,13002,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
97,13003,105.0,AwakeningItem,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
98,13004,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
99,13005,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
100,13006,,,,,,,,,,,,,0,2024-07-08 11:00:14.399302,2024-07-08 11:00:14.399302
101,13007,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
102,13008,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
103,14001,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
104,14002,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
105,14003,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
106,14004,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
107,14005,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
108,14006,,,,,,,,,,,,,0,2024-07-08 11:00:14.412028,2024-07-08 11:00:14.412028
