id,script_name,cut_in_card_id,special_name_no,special_motion,lite_flicker_rate,energy_color,special_category_id
1,sp0001,0,0,0,70,,1.0
2,sp0015,0,0,0,70,,1.0
3,sp0001,0,0,0,70,,1.0
4,sp0002,0,0,0,70,,1.0
5,sp0023,0,0,0,70,,1.0
6,sp0023,0,0,0,70,,1.0
7,sp0001,0,0,0,70,,1.0
8,sp0001,0,0,0,70,,1.0
9,sp0003,0,0,0,70,,1.0
10,sp1009,0,0,0,70,,3.0
11,sp0035,0,0,0,70,,1.0
12,sp0024,0,0,0,70,,1.0
13,sp0036,0,0,0,70,,1.0
14,sp0022,0,0,0,70,,1.0
15,sp1001,0,0,0,70,,2.0
16,sp0025,0,0,0,70,,1.0
17,sp0037,0,0,0,70,,
18,sp0004,0,0,0,70,,1.0
19,sp0029,0,0,0,70,,1.0
20,sp0026,0,0,0,70,,1.0
21,sp0031,0,0,0,70,,1.0
22,sp0033,0,0,0,70,,1.0
23,sp0034,0,0,0,70,,1.0
24,sp0038,0,0,0,70,,2.0
25,sp0001,0,0,0,70,,1.0
26,sp0022,0,0,0,70,,1.0
27,sp0003,0,0,0,70,,1.0
28,sp1009,0,0,0,70,,3.0
29,sp0035,0,0,0,70,,1.0
30,sp0024,0,0,0,70,,1.0
31,sp0036,0,0,0,70,,1.0
32,sp0022,0,0,0,70,,1.0
33,sp1001,0,0,0,70,,2.0
34,sp0025,0,0,0,70,,1.0
35,sp0037,0,0,0,70,,
36,sp0004,0,0,0,70,,1.0
37,sp0029,0,0,0,70,,1.0
38,sp0026,0,0,0,70,,1.0
39,sp0031,0,0,0,70,,1.0
40,sp0033,0,0,0,70,,1.0
41,sp0034,0,0,0,70,,1.0
42,sp0038,0,0,0,70,,2.0
43,sp0001,0,0,0,70,,1.0
44,sp0022,0,0,0,70,,1.0
45,sp0005,0,0,0,70,,
46,sp0007,0,0,0,70,,
47,sp0010,0,0,0,70,,1.0
48,sp0032,0,0,0,70,,
49,sp1011,0,0,0,70,,2.0
50,sp1002,0,0,0,70,,2.0
51,sp0041,0,0,0,70,,1.0
52,sp0009,0,0,0,70,,1.0
53,sp0042,0,0,0,70,,3.0
54,sp0030,0,0,0,70,,1.0
55,sp0016,0,0,0,70,,1.0
56,sp1010,0,0,0,70,,3.0
57,sp0043,0,0,0,70,,1.0
58,sp1003,0,0,0,70,,2.0
59,sp1004,0,0,0,70,,2.0
60,sp0001,0,0,0,70,,1.0
61,sp0018,0,0,0,70,,1.0
62,sp1012,0,0,0,70,,3.0
63,sp0046,0,0,0,70,,
64,sp1003,0,0,0,70,,2.0
65,sp1004,0,0,0,70,,2.0
66,sp0001,0,0,0,70,,1.0
67,sp0018,0,0,0,70,,1.0
68,sp1012,0,0,0,70,,3.0
69,sp0046,0,0,0,70,,
70,sp0039,0,0,0,70,,1.0
71,sp1083,0,0,0,70,,2.0
72,sp0040,0,0,0,70,,1.0
73,sp0017,0,0,0,70,,1.0
74,sp1005,0,0,0,70,,2.0
75,sp1006,0,0,0,70,,2.0
76,sp1007,0,0,0,70,,2.0
77,sp0047,0,0,0,70,,3.0
78,sp0044,0,0,0,70,,
79,sp0019,0,0,0,70,,1.0
80,sp0048,0,0,0,70,,3.0
81,sp0020,0,0,0,70,,1.0
82,sp1003,0,0,0,70,,2.0
83,sp0001,0,0,0,70,,1.0
84,sp0015,0,0,0,70,,1.0
85,sp0001,0,0,0,70,,1.0
86,sp0002,0,0,0,70,,1.0
87,sp0003,0,0,0,70,,1.0
88,sp1009,0,0,0,70,,3.0
89,sp0035,0,0,0,70,,1.0
90,sp0024,0,0,0,70,,1.0
91,sp0036,0,0,0,70,,1.0
92,sp0022,0,0,0,70,,1.0
93,sp1001,0,0,0,70,,2.0
94,sp0004,0,0,0,70,,1.0
95,sp0029,0,0,0,70,,1.0
96,sp0013,0,0,0,70,,1.0
97,sp0026,0,0,0,70,,1.0
98,sp0031,0,0,0,70,,1.0
99,sp0033,0,0,0,70,,1.0
100,sp0034,0,0,0,70,,1.0
101,sp0038,0,0,0,70,,2.0
102,sp0001,0,0,0,70,,1.0
103,sp0022,0,0,0,70,,1.0
104,sp1002,0,0,0,70,,2.0
105,sp0041,0,0,0,70,,1.0
106,sp0009,0,0,0,70,,1.0
107,sp0042,0,0,0,70,,3.0
108,sp0030,0,0,0,70,,1.0
109,sp0016,0,0,0,70,,1.0
110,sp0043,0,0,0,70,,1.0
111,sp0040,0,0,0,70,,1.0
112,sp1004,0,0,0,70,,2.0
113,sp0025,0,0,0,70,,1.0
114,sp0037,0,0,0,70,,
115,sp0003,0,0,0,70,,1.0
116,sp0035,0,0,0,70,,1.0
117,sp0024,0,0,0,70,,1.0
118,sp0036,0,0,0,70,,1.0
119,sp0022,0,0,0,70,,1.0
120,sp1001,0,0,0,70,,2.0
121,sp0004,0,0,0,70,,1.0
122,sp0029,0,0,0,70,,1.0
123,sp0026,0,0,0,70,,1.0
124,sp0031,0,0,0,70,,1.0
125,sp0033,0,0,0,70,,1.0
126,sp0034,0,0,0,70,,1.0
127,sp0038,0,0,0,70,,2.0
128,sp1002,0,0,0,70,,2.0
129,sp0041,0,0,0,70,,1.0
130,sp0009,0,0,0,70,,1.0
131,sp0042,0,0,0,70,,3.0
132,sp0030,0,0,0,70,,1.0
133,sp0016,0,0,0,70,,1.0
134,sp1010,0,0,0,70,,3.0
135,sp0043,0,0,0,70,,1.0
136,sp0040,0,0,0,70,,1.0
137,sp1004,0,0,0,70,,2.0
138,sp0022,0,0,0,70,,1.0
139,sp0001,0,0,0,70,,1.0
140,sp0001,0,0,0,70,,1.0
141,sp0001,0,0,0,70,,1.0
142,sp0001,0,0,0,70,,1.0
143,sp0044,0,0,0,70,,
144,sp0044,0,0,0,70,,
145,sp0044,0,0,0,70,,
146,sp0044,0,0,0,70,,
147,sp0019,0,0,0,70,,1.0
148,sp0019,0,0,0,70,,1.0
149,sp0019,0,0,0,70,,1.0
150,sp0019,0,0,0,70,,1.0
151,sp0048,0,0,0,70,,3.0
152,sp0048,0,0,0,70,,3.0
153,sp0048,0,0,0,70,,3.0
154,sp0048,0,0,0,70,,3.0
155,sp0001,0,0,0,70,,1.0
156,sp0015,0,0,0,70,,1.0
157,sp0001,0,0,0,70,,1.0
158,sp0002,0,0,0,70,,1.0
159,sp0023,0,0,0,70,,1.0
160,sp0023,0,0,0,70,,1.0
161,sp0001,0,0,0,70,,1.0
162,sp0001,0,0,0,70,,1.0
