id,weight_blue,weight_green,weight_purple,weight_red,weight_yellow,weight_rainbow,created_at,updated_at
1,100,100,100,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
2,100,0,0,0,0,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
3,0,100,100,0,0,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
4,0,0,100,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
5,100,100,0,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
6,100,0,100,0,100,0,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
7,100,100,100,500,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
8,0,0,0,0,0,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
9,100,100,100,100,100,0,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
10,100,100,100,0,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
11,100,0,100,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
12,0,100,100,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
13,100,100,100,100,0,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
14,100,100,0,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
15,100,100,100,100,50,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
16,100,50,100,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
17,50,100,100,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
18,100,100,50,100,100,100,2024-06-05 09:25:21.906366,2024-06-05 09:25:21.906366
