id,card_sticker_item_id,card_decoration_id,open_at
3,3,31,2020-07-07 00:00:00
9034,1,3,2020-07-07 00:00:00
9035,1,4,2020-07-07 00:00:00
9036,1,5,2020-07-07 00:00:00
9037,1,6,2020-07-07 00:00:00
9038,1,7,2020-07-07 00:00:00
9039,1,8,2020-07-07 00:00:00
9040,1,9,2020-07-07 00:00:00
9041,1,10,2020-07-07 00:00:00
9042,1,11,2020-07-07 00:00:00
9043,1,13,2020-07-07 00:00:00
9044,1,14,2020-07-07 00:00:00
9045,1,15,2020-07-07 00:00:00
9046,1,16,2020-07-07 00:00:00
9047,1,17,2020-07-07 00:00:00
9048,1,18,2020-07-07 00:00:00
9049,1,19,2020-07-07 00:00:00
9050,1,20,2020-07-07 00:00:00
9051,1,21,2020-07-07 00:00:00
9052,1,22,2020-07-07 00:00:00
9053,1,23,2020-07-07 00:00:00
9054,1,24,2020-07-07 00:00:00
9055,1,1,2020-07-07 00:00:00
9060,1,35,2020-07-07 00:00:00
9061,1,36,2020-07-07 00:00:00
9062,1,37,2020-07-07 00:00:00
9063,1,38,2020-07-07 00:00:00
9064,1,39,2020-07-07 00:00:00
9065,1,40,2020-07-07 00:00:00
9066,1,41,2020-07-07 00:00:00
9067,1,42,2020-07-07 00:00:00
9068,1,43,2020-07-07 00:00:00
9069,1,44,2020-07-07 00:00:00
9070,1,45,2020-07-07 00:00:00
9071,1,46,2020-07-07 00:00:00
9072,1,47,2020-07-07 00:00:00
9073,1,48,2020-07-07 00:00:00
9074,1,49,2020-07-07 00:00:00
9075,1,50,2020-07-07 00:00:00
9076,1,51,2020-07-07 00:00:00
9077,1,52,2020-07-07 00:00:00
9078,1,53,2020-07-07 00:00:00
9079,1,54,2020-07-07 00:00:00
9080,1,55,2020-07-07 00:00:00
9081,1,56,2020-07-07 00:00:00
9082,1,57,2020-07-07 00:00:00
9083,1,58,2020-07-07 00:00:00
9084,1,59,2020-07-07 00:00:00
9085,1,60,2020-07-07 00:00:00
9086,1,61,2020-07-07 00:00:00
9087,1,62,2020-07-07 00:00:00
9088,1,63,2020-07-07 00:00:00
9089,1,64,2020-07-07 00:00:00
9090,1,65,2020-07-07 00:00:00
