id,collection_category_id,name,priority,card_id,background_id
1,1,Appule,99900,1000710,1
2,1,Whis,99300,1002670,2
3,1,"Uub 
(Youth)",99100,1002030,3
4,2,Pirate Robot,98500,1000770,4
5,2,Fusion Android #13,98200,1002530,5
6,2,Machine Pilaf,98100,1000450,2
7,2,Master Roshi,97900,1001020,4
8,2,"Master Roshi 
(Max Power)",97700,1003530,3
9,2,Killa,97300,1000760,3
10,2,Captain Ginyu,97200,1000950,2
12,2,Cui,96500,1001110,5
13,2,Krillin,96100,1000890,4
14,2,"Krillin 
(Police Officer)",96000,1002180,4
15,2,Guldo,95800,1001070,1
16,2,Golden Frieza,95000,2000850,2
17,2,Gokua,94800,2000720,1
18,2,King Cold,93900,2000190,2
19,3,Zarbon,93700,1000940,1
20,3,Saibaiman,93600,1000780,4
21,3,Cyborg Tao,93500,2000070,3
22,3,Zangya,93200,2000710,5
23,3,Jeice,93000,1001090,3
24,3,Shen,92900,1000460,1
25,3,Shisami,92800,1002590,3
26,3,Jaco,92700,1002210,2
27,3,Jackie Chun,92600,2000210,1
28,3,Jewel,92100,1000750,1
29,3,Android #13,91900,1002520,4
32,3,Android #16,91800,1001010,1
33,3,Android #17,91700,1000990,5
34,3,"Android #17 
(Future)",91600,1001730,4
35,3,Android #18,91400,1001000,5
36,3,"Android #18 
(Future)",91200,1001740,2
37,3,Android #19,91100,1001230,3
38,3,Cymbal,90700,1000480,1
39,3,Super Saiyan Goku,89400,1000010,5
40,3,"Super Saiyan 2 
Goku",89100,1003180,1
41,3,Super Saiyan 3 Goku,88900,1001920,3
42,3,"Super Saiyan God 
SS Goku",88500,1002080,5
43,3,"Super Saiyan Goten 
(Kid)",87600,1002580,5
44,3,"Super Saiyan Gohan 
(Youth)",86900,1001390,2
45,3,"Super Saiyan 2 
Gohan (Youth)",86800,1002700,3
46,3,"Super Saiyan Gohan 
(Teen)",86700,1002200,5
47,3,"Super Saiyan Trunks 
(Kid)",86100,1002570,3
48,3,"Super Saiyan Trunks 
(Teen)",86000,1001590,2
49,3,Super Trunks,85300,1001800,5
50,3,Super Saiyan Bardock,85200,1001490,5
51,3,Super Saiyan Vegeta,84700,1000840,4
52,3,Super Saiyan 2 Vegeta,84500,1001790,5
53,3,"Super Saiyan God 
SS Vegeta",84100,1002090,3
54,3,Spopovich,82500,1000610,3
55,3,Fasha,82200,1001500,5
56,3,"Cell 
(1st Form)",82000,1000080,1
57,3,"Cell 
(2nd Form)",81900,1001710,3
58,3,"Cell 
(Perfect Form)",81800,1001720,4
59,3,Sorbet,81300,1002160,2
60,3,Goku,81200,1003140,3
61,3,"Goku 
(Kaioken)",81100,1001400,5
62,3,"Goku 
(Youth)",80900,1002240,5
63,3,"Goten 
(Kid)",80100,1002000,5
65,3,"Gohan 
(Kid)",79800,1001620,4
66,3,"Gohan 
(Teen)",79600,1002190,2
67,3,"Gohan 
(Youth)",79700,1002680,5
68,4,Dabura,79100,1001980,4
69,4,Mercenary Tao,78300,1000260,3
70,4,Tagoma,78200,1002170,1
71,4,Tambourine,77900,1000470,4
72,4,Chi-Chi,77700,1001040,3
73,4,"Chi-Chi 
(Youth)",77600,1003540,2
74,4,Chiaotzu,77500,1000920,1
75,4,Chilled,77100,2000180,1
76,4,Master Shen,77000,1001380,5
77,4,Tien,76600,1002600,2
78,4,Tora,76300,1001540,5
79,4,Dr. Gero,75800,1001840,2
80,4,Borgos,75400,1001550,4
81,4,Dodoria,75200,1001050,3
82,4,Drum,74800,1000490,1
83,4,"Trunks 
(Teen)",74400,1001860,2
84,4,"Trunks 
(Xeno)",74300,2000170,4
85,4,"Trunks 
(Kid)",74700,1001760,3
86,5,Nappa,74000,1001420,4
87,5,Nail,73400,1001100,2
88,6,Burter,73200,1001080,5
89,6,Bardock,73100,2000140,3
90,6,Perfect Cell,72900,1001690,2
91,6,Paikuhan,72500,2000130,5
92,6,Babidi,72000,1002050,2
93,6,Babidi's Minion,71900,1000730,3
94,6,Shugesh,71300,1001560,1
95,6,Videl,71000,1001990,3
96,6,Piccolo,70900,1001630,5
97,6,Bido,70500,2000730,4
98,6,Beerus,70300,1002660,1
99,6,Pui Pui,70000,1002070,5
100,6,Bujin,69900,2000740,2
101,6,"Frieza 
(1st Form)",69300,2000040,2
102,6,"Frieza 
(2nd Form)",69200,1001520,3
103,6,"Frieza 
(3rd Form)",69100,1001600,1
104,6,"Frieza 
(Final Form)",69000,1001580,5
105,6,Frieza Soldier,68600,1000790,3
107,6,Full Power Boujack,68400,1002560,3
108,6,Pintar,67500,1000740,1
109,6,Vegeta,67300,2000060,5
110,6,"Vegeta 
(Kid)",67000,2000050,3
111,6,King Vegeta,66800,2000120,2
112,6,Boujack,66200,2000700,3
113,7,Mighty Mask,65800,2000200,1
114,7,Piccolo Jr.,65600,1002280,4
115,3,Cell Jr.,81400,1000600,5
116,7,"Buu 
(Super)",65200,1001960,1
117,7,"Majin Buu 
(Pure Evil)",64600,1001950,3
118,7,"Majin Buu 
(Good)",64500,1001940,4
119,7,Majin Vegeta,64200,1001930,1
120,7,Hercule,64000,1000820,2
122,7,Mecha Frieza,63200,2000280,2
123,8,Yakon,62800,1002060,5
124,8,Yajirobe,62700,1001340,4
125,8,Yamu,62600,1000620,3
126,8,Yamcha,62500,1001890,5
127,9,Raditz,62100,1001430,3
128,9,Recoome,61700,1001060,4
129,9,Red Ribbon Soldier,61000,1000800,3
130,2,Cooler,96300,1002470,3
131,2,"Cooler 
(Final Form)",96200,1003610,3
132,3,Thouser,93400,1002490,5
133,4,Doure,76100,1002500,1
134,5,Naise,73500,1002510,3
135,2,Great Saiyaman,95700,1002940,5
136,2,Great Saiyaman 2,95400,1002950,3
137,1,Ultimate Gohan,99700,1002020,1
138,7,"Buu 
(Kid)",64800,1001970,4
139,6,Bulma,68200,1003880,3
140,2,"Krillin 
(Youth)",95900,1002340,1
141,7,Hercule Statue,63800,1002630,1
142,7,Mr. Buu,63700,1003330,4
143,3,"Super Saiyan 
God Goku",88600,1003690,1
144,3,"Goku 
(GT)  ",81000,1002960,3
145,4,Turles,78800,1003660,3
146,2,Cacao,98400,1003920,2
147,4,Daiz,78600,1003930,3
148,1,Amond,99800,1003940,4
149,9,Rasin,61100,1003950,5
150,9,Lakasei,62200,1003960,5
151,3,"Goku 
(Angel)",80700,1002860,5
152,6,"Pan 
(GT)",71600,1002980,3
153,3,"Super Saiyan 
Goku (GT)",88400,1003020,4
154,3,"Super Saiyan 
Trunks (GT)",85700,1002990,2
155,3,Majuub,90400,1004000,3
156,6,"Vegeta 
(GT)",67100,1003000,4
157,3,"Super Saiyan 
Gohan (GT)",86300,1003130,4
158,7,"Hercule 
(GT)",63900,1003060,1
159,3,"Grandpa 
Gohan",79000,2000090,1
160,6,"Demon King Piccolo 
(Elder)",70700,1002260,2
161,6,Demon King Piccolo,70800,1002270,3
162,1,Devilman,100000,1002360,1
163,1,Oolong,98900,1003160,2
164,4,King Chappa,77300,1003150,3
165,4,Dracula Man,75000,1002380,4
166,7,Bandages,64100,1002370,1
167,7,Murasaki,63300,1002300,2
168,6,General Blue,68500,1002310,4
169,6,"Bulma 
(Youth)",68100,1003980,1
170,9,Elder Kai,60900,1003970,1
171,6,Vegito,66700,1002390,2
172,6,Pan (Kid),71700,1002040,1
173,7,"Majin Buu 
(Piccolo)",64400,1003550,3
174,6,Broly,67600,2000620,2
175,3,Super Saiyan Broly,84900,2000630,3
176,4,"Legendary 
Super Saiyan Broly ",76400,2000640,4
177,6,Paragus,71800,2000760,1
178,2,Supreme Kai,98600,1003480,4
179,7,Metal Cooler,63100,1004600,3
180,9,Cyclopian Guards,60700,1003650,1
181,3,Super Vegeta,83700,1004370,2
182,2,Gotenks,94300,1002400,2
183,6,Bulma (Bunny),68000,1004180,3
184,9,Launch,61900,1004190,4
185,6,"Staff Officer 
Black",69600,1004670,3
186,2,Giran,96400,1004660,2
187,2,"Gotenks 
(Failure) A",94200,1004800,4
188,2,"Gotenks 
(Failure) B",94100,1004810,2
189,1,"Uub 
(Teen)",99000,1005250,3
190,2,Kibito,96800,1003460,1
191,3,"Super Saiyan 2 
Gohan (Teen)",86600,1003270,3
192,4,Dr. Lychee,75700,1003400,1
193,6,Hatchiyack,72100,1003380,2
194,3,"Super Saiyan 
Goku (Angel)",89300,1005070,2
195,3,"Super Saiyan 3 
Vegeta",84300,1003240,2
196,2,Kibito Kai,96700,1003470,4
197,6,Veku,67400,1002410,4
198,3,Super Gogeta,90300,1005270,3
199,3,Super Janemba,83500,1002800,2
200,3,"Super Saiyan 
Gotenks",87400,1004720,4
201,2,Kami,98000,1004950,4
202,5,Namu,73700,1005590,2
203,6,Bacterian,72300,1005600,4
204,3,"Super Saiyan 
Vegeta (GT)",84000,1004040,1
205,4,Towa,60600,1004960,5
206,7,Mira,63500,1004970,4
207,7,Demigra,65400,1004980,2
208,3,"Super Saiyan 
Trunks (Xeno)",85900,1004990,1
209,4,"Supreme Kai 
of Time",76000,1005510,4
210,4,"Trunks 
(Youth) (Future)",74200,2000220,2
211,3,"Super Saiyan 
Gohan (Future)",86400,2000230,1
212,3,"Gohan 
(Future)",79400,1005610,4
213,3,"Super Saiyan 
Trunks (Future)",85800,1005620,2
214,6,"Frieza 
(Full Power)",68700,1003320,4
215,3,Super Zarbon,83600,1001530,5
216,7,Mutaito,63400,1003450,1
217,2,"Ginyu 
(Goku)",97100,1001610,5
218,3,"Super Saiyan 2 
Goku (GT)",88300,1003030,4
219,7,Meta-Rilldo,62900,1005940,3
220,6,"Baby 
(Youth Form)",66500,1006000,2
221,9,General Rilldo,61200,1005920,3
222,6,Hyper Meta-Rilldo,72400,1005930,3
223,3,"Super Saiyan 2 
Goku (Angel)",89000,1004210,1
224,7,"Majin Buu 
(Gotenks)",65000,1003570,3
225,2,"Great Saiyaman 
(SS2)",95600,1005210,4
226,3,"Super Saiyan 2 
Trunks (Teen)",85500,1005190,3
227,5,"Nappa 
(Giant Ape)",73800,1005130,2
228,3,"Goku 
(Youth) (Giant Ape)",80800,1002820,4
229,6,"Vegeta 
(Giant Ape)",67200,1002830,5
230,9,"Raditz 
(Giant Ape)",62000,1005140,3
231,4,Tarble,78900,1005420,2
232,3,"Super Saiyan 
Vegeta (Angel)",84600,1005080,5
233,4,"Grand Supreme 
Kai",78400,1004470,1
234,3,Super Baby 2,83000,1006030,2
235,3,"Super Saiyan 3 
Goku (GT)",88200,1006750,3
236,3,Gohan (GT),79300,1006250,5
237,3,"Goten 
(GT)",80000,1004020,3
238,3,"Goten 
Possessed (GT)",79900,1006280,4
239,3,"SS Goten 
Possessed (GT)",87500,1006310,4
240,6,Baby Vegeta,66900,1006010,5
241,6,"Bardock 
(Giant Ape)",73000,1002810,1
242,3,"Fasha 
(Giant Ape)",82100,1006480,3
243,6,"Shugesh 
(Giant Ape)",71200,1006490,2
244,4,"Borgos 
(Giant Ape)",75300,1006500,4
245,4,"Tora 
(Giant Ape)",76200,1006510,5
246,3,Super Vegito,83200,1008410,5
247,7,"Piccolo Jr. 
(Giant Form)",65500,1005170,3
248,6,"Pan 
(GT) (Honey)",71500,1007360,3
249,6,Hit,70600,1007090,3
250,6,Botamo,66000,1007020,4
251,7,Magetta,65700,1007080,3
252,6,"Frost 
(Final Form)",67700,1007050,5
253,2,Cabba,96600,1007060,1
254,3,"Super Saiyan 
Cabba",90000,1007070,1
255,3,"Super Saiyan 3 
Gotenks",87200,1007930,1
256,8,Yamhan,62400,1008350,4
257,3,Champa,92200,1007950,4
258,6,Frost,67900,1007030,5
259,6,"Frost 
(Assault Form)",67800,1007040,5
260,2,Karoly,97400,1008340,1
261,6,Coolieza,69800,1008650,3
262,6,Pandel,71400,1008660,2
263,6,Barlot,72700,1008670,3
264,4,Chiaoman,77400,1008680,4
265,6,Bulpan,69500,1008690,5
266,3,Janembu,92300,1008700,1
267,7,"Majin Buu 
(Ultimate Gohan)",65100,1008100,2
268,7,"Majin Buu 
(South Supreme Kai)",64300,1008131,1
269,4,"Turles 
(Giant Ape)",78700,1005150,5
270,3,"Androids 
#17 & #18",91500,1008770,5
