id,help_category_id,num,title,description,created_at,updated_at
1,1,1000,Team Formation,"冒険に連れて行くチームを編成することができます。

最大6人一組のチームを編成することができます。

編成したチームの総コストがコスト上限を超えていると冒険に行くことができません。
※コスト上限はプレイヤーのランクに応じて増加します。

キャラクターを編成していない枠には、緊急要員として栽培マンがバトルに参加することになります。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
2,1,990,Training,"修業を行うと、キャラクターは経験値を獲得します。
レベルを上げ、パラメータを強化させることができます。

修業は、以下のフローで行います。

１：修業をするキャラを選択（必須）
２：修業相手を選択（最低１体必須）
３：修業アイテムを選択（任意）
４：修業場所を選択（任意）

修業するキャラクターのレベルや使用するアイテムによって、必要なゼニーが変動します。

また、修業するキャラクターと修業相手が同じ（通り名とキャラクター名が同じ）場合、必殺技レベルが上昇したり、属性が同じ場合は獲得経験値にボーナスがつく場合があります。

修業に使用した修業相手、修業アイテム、荒野以外の修業場所は消費されるので注意しましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
3,1,980,Awakening,"覚醒を行うとキャラクターの潜在能力を呼び覚まし、パラメータを上昇させることができます。

覚醒を行うには、キャラクター毎に決っている覚醒メダルとゼニーが必要です。

覚醒ではキャラクターに経験値入りませんが、レベルに関係なく行えるので、必要なアイテムが揃ったら迷わず覚醒させましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
4,1,970,Z-Awakening,"Z覚醒を行うと、キャラクターの真の潜在能力を呼び覚まし、パラメータを大幅に上昇させることができます。

またレアリティがアップし、属性もより強力なものに変化します。

Z覚醒は、

１：キャラクターのレベルが最大
２：必要な覚醒メダルを全て揃える

ことで行えます。

Z覚醒後は必殺技レベルも持ち越されますが、コストが上昇する場合もあるため、チームコスト不足にならないよう注意しましょう。
",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
5,1,960,Dokkan Awakening,"ドッカン覚醒を行うと、より強力なキャラクターへとパワーアップすることができます。

ドッカン覚醒を行うには、Z覚醒したLv.MAXのキャラクターと、覚醒メダルとゼニーが必要になります。

ドッカン覚醒後はレベル1の状態になってしまいますが、再度Z覚醒することが可能になるため、さらなる成長が期待できます。

※ドッカン覚醒は全てのキャラクターが行えるわけではありません。
※必殺技レベルは、ドッカン覚醒前のものが引き継がれます。
※ドッカン覚醒したキャラクターを覚醒前の状態に戻すことはできません。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
6,1,950,Leader Skills,"そのキャラクターをリーダーに設定した際に発揮する特殊な能力です。

冒険に連れて行ったフレンドのリーダーも、リーダースキルを発動します。

リーダースキルはそのキャラクターが攻撃に参加していないターンでも効果を発揮します。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
7,1,940,Passive Skills,"バトル中、特定の条件下において発揮する特殊な能力です。

発動条件はスキル毎に異なります。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
8,1,930,Link Skills,"キャラクター毎に複数所持している特殊なスキルです。

バトル中の攻撃順選択時、同じリンクスキルを持ったキャラクターが隣同士に並ぶと必ず発動します。

発動効果は「キャラクター詳細」の「リンクスキル」より確認できます。
",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
9,1,920,Favorites,"キャラクターを「お気に入り」に登録してくと、誤って修業相手に使ったり売却しないようにすることができます。

キャラクター詳細画面の右上にある鍵のアイコンをタップすることで、お気に入りと解除が切り替えられます。

お気に入りに登録しているキャラクターは、キャラクター一覧でアイコンに鍵のマークが表示されます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
10,2,910,How to Quest,"マップ上の敵を倒しながら進んでいき、ゴールにたどり着くことが目的です。

先に進むには画面下部の「丸い数字」をタップすると、選んだ数字の数だけ進みます。
※「丸い数字」はランダムに決まります。

途中、道が分岐している箇所では、進む方向を自分で選択する必要があります。

先に何があるのか注意して進みましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
