id,step_id,process_type,parameters,number,created_at,updated_at
10,1,USM_MOVIE,"{""file"":""tutorial_op.usm"",""skippable"":false}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
20,2,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
21,2,CHARAGEKI,"{""file"":""0000001.kks""}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10000,1000,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10001,1000,CHARAGEKI,"{""file"":""0000002.kks""}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10100,1010,WAIT_INITIALIZE_PUZZLE,{},1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10101,1010,WAIT_TIMER,"{""time"":1}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10102,1010,DESCRIPTION_DIALOG,"{""id"":1000}",3,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10103,1010,DESCRIPTION_DIALOG,"{""id"":1010}",4,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10104,1010,DESCRIPTION_DIALOG,"{""id"":1020}",5,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10105,1010,DESCRIPTION_DIALOG,"{""id"":1030}",6,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10106,1010,PUZZLE_SELECT_BALL,"{""index"":2,""player_attack_damage"":152738}",7,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10107,1010,PUZZLE_SELECT_BALL,"{""index"":8,""player_attack_damage"":47113}",8,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10108,1010,WAIT_NEXT_TURN,"{""enemy_attack_damages"":[38619,71043]}",9,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10109,1010,CHARAGEKI,"{""file"":""0000003.kks""}",10,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10110,1010,DESCRIPTION_DIALOG,"{""id"":1100}",11,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10111,1010,DESCRIPTION_DIALOG,"{""id"":1110}",12,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10112,1010,DESCRIPTION_DIALOG,"{""id"":1120}",13,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10113,1010,PUZZLE_CHANGE_ATTACK_ORDER,"{""index"":2}",14,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10114,1010,WAIT_TIMER,"{""time"":0.4}",15,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10115,1010,PUZZLE_SELECT_BALL,"{""index"":0,""player_attack_damage"":88403}",16,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10116,1010,PUZZLE_SELECT_BALL,"{""index"":8,""player_attack_damage"":912870}",17,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10117,1010,WAIT_FINISH_BATTLE,"{""enemy_attack_damages"":[5180,222]}",29,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
10200,1020,CHARAGEKI,"{""file"":""0000004.kks""}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
20000,2000,CHARAGEKI,"{""file"":""0000005.kks""}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
20001,2000,GASHA,"{""id"":1000}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
20100,2010,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
20101,2010,CHARAGEKI,"{""file"":""0000006.kks""}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
30000,3000,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
30001,3000,CHARAGEKI,"{""file"":""0000007.kks""}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40000,4000,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40001,4000,DESCRIPTION_DIALOG,"{""id"":2000}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40002,4000,DESCRIPTION_DIALOG,"{""id"":2010}",3,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40003,4000,DESCRIPTION_DIALOG,"{""id"":2020}",4,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40004,4000,TRAINING_DECIDE_FIELD_BUTTON,{},5,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40005,4000,TRAINING_SELECT_FIELD,{},6,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40006,4000,WAIT_TIMER,"{""time"":0.5}",7,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40007,4000,TRAINING_DECIDE_FIELD,{},8,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40008,4000,WAIT_TIMER,"{""time"":1}",9,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40009,4000,DESCRIPTION_DIALOG,"{""id"":2030}",10,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40010,4000,DESCRIPTION_DIALOG,"{""id"":2040}",11,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40011,4000,DESCRIPTION_DIALOG,"{""id"":2050}",12,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40012,4000,DESCRIPTION_DIALOG,"{""id"":2060}",13,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40013,4000,DESCRIPTION_DIALOG,"{""id"":2070}",14,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40014,4000,TRAINING_AUTO_SELECT_PARTNER,{},15,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40015,4000,TRAINING_AUTO_SELECT_ITEM,{},16,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40016,4000,DESCRIPTION_DIALOG,"{""id"":2080}",17,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
40017,4000,TRAINING_START,{},18,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
