id,scene_name,description
1,CharacterMenuScene,Select Menu.
2,TeamListScene,Tap a Character Slot to move to the character select screen.
3,TeamMemberSelectScene,Tap the Z Button in the upper left to remove a character from your team.
4,TeamMemberPackSelectScene,Add up to 6 characters to your team.
5,CharacterSellScene,"Up to 99 characters can be sold at a time. Tap the ""Select Hercule Statues"" button to sell multiple Hercule Statues at once."
6,CharacterTrainingScene,Select a character to power up via Training.
7,TrainingSelectPartnersScene,The chances of leveling up a Super Attack are counted separately for each Training Partner. Select Training Partners of the same Type to receive a bonus.
8,TrainingSelectItemsScene,Select Training Items. Up to 10 identical Training Items can be selected.
9,TrainingSelectFieldScene,New Training Locations are unlocked via Quests and Login Bonuses. All except the Wasteland have a usage limit.
10,AwakenTopScene,Select a character to Awaken.
11,AwakenScene,"Select the medals to use for this Awakening. A character must be at max level in order to undergo a Z-Awakening. By tapping and holding an Awakening Medal, you can attempt the event it can be obtained from."
12,CharacterListScene,"Tap to view the Character Details screen, where you can register characters as favorites."
13,ItemBoxScene,View your item inventory.
14,TrainingItemScene,Tap to view details.
15,AwakenItemScene,Tap to view details.
16,SupportItemScene,Tap to view details.
17,EncyclopediaTopScene,View the characters you have obtained.
18,GashaMenuScene,"Use Friend Points to get Friend Summon, and Dragon Stones to get Rare Summon."
19,GashaResultScene,Tap to view the Character Details screen.
22,DragonBallListScene,View the Dragon Balls in your possession. Tap one you don't have yet to view its location.
23,FriendMenuScene,Select Menu.
24,FriendListScene,Your Friends are displayed here. Note that there is a limit to the number of Friends you can have.
25,FriendSearchScene,Enter the User ID you wish to search for.
26,FriendApprovalScene,Only 30 friend requests can be pending at any one time. Unconfirmed requests will automatically be rejected after 30 days.
27,PresentScene,Up to 100 gifts can be displayed at once. Sort order can be toggled to display newest or oldest first.
28,OtherMenuScene,Select Menu.
29,ChangeDeviceScene,You can back up your game data by linking to a third-party service.
30,SetOptionsScene,Edit various settings.
31,HelpListScene,Select Menu.
32,HelpNameChangeScene,Maximum length is 10 characters. Note that emoji cannot be used.
33,HelpPurchaseRecordScene,Review your purchase history for the past 3 months (including this month).
34,HelpCopyrightScene,View terms of use and copyright information.
35,AdventureWorldMapScene,"In Quest, you can enjoy the original story of Dokkan Battle as you collect Dragon Balls. Please select an Area to play."
36,AdventureAreaMapScene,"Select a Quest stage. Stages where you can take on ""Trial Missions"" will be marked with a scroll icon."
37,SelectDifficultyBaseScene,"Select a difficulty. STA consumed, enemy strength and the reward(s) obtained differ between difficulties. Difficulties where you can take on ""Trial Missions"" will be marked with a scroll icon."
38,SelectCompanyBaseScene,Select a Friend to accompany you on your Quest.
39,SelectTeamBaseScene,"This is your last chance to make changes. Swipe left or right to edit your team. When you are ready to embark on your Quest, tap “Start!”"
40,SelectTeamScene,"This is your last chance to make changes. Swipe left or right to edit your team. When you are ready to embark on your Quest, tap “Start!”"
41,TrainingMainScene,Training requires a minimum of 1 Training Partner or 1 Training Item.
42,EventTopScene,Select an Event.
43,EventQuestSelectScene,Select an Event stage to attempt.
44,MissionTopScene,Tap a Mission to view the available rewards. The number in the red circle indicates how many rewards can be claimed.
45,MissionSelectScene,"Tap ""Details"" to view Mission details. After completing a Mission, tap it again to claim any rewards you have waiting."
46,CollectionCardTopScene,"After selecting a category, tap a character to move to the Gallery."
47,CollectionUniqueCardScene,"Acquiring a card allows you to view its max-level stats. If not yet Z-Awakened, it will appear in its normal state."
48,TenkaichiHomeScene,"Tap ""Participate"" to join the Tournament. Tournament Points earned from a round (preliminary, quarterfinal, semifinal and final) will be added to your Total Tournament Points after the current round ends."
49,TenkaichiProgressComfirmScene,"If you retire, you will leave the current tournament and the Tournament Pts you earned up to that pts. will be added to your total."
50,TenkaichiSelectCompanyScene,Select a friend to join the tournament with.
51,TenkaichiSelectTeamScene,This is the final confirmation screen. You will not be able to change or edit your team during the tournament.
52,TenkaichiRankScene,This is the ranking of the World Tournament. The Local Ranking changes according to the Tournament Points you have earned during the event period. It will take some time for the update to be reflected.
53,TenkaichiClassScene,Here you can check your current Tier. Your Tier is determined based on your total Tournament Pts.
54,TenkaichiRewardScene,"Here you can check rewards for Rankings and Missions. Check ""News"" for information on when the Overall Ranking Rewards and Local Ranking Rewards are distributed."
55,TenkaichiHelpListScene,Please select a category to check how to play in the World Tournament.
56,TenkaichiHelpCategoryScene,Select the section you want to view.
57,TenkaichiHelpDetailScene,"Tap ""<<<"" to return to the previous screen."
58,SpecialItemScene,Tap to view details
59,ExchangeSelectScene,You can exchange your items and characters for Coins or Trade Points.
60,ExchangeAwakenItemScene,You can exchange your Awakening Medals for Trade Points. The exchange rate will differ depending on the Medal.
61,ExchangeSupportItemScene,You can exchange your Support Items for Trade Points. The exchange rate will differ depending on the item.
62,ExchangeTrainingItemScene,You can exchange your Training Items for Trade Points. The exchange rate will differ depending on the item.
63,ExchangeCharacterScene,You can exchange your characters for Trade Points. The exchange rate will differ depending on the character.
64,TradeExPointScene,You can use Trade Points to purchase items. You can increase Trade Points by tapping the + icon.
65,TradeZeniScene,"You can use Zeni to purchase items. If products are sold out, wait a while and they will be restocked."
66,TradeTreasureItemScene,Swipe left or right to switch between item lists. You can use Treasures to exchange for items.
67,DokkanAwakenListScene,These are the characters you are able to Dokkan Awaken. Tap on the character to see the required medals.
68,TreasureItemScene,Tap to view details
69,ReverseMenuScene,"Selecting ""Dokkan Awaken"" will undo the effects of Reverse and the character will be restored to their Dokkan Awakened status."
70,CharacterReverseSelectScene,Select the character you want to revert to their pre-Dokkan Awakened status.
71,CharacterReverseConfirmScene,"Once Reversed, the character's level, stats, and Super Attack Level may decrease, but a Reverse Dokkan Awakening will restore these."
72,CharacterReawakeSelectScene,Select the character you want to restore to the Dokkan Awakened status.
