id,num,awakening_item_id,quantity,card_awakening_set_id,created_at,updated_at
1,1,1,50,1,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
2,2,8,20,1,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
3,3,13,10,1,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
4,4,14,3,1,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
5,5,20,1,1,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
6,1,1,50,2,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
7,2,4,20,2,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
8,3,11,10,2,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
9,4,18,3,2,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
10,5,19,1,2,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
11,1,1,50,3,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
12,2,6,20,3,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
13,3,12,10,3,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
14,4,16,3,3,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
15,5,20,1,3,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
16,1,1,50,4,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
17,2,7,20,4,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
18,3,10,10,4,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
19,4,17,3,4,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
20,5,19,1,4,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
21,1,1,20,5,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
22,2,6,10,5,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
23,3,12,5,5,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
24,4,16,1,5,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
25,1,2,20,6,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
26,2,4,10,6,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
27,3,11,5,6,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
28,4,18,1,6,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
29,1,3,20,7,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
30,2,6,10,7,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
31,3,12,5,7,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
32,4,16,1,7,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
33,1,3,20,8,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
34,2,8,10,8,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
35,3,13,5,8,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
36,4,14,1,8,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
37,1,1,20,9,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
38,2,4,10,9,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
39,3,11,5,9,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
40,4,18,1,9,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
41,1,1,20,10,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
42,2,8,10,10,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
43,3,13,5,10,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
44,4,14,1,10,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
45,1,3,20,11,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
46,2,5,10,11,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
47,3,9,5,11,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
48,4,15,1,11,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
49,1,2,20,12,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
50,2,5,10,12,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
51,3,9,5,12,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
52,4,15,1,12,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
53,1,1,20,13,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
54,2,7,10,13,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
55,3,10,5,13,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
56,4,17,1,13,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
57,1,2,20,14,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
58,2,7,10,14,2024-07-24 07:39:25.766161,2024-07-24 07:39:25.766161
