id,battle_param_value,name,created_at,updated_at
1,1,Transformation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
2,2,Special Fusion,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
3,3,Fusion,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
4,4,Assimilation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
5,5,Absorption,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
6,6,Possession,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
7,7,Awakening,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
8,8,Boost,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
9,9,Evolution,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
10,10,Mutation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
11,11,Exchange,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
12,12,Rejuvenation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
13,13,Deactivation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
14,14,Giant Ape Transformation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
15,15,Phantom Majin's Seal Is Broken,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
16,16,Giant Form Transformation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
17,17,Core's Appearance,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
18,18,Rage,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
19,19,Revival,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
20,20,Outfit Change,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
21,21,Body Change,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
22,22,Morale Boost,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
23,23,Standby Skill Activation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
24,24,Finish Effect Activation,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
25,25,Omnipresence,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
27,27,Cloning,2024-05-17 11:39:42.107032,2024-05-17 11:39:42.107032
