id,dokkan_field_efficacy_set_id,exec_timing_type,efficacy_type,calc_option,turn,is_once,probability,eff_value1,eff_value2,eff_value3,efficacy_values,causality_conditions,created_at,updated_at
1,1,18,121,0,4,0,100,0,0,0,{},,2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
2,2,18,121,0,5,0,100,0,0,0,{},,2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
3,3,18,121,0,5,0,100,0,0,0,{},,2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
4,4,18,121,0,4,0,100,0,0,0,{},,2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
1000001,1,18,3,2,1,0,100,10,10,0,{},"{""source"":""2530\u00262531"",""compiled"":[""\u0026"",2530,2531]}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
1000002,2,18,122,2,1,0,100,30,0,0,{},"{""source"":""2563"",""compiled"":2563}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
1000003,3,1,122,2,1,0,100,30,0,0,{},"{""source"":""2651"",""compiled"":2651}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
1000004,4,18,3,2,1,0,100,10,10,0,{},"{""source"":""3068"",""compiled"":3068}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
2000001,1,1,3,2,1,0,100,10,10,0,{},"{""source"":""2530\u00262531"",""compiled"":[""\u0026"",2530,2531]}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
2000002,2,1,122,2,1,0,100,30,0,0,{},"{""source"":""2563"",""compiled"":2563}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
2000004,4,18,3,2,1,0,100,10,10,0,{},"{""source"":""3068\u00262651"",""compiled"":[""\u0026"",3068,2651]}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
3000004,4,1,3,2,1,0,100,10,10,0,{},"{""source"":""3068"",""compiled"":3068}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
4000004,4,1,3,2,1,0,100,10,10,0,{},"{""source"":""3068\u00262651"",""compiled"":[""\u0026"",3068,2651]}",2024-05-17 11:41:13.108219,2024-05-17 11:41:13.108219
