id,name,description,max_exec_count,priority,support_film_id,cost,unlock_quantity,script_name,lite_flicker_rate,open_at,close_at,created_at,updated_at
10001,Oolong's Wish,"Chance of obtaining bonus rewards +50% 
in events with the special effect 
""Bonus Reward Drop Rate Increased"" 
(once only)",1,0,1,70,100,sm10001,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
10002,Goku Gets Married!,"""Goku's Family"" Category allies' 
ATK & DEF +10% in battle",1,0,1,200,10,sm10002,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
10003,Training Complete!,"All allies' ATK & DEF +3000 and chance of 
performing a critical hit +3% for 3000 turns 
from the start of battle (once only)",1,0,1,70,100,sm10003,30,2023-08-10 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
10004,Martial Artist's Mettle,"All allies' Ki +1 and ATK & DEF +10% for 3 turns 
when there is a ""World Tournament"" Category 
enemy or ally on the team starting from 
the 3rd turn from the start of battle (once only)",1,0,1,120,100,sm10004,50,2023-07-07 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
10005,Meet the Flying Nimbus,"""DB Saga"" Category allies' ATK & DEF +10% 
for 2 turns from the start of battle (once only)",1,0,1,100,9,sm10005,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
10006,First Friend Ever,"""Youth"" or ""Androids"" Category allies' 
ATK, DEF & chance of performing a critical hit +8% 
for 2 turns from the start of battle (once only)",1,0,1,120,6,sm10006,30,2024-05-14 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20001,Frieza's Fury,"Extreme Class allies' ATK +15% 
for 1 turn when there is a 
Super Class enemy (once only)",1,0,2,70,100,sm20001,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20002,Secret Feelings,"""Majin Buu Saga"" Category allies' Ki +2 
for 2 turns from the start of battle",1,0,2,120,100,sm20002,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20003,Birth of the Strongest Pair on the Planet,"All allies' Ki +2 for 2 turns 
from the start of battle (once only)",1,0,2,100,12,sm20003,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20004,Transcend the Super Saiyan!,"""Super Saiyans"" Category allies' ATK & DEF +10% or 
""Super Saiyan 2"" Category allies' ATK & DEF +20% 
for 2 turns from the start of battle (once only)",1,0,2,150,100,sm20004,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20005,Power Level 530000,"""Planet Namek Saga"" Category 
Extreme Class allies' ATK & DEF +15% in battle",1,0,2,200,100,sm20005,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20006,Warrior Awakened through Fury,"""Planet Namek Saga"" Category 
Super Class allies' ATK & DEF +15% in battle",1,0,2,200,100,sm20006,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20007,Gohan's Tears,"""Goku's Family"" Category allies' 
ATK & DEF +10% for 2 turns 
from the start of battle (once only)",1,0,2,100,100,sm20007,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20008,Curious Destiny,"Recovers 35% HP on the 4th turn from 
the start of battle, or when HP is 40% or less with 
a ""Pure Saiyans"" Category ally on the team (once only)",1,0,2,170,100,sm20008,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20009,Captain Ginyu's Super Fighting Pose,"Extreme Class allies' ATK & DEF +10% 
for 2 turns when there is a 
Super Class enemy (once only)",1,0,2,120,100,sm20009,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20011,Bonds Forged in the Past,"""Vegeta's Family"" Category allies' 
ATK & DEF +10% for 2 turns 
from the start of battle (once only)",1,0,2,100,100,sm20010,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20012,Vegeta's Pride,"""Corroded Body and Mind"" Category allies' 
Ki +1 and ATK & DEF +10% for 2 turns 
from the start of battle (once only)",1,0,2,120,100,sm20012,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20013,Krillin's Astonishing Power-Up,"""Rapid Growth"" Category allies' ATK & DEF +10% 
and ""Planet Namek Saga"" Category allies' Ki +3 
for 2 turns from the start of battle",1,0,2,170,8,sm20013,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
