id,sd_arena_id,sd_enemy_table_id,respawn_minutes,position_x,position_y,created_at,updated_at
1,1,1,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
2,1,4,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
3,1,2,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
4,1,4,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
5,1,3,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
6,2,7,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
7,2,5,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
8,2,8,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
9,2,8,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
10,2,6,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
11,3,12,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
12,3,12,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
13,3,10,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
14,3,11,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
15,3,9,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
16,4,15,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
17,4,16,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
18,4,16,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
19,4,13,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
20,4,14,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
21,5,17,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
22,5,20,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
23,5,18,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
24,5,20,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
25,5,19,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
26,6,23,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
27,6,21,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
28,6,24,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
29,6,24,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
30,6,22,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
31,7,28,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
32,7,28,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
33,7,26,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
34,7,27,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
35,7,25,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
36,8,31,60,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
37,8,32,60,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
38,8,32,60,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
39,8,29,60,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
40,8,30,60,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
41,9,33,0,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
42,9,36,0,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
43,9,36,0,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
44,9,34,0,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
45,9,35,0,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
46,10,37,0,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
47,10,40,0,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
48,10,40,0,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
49,10,38,0,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
50,10,39,0,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
51,11,41,0,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
52,11,44,0,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
53,11,44,0,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
54,11,42,0,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
55,11,43,0,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
56,12,45,0,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
57,12,48,0,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
58,12,48,0,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
59,12,46,0,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
60,12,47,0,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
61,13,49,0,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
62,13,52,0,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
63,13,52,0,5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
64,13,50,0,-7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
65,13,51,0,7,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
66,14,53,0,0,2,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
67,14,56,0,-5,10,2024-05-17 11:39:40.980867,2024-05-17 11:39:40.980867
